'0','ikbb001','Force_Booster(BellatoCape1)'
'106','ikbb107','Bellato_Mantle107'
'107','ikbb108','Bellato_Mantle108'
'108','ikbb109','Bellato_Mantle109'
'109','ikbb110','Bellato_Mantle110'
'110','ikbb111','Bellato_Mantle111'
'111','ikbb112','Bellato_Mantle112'
'112','ikbb113','Bellato_Mantle113'
'113','ikbb114','Bellato_Mantle114'
'114','ikbb115','Bellato_Mantle115'
'115','ikbb116','Bellato_Mantle116'
'116','ikbb117','Bellato_Mantle117'
'117','ikbb118','Bellato_Mantle118'
'118','ikbb119','Bellato_Mantle119'
'119','ikbb120','Bellato_Mantle120'
'120','ikbb121','Bellato_Mantle121'
'121','ikbb122','Bellato_Mantle122'
'122','ikbb123','Bellato_Mantle123'
'123','ikbb124','Bellato_Mantle124'
'124','ikbb125','Bellato_Mantle125'
'125','ikbb126','Bellato_Mantle126'
'126','ikbb127','Bellato_Mantle127'
'127','ikbb128','Bellato_Mantle128'
'128','ikbb129','Bellato_Mantle129'
'129','ikbb130','Bellato_Mantle130'
'130','ikbb131','Bellato_Mantle131'
'131','ikbb132','Bellato_Mantle132'
'132','ikbb133','Bellato_Mantle133'
'133','ikbb134','Bellato_Mantle134'
'134','ikbb135','Bellato_Mantle135'
'135','ikbb136','Bellato_Mantle136'
'136','ikbb137','Bellato_Mantle137'
'137','ikbb138','Bellato_Mantle138'
'138','ikbb139','Bellato_Mantle139'
'139','ikbb140','Bellato_Mantle140'
'140','ikbb141','Bellato_Mantle141'
'141','ikbb142','Bellato_Mantle142'
'142','ikbb143','Bellato_Mantle143'
'143','ikbb144','Bellato_Mantle144'
'144','ikbb145','Bellato_Mantle145'
'145','ikbb146','Bellato_Mantle146'
'146','ikbb147','Bellato_Mantle147'
'147','ikbb148','Bellato_Mantle148'
'148','ikbb149','Bellato_Mantle149'
'149','ikbb150','Bellato_Mantle150'
'150','ikbb151','Bellato_Mantle151'
'151','ikbb152','Bellato_Mantle152'
'152','ikbb153','Bellato_Mantle153'
'153','ikbb154','Bellato_Mantle154'
'154','ikbb155','Bellato_Mantle155'
'155','ikbb156','Bellato_Mantle156'
'156','ikbb157','Bellato_Mantle157'
'157','ikbb158','Bellato_Mantle158'
'158','ikbb159','Bellato_Mantle159'
'159','ikbb160','Bellato_Mantle160'
'160','ikbb161','Bellato_Mantle161'
'161','ikbb162','Bellato_Mantle162'
'162','ikbb163','Bellato_Mantle163'
'163','ikbb164','Bellato_Mantle164'
'164','ikbb165','Bellato_Mantle165'
'165','ikbb166','Bellato_Mantle166'
'166','ikbb167','Bellato_Mantle167'
'167','ikbb168','Bellato_Mantle168'
'168','ikbb169','Bellato_Mantle169'
'169','ikbb170','Bellato_Mantle170'
'170','ikbb171','Bellato_Mantle171'
'171','ikbb172','Bellato_Mantle172'
'172','ikbb173','Bellato_Mantle173'
'173','ikbb174','Bellato_Mantle174'
'174','ikbb175','Bellato_Mantle175'
'175','ikbb176','Bellato_Mantle176'
'176','ikbb177','Bellato_Mantle177'
'177','ikbb178','Bellato_Mantle178'
'178','ikbb179','Bellato_Mantle179'
'179','ikbb180','Bellato_Mantle180'
'180','ikbb181','Bellato_Mantle181'
'181','ikbb182','Bellato_Mantle182'
'182','ikbb183','Bellato_Mantle183'
'183','ikbb184','Bellato_Mantle184'
'184','ikbb185','Bellato_Mantle185'
'185','ikbb186','Bellato_Mantle186'
'186','ikbb187','Bellato_Mantle187'
'187','ikbb188','Bellato_Mantle188'
'188','ikbb189','Bellato_Mantle189'
'189','ikbb190','Bellato_Mantle190'
'190','ikbb191','Bellato_Mantle191'
'191','ikbb192','Bellato_Mantle192'
'192','ikbb193','Bellato_Mantle193'
'193','ikbb194','Bellato_Mantle194'
'194','ikbb195','Bellato_Mantle195'
'195','ikbb196','Bellato_Mantle196'
'196','ikbb197','Bellato_Mantle197'
'197','ikbb198','Bellato_Mantle198'
'198','ikbb199','Bellato_Mantle199'
'199','ikbb200','Bellato_Mantle200'
'200','ikbb201','Bellato_Mantle201'
'201','ikbb202','Bellato_Mantle202'
'202','ikbb203','Bellato_Mantle203'
'203','ikbb204','Bellato_Mantle204'
'204','ikbb205','Bellato_Mantle205'
'205','ikbb206','Bellato_Mantle206'
'206','ikbb207','Bellato_Mantle207'
'207','ikbb208','Bellato_Mantle208'
'208','ikbb209','Bellato_Mantle209'
'209','ikbb210','Bellato_Mantle210'
'210','ikbb211','Bellato_Mantle211'
'211','ikbb212','Bellato_Mantle212'
'212','ikbb213','Bellato_Mantle213'
'213','ikbb214','Bellato_Mantle214'
'214','ikbb215','Bellato_Mantle215'
'215','ikbb216','Bellato_Mantle216'
'216','ikbb217','Bellato_Mantle217'
'217','ikbb218','Bellato_Mantle218'
'218','ikbb219','Bellato_Mantle219'
'219','ikbb220','Bellato_Mantle220'
'220','ikbb221','Bellato_Mantle221'
'221','ikbb222','Bellato_Mantle222'
'222','ikbb223','Bellato_Mantle223'
'223','ikbb224','Bellato_Mantle224'
'224','ikbb225','Bellato_Mantle225'
'225','ikbb226','Bellato_Mantle226'
'226','ikbb227','Bellato_Mantle227'
'227','ikbb228','Bellato_Mantle228'
'228','ikbb229','Bellato_Mantle229'
'229','ikbb230','Bellato_Mantle230'
'230','ikbb231','Bellato_Mantle231'
'231','ikbb232','Bellato_Mantle232'
'232','ikbb233','Bellato_Mantle233'
'233','ikbb234','Bellato_Mantle234'
'234','ikbb235','Bellato_Mantle235'
'235','ikbb236','Bellato_Mantle236'
'236','ikbb237','Bellato_Mantle237'
'237','ikbb238','Bellato_Mantle238'
'238','ikbb239','Bellato_Mantle239'
'239','ikbb240','Bellato_Mantle240'
'240','ikbb241','Bellato_Mantle241'
'241','ikbb242','Bellato_Mantle242'
'242','ikbb243','Bellato_Mantle243'
'243','ikbb244','Bellato_Mantle244'
'244','ikbb245','Bellato_Mantle245'
'245','ikbb246','Bellato_Mantle246'
'246','ikbb247','Bellato_Mantle247'
'247','ikbb248','Bellato_Mantle248'
'248','ikbb249','Bellato_Mantle249'
'249','ikbb250','Bellato_Mantle250'
'250','ikbb251','Bellato_Mantle251'
'251','ikbb252','Bellato_Mantle252'
'252','ikbb253','Bellato_Mantle253'
'253','ikbb254','Bellato_Mantle254'
'254','ikbb255','Bellato_Mantle255'
'255','ikbb256','Bellato_Mantle256'
'256','ikcc001','Ether_Wing(CoraCape1)'
'257','ikcc002','Fire_Ether_Wing(CoraCape2)'
'258','ikcc003','Aqua_Ether_Wing(CoraCape3)'
'259','ikcc004','Terra_Ether_Wing(CoraCape4)'
'260','ikcc005','Wind_Ether_Wing(CoraCape5)'
'261','ikcc006','Advanced_Ether_Wing(CoraCape6)'
'262','ikcc007','Advanced_Fire_Ether_Wing(CoraCape7)'
'263','ikcc008','Advanced_Aqua_Ether_Wing(CoraCape8)'
'264','ikcc009','Advanced_Terra_Ether_Wing(CoraCape9)'
'265','ikcc010','Advanced_Wind_Ether_Wing(CoraCape10)'
'266','ikcpc01','Cafe_Only_Jet_Pack(Cora)'
'267','ikcc012','Golden_Etel_Wing(CoraCloak6)'
'268','ikcc013','Cora_Mantle13'
'269','ikcc014','Cora_Mantle14'
'270','ikcc015','Cora_Mantle15'
'271','ikcc016','Cora_Mantle16'
'272','ikcc017','Cora_Mantle17'
'273','ikcc018','Cora_Mantle18'
'274','ikcc019','Cora_Mantle19'
'275','ikcc020','Cora_Mantle20'
'276','ikcc021','Cora_Mantle21'
'277','ikcc022','Cora_Mantle22'
'278','ikcc023','Cora_Mantle23'
'279','ikcc024','Cora_Mantle24'
'280','ikcc025','Cora_Mantle25'
'281','ikcc026','Cora_Mantle26'
'282','ikcc027','Cora_Mantle27'
'283','ikcc028','Cora_Mantle28'
'284','ikcc029','Cora_Mantle29'
'285','ikcc030','Cora_Mantle30'
'286','ikcc031','Cora_Mantle31'
'287','ikcc032','Cora_Mantle32'
'288','ikcc033','Cora_Mantle33'
'289','ikcc034','Cora_Mantle34'
'290','ikcc035','Cora_Mantle35'
'291','ikcc036','Cora_Mantle36'
'292','ikcc037','Cora_Mantle37'
'293','ikcc038','Cora_Mantle38'
'294','ikcc039','Cora_Mantle39'
'295','ikcc040','Cora_Mantle40'
'296','ikcc041','Cora_Mantle41'
'297','ikcc042','Cora_Mantle42'
'298','ikcc043','Cora_Mantle43'
'299','ikcc044','Cora_Mantle44'
'300','ikcc045','Cora_Mantle45'
'301','ikcc046','Cora_Mantle46'
'302','ikcc047','Cora_Mantle47'
'303','ikcc048','Cora_Mantle48'
'304','ikcc049','Cora_Mantle49'
'305','ikcc050','Cora_Mantle50'
'306','ikcc051','Cora_Mantle51'
'307','ikcc052','Cora_Mantle52'
'308','ikcc053','Cora_Mantle53'
'309','ikcc054','Cora_Mantle54'
'310','ikcc055','Cora_Mantle55'
'311','ikcc056','Cora_Mantle56'
'312','ikcc057','Cora_Mantle57'
'313','ikcc058','Cora_Mantle58'
'314','ikcc059','Cora_Mantle59'
'315','ikcc060','Cora_Mantle60'
'316','ikcc061','Cora_Mantle61'
'317','ikcc062','Cora_Mantle62'
'318','ikcc063','Cora_Mantle63'
'319','ikcc064','Cora_Mantle64'
'320','ikcc065','Cora_Mantle65'
'321','ikcc066','Cora_Mantle66'
'322','ikcc067','Cora_Mantle67'
'323','ikcc068','Cora_Mantle68'
'324','ikcc069','Cora_Mantle69'
'325','ikcc070','Cora_Mantle70'
'326','ikcc071','Cora_Mantle71'
'327','ikcc072','Cora_Mantle72'
'328','ikcc073','Cora_Mantle73'
'329','ikcc074','Cora_Mantle74'
'330','ikcc075','Cora_Mantle75'
'331','ikcc076','Cora_Mantle76'
'332','ikcc077','Cora_Mantle77'
'333','ikcc078','Cora_Mantle78'
'334','ikcc079','Cora_Mantle79'
'335','ikcc080','Cora_Mantle80'
'336','ikcc081','Cora_Mantle81'
'337','ikcc082','Cora_Mantle82'
'338','ikcc083','Cora_Mantle83'
'339','ikcc084','Cora_Mantle84'
'340','ikcc085','Cora_Mantle85'
'341','ikcc086','Cora_Mantle86'
'342','ikcc087','Cora_Mantle87'
'343','ikcc088','Cora_Mantle88'
'344','ikcc089','Cora_Mantle89'
'345','ikcc090','Cora_Mantle90'
'346','ikcc091','Cora_Mantle91'
'347','ikcc092','Cora_Mantle92'
'348','ikcc093','Cora_Mantle93'
'349','ikcc094','Cora_Mantle94'
'350','ikcc095','Cora_Mantle95'
'351','ikcc096','Cora_Mantle96'
'352','ikcc097','Cora_Mantle97'
'353','ikcc098','Cora_Mantle98'
'354','ikcc099','Cora_Mantle99'
'355','ikcc100','Cora_Mantle100'
'356','ikcc101','Cora_Mantle101'
'357','ikcc102','Cora_Mantle102'
'358','ikcc103','Cora_Mantle103'
'359','ikcc104','Cora_Mantle104'
'360','ikcc105','Cora_Mantle105'
'361','ikcc106','Cora_Mantle106'
'362','ikcc107','Cora_Mantle107'
'363','ikcc108','Cora_Mantle108'
'364','ikcc109','Cora_Mantle109'
'365','ikcc110','Cora_Mantle110'
'366','ikcc111','Cora_Mantle111'
'367','ikcc112','Cora_Mantle112'
'368','ikcc113','Cora_Mantle113'
'369','ikcc114','Cora_Mantle114'
'370','ikcc115','Cora_Mantle115'
'371','ikcc116','Cora_Mantle116'
'372','ikcc117','Cora_Mantle117'
'373','ikcc118','Cora_Mantle118'
'374','ikcc119','Cora_Mantle119'
'375','ikcc120','Cora_Mantle120'
'376','ikcc121','Cora_Mantle121'
'377','ikcc122','Cora_Mantle122'
'378','ikcc123','Cora_Mantle123'
'379','ikcc124','Cora_Mantle124'
'380','ikcc125','Cora_Mantle125'
'381','ikcc126','Cora_Mantle126'
'382','ikcc127','Cora_Mantle127'
'383','ikcc128','Cora_Mantle128'
'384','ikcc129','Cora_Mantle129'
'385','ikcc130','Cora_Mantle130'
'386','ikcc131','Cora_Mantle131'
'387','ikcc132','Cora_Mantle132'
'388','ikcc133','Cora_Mantle133'
'389','ikcc134','Cora_Mantle134'
'390','ikcc135','Cora_Mantle135'
'391','ikcc136','Cora_Mantle136'
'392','ikcc137','Cora_Mantle137'
'393','ikcc138','Cora_Mantle138'
'394','ikcc139','Cora_Mantle139'
'395','ikcc140','Cora_Mantle140'
'396','ikcc141','Cora_Mantle141'
'397','ikcc142','Cora_Mantle142'
'398','ikcc143','Cora_Mantle143'
'399','ikcc144','Cora_Mantle144'
'400','ikcc145','Cora_Mantle145'
'401','ikcc146','Cora_Mantle146'
'402','ikcc147','Cora_Mantle147'
'403','ikcc148','Cora_Mantle148'
'404','ikcc149','Cora_Mantle149'
'405','ikcc150','Cora_Mantle150'
'406','ikcc151','Cora_Mantle151'
'407','ikcc152','Cora_Mantle152'
'408','ikcc153','Cora_Mantle153'
'409','ikcc154','Cora_Mantle154'
'410','ikcc155','Cora_Mantle155'
'411','ikcc156','Cora_Mantle156'
'412','ikcc157','Cora_Mantle157'
'413','ikcc158','Cora_Mantle158'
'414','ikcc159','Cora_Mantle159'
'415','ikcc160','Cora_Mantle160'
'416','ikcc161','Cora_Mantle161'
'417','ikcc162','Cora_Mantle162'
'418','ikcc163','Cora_Mantle163'
'419','ikcc164','Cora_Mantle164'
'420','ikcc165','Cora_Mantle165'
'421','ikcc166','Cora_Mantle166'
'422','ikcc167','Cora_Mantle167'
'423','ikcc168','Cora_Mantle168'
'424','ikcc169','Cora_Mantle169'
'425','ikcc170','Cora_Mantle170'
'426','ikcc171','Cora_Mantle171'
'427','ikcc172','Cora_Mantle172'
'428','ikcc173','Cora_Mantle173'
'429','ikcc174','Cora_Mantle174'
'430','ikcc175','Cora_Mantle175'
'431','ikcc176','Cora_Mantle176'
'432','ikcc177','Cora_Mantle177'
'433','ikcc178','Cora_Mantle178'
'434','ikcc179','Cora_Mantle179'
'435','ikcc180','Cora_Mantle180'
'436','ikcc181','Cora_Mantle181'
'437','ikcc182','Cora_Mantle182'
'438','ikcc183','Cora_Mantle183'
'439','ikcc184','Cora_Mantle184'
'440','ikcc185','Cora_Mantle185'
'441','ikcc186','Cora_Mantle186'
'442','ikcc187','Cora_Mantle187'
'443','ikcc188','Cora_Mantle188'
'444','ikcc189','Cora_Mantle189'
'445','ikcc190','Cora_Mantle190'
'446','ikcc191','Cora_Mantle191'
'447','ikcc192','Cora_Mantle192'
'448','ikcc193','Cora_Mantle193'
'449','ikcc194','Cora_Mantle194'
'450','ikcc195','Cora_Mantle195'
'451','ikcc196','Cora_Mantle196'
'452','ikcc197','Cora_Mantle197'
'453','ikcc198','Cora_Mantle198'
'454','ikcc199','Cora_Mantle199'
'455','ikcc200','Cora_Mantle200'
'456','ikcc201','Cora_Mantle201'
'457','ikcc202','Cora_Mantle202'
'458','ikcc203','Cora_Mantle203'
'459','ikcc204','Cora_Mantle204'
'460','ikcc205','Cora_Mantle205'
'461','ikcc206','Cora_Mantle206'
'462','ikcc207','Cora_Mantle207'
'463','ikcc208','Cora_Mantle208'
'464','ikcc209','Cora_Mantle209'
'465','ikcc210','Cora_Mantle210'
'466','ikcc211','Cora_Mantle211'
'467','ikcc212','Cora_Mantle212'
'468','ikcc213','Cora_Mantle213'
'469','ikcc214','Cora_Mantle214'
'470','ikcc215','Cora_Mantle215'
'471','ikcc216','Cora_Mantle216'
'472','ikcc217','Cora_Mantle217'
'473','ikcc218','Cora_Mantle218'
'474','ikcc219','Cora_Mantle219'
'475','ikcc220','Cora_Mantle220'
'476','ikcc221','Cora_Mantle221'
'477','ikcc222','Cora_Mantle222'
'478','ikcc223','Cora_Mantle223'
'479','ikcc224','Cora_Mantle224'
'480','ikcc225','Cora_Mantle225'
'481','ikcc226','Cora_Mantle226'
'482','ikcc227','Cora_Mantle227'
'483','ikcc228','Cora_Mantle228'
'484','ikcc229','Cora_Mantle229'
'485','ikcc230','Cora_Mantle230'
'486','ikcc231','Cora_Mantle231'
'487','ikcc232','Cora_Mantle232'
'488','ikcc233','Cora_Mantle233'
'489','ikcc234','Cora_Mantle234'
'490','ikcc235','Cora_Mantle235'
'491','ikcc236','Cora_Mantle236'
'492','ikcc237','Cora_Mantle237'
'493','ikcc238','Cora_Mantle238'
'494','ikcc239','Cora_Mantle239'
'495','ikcc240','Cora_Mantle240'
'496','ikcc241','Cora_Mantle241'
'497','ikcc242','Cora_Mantle242'
'498','ikcc243','Cora_Mantle243'
'499','ikcc244','Cora_Mantle244'
'500','ikcc245','Cora_Mantle245'
'501','ikcc246','Cora_Mantle246'
'502','ikcc247','Cora_Mantle247'
'503','ikcc248','Cora_Mantle248'
'504','ikcc249','Cora_Mantle249'
'505','ikcc250','Cora_Mantle250'
'506','ikcc251','Cora_Mantle251'
'507','ikcc252','Cora_Mantle252'
'508','ikcc253','Cora_Mantle253'
'509','ikcc254','Cora_Mantle254'
'510','ikcc255','Cora_Mantle255'
'511','ikcc256','Cora_Mantle256'
'512','ikaa001','Panzer_Jets(AccretiaCape1)'
'513','ikaa002','Fire_Panzer_Jets(AccretiaCape2)'
'514','ikaa003','Aqua_Panzer_Jets(AccretiaCape3)'
'515','ikaa004','Terra_Panzer_Jets_Dare(AccretiaCape4)'
'516','ikaa005','Wind_Panzer_Jets(AccretiaCape5)'
'517','ikaa006','Advanced_Panzer_Jets(AccretiaCape6)'
'518','ikaa007','Advanced_Fire_Panzer_Jets(AccretiaCape7)'
'519','ikaa008','Advanced_Aqua_Panzer_Jets(AccretiaCape8)'
'520','ikaa009','Advanced_Terra_Panzer_Jets(AccretiaCape9)'
'521','ikaa010','Advanced_Wind_Panzer_Jets(AccretiaCape10)'
'522','ikapc01','Cafe_Only_Jet_Pack(Accretia)'
'523','ikaa012','Golden_Penger_Priguel(AccretiaCloak6)'
'524','ikaa013','Accretia_Mantle13'
'525','ikaa014','Accretia_Mantle14'
'526','ikaa015','Accretia_Mantle15'
'527','ikaa016','Accretia_Mantle16'
'528','ikaa017','Accretia_Mantle17'
'529','ikaa018','Accretia_Mantle18'
'530','ikaa019','Accretia_Mantle19'
'531','ikaa020','Accretia_Mantle20'
'532','ikaa021','Accretia_Mantle21'
'533','ikaa022','Accretia_Mantle22'
'534','ikaa023','Accretia_Mantle23'
'535','ikaa024','Accretia_Mantle24'
'536','ikaa025','Accretia_Mantle25'
'537','ikaa026','Accretia_Mantle26'
'538','ikaa027','Accretia_Mantle27'
'539','ikaa028','Accretia_Mantle28'
'540','ikaa029','Accretia_Mantle29'
'541','ikaa030','Accretia_Mantle30'
'542','ikaa031','Accretia_Mantle31'
'543','ikaa032','Accretia_Mantle32'
'544','ikaa033','Accretia_Mantle33'
'545','ikaa034','Accretia_Mantle34'
'546','ikaa035','Accretia_Mantle35'
'547','ikaa036','Accretia_Mantle36'
'548','ikaa037','Accretia_Mantle37'
'549','ikaa038','Accretia_Mantle38'
'550','ikaa039','Accretia_Mantle39'
'551','ikaa040','Accretia_Mantle40'
'552','ikaa041','Accretia_Mantle41'
'553','ikaa042','Accretia_Mantle42'
'554','ikaa043','Accretia_Mantle43'
'555','ikaa044','Accretia_Mantle44'
'556','ikaa045','Accretia_Mantle45'
'557','ikaa046','Accretia_Mantle46'
'558','ikaa047','Accretia_Mantle47'
'559','ikaa048','Accretia_Mantle48'
'560','ikaa049','Accretia_Mantle49'
'561','ikaa050','Accretia_Mantle50'
'562','ikaa051','Accretia_Mantle51'
'563','ikaa052','Accretia_Mantle52'
'564','ikaa053','Accretia_Mantle53'
'565','ikaa054','Accretia_Mantle54'
'566','ikaa055','Accretia_Mantle55'
'567','ikaa056','Accretia_Mantle56'
'568','ikaa057','Accretia_Mantle57'
'569','ikaa058','Accretia_Mantle58'
'570','ikaa059','Accretia_Mantle59'
'571','ikaa060','Accretia_Mantle60'
'572','ikaa061','Accretia_Mantle61'
'573','ikaa062','Accretia_Mantle62'
'574','ikaa063','Accretia_Mantle63'
'575','ikaa064','Accretia_Mantle64'
'576','ikaa065','Accretia_Mantle65'
'577','ikaa066','Accretia_Mantle66'
'578','ikaa067','Accretia_Mantle67'
'579','ikaa068','Accretia_Mantle68'
'580','ikaa069','Accretia_Mantle69'
'581','ikaa070','Accretia_Mantle70'
'582','ikaa071','Accretia_Mantle71'
'583','ikaa072','Accretia_Mantle72'
'584','ikaa073','Accretia_Mantle73'
'585','ikaa074','Accretia_Mantle74'
'586','ikaa075','Accretia_Mantle75'
'587','ikaa076','Accretia_Mantle76'
'588','ikaa077','Accretia_Mantle77'
'589','ikaa078','Accretia_Mantle78'
'590','ikaa079','Accretia_Mantle79'
'591','ikaa080','Accretia_Mantle80'
'592','ikaa081','Accretia_Mantle81'
'593','ikaa082','Accretia_Mantle82'
'594','ikaa083','Accretia_Mantle83'
'595','ikaa084','Accretia_Mantle84'
'596','ikaa085','Accretia_Mantle85'
'597','ikaa086','Accretia_Mantle86'
'598','ikaa087','Accretia_Mantle87'
'599','ikaa088','Accretia_Mantle88'
'600','ikaa089','Accretia_Mantle89'
'601','ikaa090','Accretia_Mantle90'
'602','ikaa091','Accretia_Mantle91'
'603','ikaa092','Accretia_Mantle92'
'604','ikaa093','Accretia_Mantle93'
'605','ikaa094','Accretia_Mantle94'
'606','ikaa095','Accretia_Mantle95'
'607','ikaa096','Accretia_Mantle96'
'608','ikaa097','Accretia_Mantle97'
'609','ikaa098','Accretia_Mantle98'
'610','ikaa099','Accretia_Mantle99'
'611','ikaa100','Accretia_Mantle100'
'612','ikaa101','Accretia_Mantle101'
'613','ikaa102','Accretia_Mantle102'
'614','ikaa103','Accretia_Mantle103'
'615','ikaa104','Accretia_Mantle104'
'616','ikaa105','Accretia_Mantle105'
'617','ikaa106','Accretia_Mantle106'
'618','ikaa107','Accretia_Mantle107'
'619','ikaa108','Accretia_Mantle108'
'620','ikaa109','Accretia_Mantle109'
'621','ikaa110','Accretia_Mantle110'
'622','ikaa111','Accretia_Mantle111'
'623','ikaa112','Accretia_Mantle112'
'624','ikaa113','Accretia_Mantle113'
'625','ikaa114','Accretia_Mantle114'
'626','ikaa115','Accretia_Mantle115'
'627','ikaa116','Accretia_Mantle116'
'628','ikaa117','Accretia_Mantle117'
'629','ikaa118','Accretia_Mantle118'
'630','ikaa119','Accretia_Mantle119'
'631','ikaa120','Accretia_Mantle120'
'632','ikaa121','Accretia_Mantle121'
'633','ikaa122','Accretia_Mantle122'
'634','ikaa123','Accretia_Mantle123'
'635','ikaa124','Accretia_Mantle124'
'636','ikaa125','Accretia_Mantle125'
'637','ikaa126','Accretia_Mantle126'
'638','ikaa127','Accretia_Mantle127'
'639','ikaa128','Accretia_Mantle128'
'640','ikaa129','Accretia_Mantle129'
'641','ikaa130','Accretia_Mantle130'
'642','ikaa131','Accretia_Mantle131'
'643','ikaa132','Accretia_Mantle132'
'644','ikaa133','Accretia_Mantle133'
'645','ikaa134','Accretia_Mantle134'
'646','ikaa135','Accretia_Mantle135'
'647','ikaa136','Accretia_Mantle136'
'648','ikaa137','Accretia_Mantle137'
'649','ikaa138','Accretia_Mantle138'
'650','ikaa139','Accretia_Mantle139'
'651','ikaa140','Accretia_Mantle140'
'652','ikaa141','Accretia_Mantle141'
'653','ikaa142','Accretia_Mantle142'
'654','ikaa143','Accretia_Mantle143'
