'0','idbca04','Round_Shield'
'248','idbhi21','Vampire_Tower_Shield'
'249','idbhj21','Guardian_Tower_Shield'
'250','idbhk21','Sharp_Tower_Shield'
'251','idbhl21','Grand_Tower_Shield'
'252','idbha23','Advanced_Strength_Scutum'
'253','idbhb23','Saving_Scutum'
'254','idbhc23','Fine_Scutum'
'255','idbhd23','Anti_Sharp_Scutum'
'256','idbhe23','Strong_Scutum'
'257','idbhf23','Solid_Scutum'
'258','idbhg23','Strength_Scutum'
'259','idbhh23','Protection_Scutum'
'260','idbhi23','Vampire_Scutum'
'261','idbhj23','Guardian_Scutum'
'262','idbhk23','Sharp_Scutum'
'263','idbhl23','Grand_Scutum'
'264','idbha25','Advanced_Strength_Aspis'
'265','idbhb25','Saving_Aspis'
'266','idbhc25','Fine_Aspis'
'267','idbhd25','Anti_Sharp_Aspis'
'268','idbhe25','Strong_Aspis'
'269','idbhf25','Solid_Aspis'
'270','idbhg25','Strength_Aspis'
'271','idbhh25','Protection_Aspis'
'272','idbhi25','Vampire_Aspis'
'273','idbhj25','Guardian_Aspis'
'274','idbhk25','Sharp_Aspis'
'275','idbhl25','Grand_Aspis'
'276','idbha27','Advanced_Strength_Beam_Shield'
'277','idbhb27','Saving_Beam_Shield'
'278','idbhc27','Fine_Beam_Shield'
'279','idbhd27','Anti_Sharp_Beam_Shield'
'280','idbhe27','Strong_Beam_Shield'
'281','idbhf27','Solid_Beam_Shield'
'282','idbhg27','Strength_Beam_Shield'
'283','idbhh27','Protection_Beam_Shield'
'284','idbhi27','Vampire_Beam_Shield'
'285','idbhj27','Guardian_Beam_Shield'
'286','idbhk27','Sharp_Beam_Shield'
'287','idbhl27','Grand_Beam_Shield'
'288','idbha29','Advanced_Strength_Beam_Large_Shield'
'289','idbhb29','Saving_Beam_Large_Shield'
'290','idbhc29','Fine_Beam_Large_Shield'
'291','idbhd29','Anti_Sharp_Beam_Large_Shield'
'292','idbhe29','Strong_Beam_Large_Shield'
'293','idbhf29','Solid_Beam_Large_Shield'
'294','idbhg29','Strength_Beam_Large_Shield'
'295','idbhh29','Protection_Beam_Large_Shield'
'296','idbhi29','Vampire_Beam_Large_Shield'
'297','idbhj29','Guardian_Beam_Large_Shield'
'298','idbhk29','Sharp_Beam_Large_Shield'
'299','idbhl29','Grand_Beam_Large_Shield'
'300','idbha31','Advanced_Strength_Scale_Shield'
'301','idbhb31','Saving_Scale_Shield'
'302','idbhc31','Fine_Scale_Shield'
'303','idbhd31','Anti_Sharp_Scale_Shield'
'304','idbhe31','Strong_Scale_Shield'
'305','idbhf31','Solid_Scale_Shield'
'306','idbhg31','Strength_Scale_Shield'
'307','idbhh31','Protection_Scale_Shield'
'308','idbhi31','Vampire_Scale_Shield'
'309','idbhj31','Guardian_Scale_Shield'
'310','idbhk31','Sharp_Scale_Shield'
'311','idbhl31','Grand_Scale_Shield'
'312','idbha33','Advanced_Strength_Rondache'
'313','idbhb33','Saving_Rondache'
'314','idbhc33','Fine_Rondache'
'315','idbhd33','Anti_Sharp_Rondache'
'316','idbhe33','Strong_Rondache'
'317','idbhf33','Solid_Rondache'
'318','idbhg33','Strength_Rondache'
'319','idbhh33','Protection_Rondache'
'320','idbhi33','Vampire_Rondache'
'321','idbhj33','Guardian_Rondache'
'322','idbhk33','Sharp_Rondache'
'323','idbhl33','Grand_Rondache'
'324','idbha35','Advanced_Strength_Hopron'
'325','idbhb35','Saving_Hopron'
'326','idbhc35','Fine_Hopron'
'327','idbhd35','Anti_Sharp_Hopron'
'328','idbhe35','Strong_Hopron'
'329','idbhf35','Solid_Hopron'
'330','idbhg35','Strength_Hopron'
'331','idbhh35','Protection_Hopron'
'332','idbhi35','Vampire_Hopron'
'333','idbhj35','Guardian_Hopron'
'334','idbhk35','Sharp_Hopron'
'335','idbhl35','Grand_Hopron'
'336','idbha37','Advanced_Strength_Mirror_Shield'
'337','idbhb37','Saving_Mirror_Shield'
'338','idbhc37','Fine_Mirror_Shield'
'339','idbhd37','Anti_Sharp_Mirror_Shield'
'340','idbhe37','Strong_Mirror_Shield'
'341','idbhf37','Solid_Mirror_Shield'
'342','idbhg37','Strength_Mirror_Shield'
'343','idbhh37','Protection_Mirror_Shield'
'344','idbhi37','Vampire_Mirror_Shield'
'345','idbhj37','Guardian_Mirror_Shield'
'346','idbhk37','Sharp_Mirror_Shield'
'347','idbhl37','Grand_Mirror_Shield'
'348','idbha39','Advanced_Strength_Gothic_Shield'
'349','idbhb39','Saving_Gothic_Shield'
'350','idbhc39','Fine_Gothic_Shield'
'351','idbhd39','Anti_Sharp_Gothic_Shield'
'352','idbhe39','Strong_Gothic_Shield'
'353','idbhf39','Solid_Gothic_Shield'
'354','idbhg39','Strength_Gothic_Shield'
'355','idbhh39','Protection_Gothic_Shield'
'356','idbhi39','Vampire_Gothic_Shield'
'357','idbhj39','Guardian_Gothic_Shield'
'358','idbhk39','Sharp_Gothic_Shield'
'359','idbhl39','Grand_Gothic_Shield'
'360','idbha41','Advanced_Strength_Parvise_Shield'
'361','idbhb41','Saving_Parvise_Shield'
'362','idbhc41','Fine_Parvise_Shield'
'363','idbhd41','Anti_Sharp_Parvise_Shield'
'364','idbhe41','Strong_Parvise_Shield'
'365','idbhf41','Solid_Parvise_Shield'
'366','idbhg41','Strength_Parvise_Shield'
'367','idbhh41','Protection_Parvise_Shield'
'368','idbhi41','Vampire_Parvise_Shield'
'369','idbhj41','Guardian_Parvise_Shield'
'370','idbhk41','Sharp_Parvise_Shield'
'371','idbhl41','Grand_Parvise_Shield'
'372','idbha43','Advanced_Strength_Adarga'
'373','idbhb43','Saving_Adarga'
'374','idbhc43','Fine_Adarga'
'375','idbhd43','Anti_Sharp_Adarga'
'376','idbhe43','Strong_Adarga'
'377','idbhf43','Solid_Adarga'
'378','idbhg43','Strength_Adarga'
'379','idbhh43','Protection_Adarga'
'380','idbhi43','Vampire_Adarga'
'381','idbhj43','Guardian_Adarga'
'382','idbhk43','Sharp_Adarga'
'383','idbhl43','Grand_Adarga'
'384','idbha45','Advanced_Strength_Beam_Parvise_Shield'
'385','idbhb45','Saving_Beam_Parvise_Shield'
'386','idbhc45','Fine_Beam_Parvise_Shield'
'387','idbhd45','Anti_Sharp_Beam_Parvise_Shield'
'388','idbhe45','Strong_Beam_Parvise_Shield'
'389','idbhf45','Solid_Beam_Parvise_Shield'
'390','idbhg45','Strength_Beam_Parvise_Shield'
'391','idbhh45','Protection_Beam_Parvise_Shield'
'392','idbhi45','Vampire_Beam_Parvise_Shield'
'393','idbhj45','Guardian_Beam_Parvise_Shield'
'394','idbhk45','Sharp_Beam_Parvise_Shield'
'395','idbhl45','Grand_Beam_Parvise_Shield'
'396','idbha47','Advanced_Strength_Heater_Shield'
'397','idbhb47','Saving_Heater_Shield'
'398','idbhc47','Fine_Heater_Shield'
'399','idbhd47','Anti_Sharp_Heater_Shield'
'400','idbhe47','Strong_Heater_Shield'
'401','idbhf47','Solid_Heater_Shield'
'402','idbhg47','Strength_Heater_Shield'
'403','idbhh47','Protection_Heater_Shield'
'404','idbhi47','Vampire_Heater_Shield'
'405','idbhj47','Guardian_Heater_Shield'
'406','idbhk47','Sharp_Heater_Shield'
'407','idbhl47','Grand_Heater_Shield'
'408','idbha50','Advanced_Strength_Hora_Shield'
'409','idbhb50','Saving_Hora_Shield'
'410','idbhc50','Fine_Hora_Shield'
'411','idbhd50','Anti_Sharp_Hora_Shield'
'412','idbhe50','Strong_Hora_Shield'
'413','idbhf50','Solid_Hora_Shield'
'414','idbhg50','Strength_Hora_Shield'
'415','idbhh50','Protection_Hora_Shield'
'416','idbhi50','Vampire_Hora_Shield'
'417','idbhj50','Guardian_Hora_Shield'
'418','idbhk50','Sharp_Hora_Shield'
'419','idbhl50','Grand_Hora_Shield'
'420','idaha04','Advanced_Strength_Solid_Shield'
'421','idahb04','Saving_Solid_Shield'
'422','idahc04','Fine_Solid_Shield'
'423','idahd04','Anti_Sharp_Solid_Shield'
'424','idahe04','Strong_Solid_Shield'
'425','idahf04','Solid_Solid_Shield'
'426','idahg04','Strength_Solid_Shield'
'427','idahh04','Protection_Solid_Shield'
'428','idahi04','Vampire_Solid_Shield'
'429','idahj04','Guardian_Solid_Shield'
'430','idahk04','Sharp_Solid_Shield'
'431','idahl04','Grand_Solid_Shield'
'432','idaha07','Advanced_Strength_Cross_Shield'
'433','idahb07','Saving_Cross_Shield'
'434','idahc07','Fine_Cross_Shield'
'435','idahd07','Anti_Sharp_Cross_Shield'
'436','idahe07','Strong_Cross_Shield'
'437','idahf07','Solid_Cross_Shield'
'438','idahg07','Strength_Cross_Shield'
'439','idahh07','Protection_Cross_Shield'
'440','idahi07','Vampire_Cross_Shield'
'441','idahj07','Guardian_Cross_Shield'
'442','idahk07','Sharp_Cross_Shield'
'443','idahl07','Grand_Cross_Shield'
'444','idaha10','Advanced_Strength_Protector'
'445','idahb10','Saving_Protector'
'446','idahc10','Fine_Protector'
'447','idahd10','Anti_Sharp_Protector'
'448','idahe10','Strong_Protector'
'449','idahf10','Solid_Protector'
'450','idahg10','Strength_Protector'
'451','idahh10','Protection_Protector'
'452','idahi10','Vampire_Protector'
'453','idahj10','Guardian_Protector'
'454','idahk10','Sharp_Protector'
'455','idahl10','Grand_Protector'
'456','idaha13','Advanced_Strength_Spacer'
'457','idahb13','Saving_Spacer'
'458','idahc13','Fine_Spacer'
'459','idahd13','Anti_Sharp_Spacer'
'460','idahe13','Strong_Spacer'
'461','idahf13','Solid_Spacer'
'462','idahg13','Strength_Spacer'
'463','idahh13','Protection_Spacer'
'464','idahi13','Vampire_Spacer'
'465','idahj13','Guardian_Spacer'
'466','idahk13','Sharp_Spacer'
'467','idahl13','Grand_Spacer'
'468','idaha16','Advanced_Strength_So_Protector'
'469','idahb16','Saving_So_Protector'
'470','idahc16','Fine_So_Protector'
'471','idahd16','Anti_Sharp_So_Protector'
'472','idahe16','Strong_So_Protector'
'473','idahf16','Solid_So_Protector'
'474','idahg16','Strength_So_Protector'
'475','idahh16','Protection_So_Protector'
'476','idahi16','Vampire_So_Protector'
'477','idahj16','Guardian_So_Protector'
'478','idahk16','Sharp_So_Protector'
'479','idahl16','Grand_So_Protector'
'480','idaha19','Advanced_Strength_Pierce_Protector'
'481','idahb19','Saving_Pierce_Protector'
'482','idahc19','Fine_Pierce_Protector'
'483','idahd19','Anti_Sharp_Pierce_Protector'
'484','idahe19','Strong_Pierce_Protector'
'485','idahf19','Solid_Pierce_Protector'
'486','idahg19','Strength_Pierce_Protector'
'487','idahh19','Protection_Pierce_Protector'
'488','idahi19','Vampire_Pierce_Protector'
'489','idahj19','Guardian_Pierce_Protector'
'490','idahk19','Sharp_Pierce_Protector'
'491','idahl19','Grand_Pierce_Protector'
'492','idaha21','Advanced_Strength_Lapith_Protector'
'493','idahb21','Saving_Lapith_Protector'
'494','idahc21','Fine_Lapith_Protector'
'495','idahd21','Anti_Sharp_Lapith_Protector'
'496','idahe21','Strong_Lapith_Protector'
'497','idahf21','Solid_Lapith_Protector'
'498','idahg21','Strength_Lapith_Protector'
'499','idahh21','Protection_Lapith_Protector'
'500','idahi21','Vampire_Lapith_Protector'
'501','idahj21','Guardian_Lapith_Protector'
'502','idahk21','Sharp_Lapith_Protector'
'503','idahl21','Grand_Lapith_Protector'
'504','idaha23','Advanced_Strength_Cerato_Protector'
'505','idahb23','Saving_Cerato_Protector'
'506','idahc23','Fine_Cerato_Protector'
'507','idahd23','Anti_Sharp_Cerato_Protector'
'508','idahe23','Strong_Cerato_Protector'
'509','idahf23','Solid_Cerato_Protector'
'510','idahg23','Strength_Cerato_Protector'
'511','idahh23','Protection_Cerato_Protector'
'512','idahi23','Vampire_Cerato_Protector'
'513','idahj23','Guardian_Cerato_Protector'
'514','idahk23','Sharp_Cerato_Protector'
'515','idahl23','Grand_Cerato_Protector'
'516','idaha25','Advanced_Strength_Laser_Aspis'
'517','idahb25','Saving_Laser_Aspis'
'518','idahc25','Fine_Laser_Aspis'
'519','idahd25','Anti_Sharp_Laser_Aspis'
'520','idahe25','Strong_Laser_Aspis'
'521','idahf25','Solid_Laser_Aspis'
'522','idahg25','Strength_Laser_Aspis'
'523','idahh25','Protection_Laser_Aspis'
'524','idahi25','Vampire_Laser_Aspis'
'525','idahj25','Guardian_Laser_Aspis'
'526','idahk25','Sharp_Laser_Aspis'
'527','idahl25','Grand_Laser_Aspis'
'528','idaha27','Advanced_Strength_Tower_Protector'
'529','idahb27','Saving_Tower_Protector'
'530','idahc27','Fine_Tower_Protector'
'531','idahd27','Anti_Sharp_Tower_Protector'
'532','idahe27','Strong_Tower_Protector'
'533','idahf27','Solid_Tower_Protector'
'534','idahg27','Strength_Tower_Protector'
'535','idahh27','Protection_Tower_Protector'
'536','idahi27','Vampire_Tower_Protector'
'537','idahj27','Guardian_Tower_Protector'
'538','idahk27','Sharp_Tower_Protector'
'539','idahl27','Grand_Tower_Protector'
'540','idaha29','Advanced_Strength_Dual_Protector'
'541','idahb29','Saving_Dual_Protector'
'542','idahc29','Fine_Dual_Protector'
'543','idahd29','Anti_Sharp_Dual_Protector'
'544','idahe29','Strong_Dual_Protector'
'545','idahf29','Solid_Dual_Protector'
'546','idahg29','Strength_Dual_Protector'
'547','idahh29','Protection_Dual_Protector'
'548','idahi29','Vampire_Dual_Protector'
'549','idahj29','Guardian_Dual_Protector'
'550','idahk29','Sharp_Dual_Protector'
'551','idahl29','Grand_Dual_Protector'
'552','idaha31','Advanced_Strength_Shadow_Protector'
'553','idahb31','Saving_Shadow_Protector'
'554','idahc31','Fine_Shadow_Protector'
'555','idahd31','Anti_Sharp_Shadow_Protector'
'556','idahe31','Strong_Shadow_Protector'
'557','idahf31','Solid_Shadow_Protector'
'558','idahg31','Strength_Shadow_Protector'
'559','idahh31','Protection_Shadow_Protector'
'560','idahi31','Vampire_Shadow_Protector'
'561','idahj31','Guardian_Shadow_Protector'
'562','idahk31','Sharp_Shadow_Protector'
'563','idahl31','Grand_Shadow_Protector'
'564','idaha33','Advanced_Strength_Beam_Protector'
'565','idahb33','Saving_Beam_Protector'
'566','idahc33','Fine_Beam_Protector'
'567','idahd33','Anti_Sharp_Beam_Protector'
'568','idahe33','Strong_Beam_Protector'
'569','idahf33','Solid_Beam_Protector'
'570','idahg33','Strength_Beam_Protector'
'571','idahh33','Protection_Beam_Protector'
'572','idahi33','Vampire_Beam_Protector'
'573','idahj33','Guardian_Beam_Protector'
'574','idahk33','Sharp_Beam_Protector'
'575','idahl33','Grand_Beam_Protector'
'576','idaha35','Advanced_Strength_Large_Protector'
'577','idahb35','Saving_Large_Protector'
'578','idahc35','Fine_Large_Protector'
'579','idahd35','Anti_Sharp_Large_Protector'
'580','idahe35','Strong_Large_Protector'
'581','idahf35','Solid_Large_Protector'
'582','idahg35','Strength_Large_Protector'
'583','idahh35','Protection_Large_Protector'
'584','idahi35','Vampire_Large_Protector'
'585','idahj35','Guardian_Large_Protector'
'586','idahk35','Sharp_Large_Protector'
'587','idahl35','Grand_Large_Protector'
'588','idaha37','Advanced_Strength_Crystal_Protector'
'589','idahb37','Saving_Crystal_Protector'
'590','idahc37','Fine_Crystal_Protector'
'591','idahd37','Anti_Sharp_Crystal_Protector'
'592','idahe37','Strong_Crystal_Protector'
'593','idahf37','Solid_Crystal_Protector'
'594','idahg37','Strength_Crystal_Protector'
'595','idahh37','Protection_Crystal_Protector'
'596','idahi37','Vampire_Crystal_Protector'
'597','idahj37','Guardian_Crystal_Protector'
'598','idahk37','Sharp_Crystal_Protector'
'599','idahl37','Grand_Crystal_Protector'
'600','idaha39','Advanced_Strength_Round_Protector'
'601','idahb39','Saving_Round_Protector'
'602','idahc39','Fine_Round_Protector'
'603','idahd39','Anti_Sharp_Round_Protector'
'604','idahe39','Strong_Round_Protector'
'605','idahf39','Solid_Round_Protector'
'606','idahg39','Strength_Round_Protector'
'607','idahh39','Protection_Round_Protector'
'608','idahi39','Vampire_Round_Protector'
'609','idahj39','Guardian_Round_Protector'
'610','idahk39','Sharp_Round_Protector'
'611','idahl39','Grand_Round_Protector'
'612','idaha41','Advanced_Strength_Beam_Cross_Protector'
'613','idahb41','Saving_Beam_Cross_Protector'
'614','idahc41','Fine_Beam_Cross_Protector'
'615','idahd41','Anti_Sharp_Beam_Cross_Protector'
'616','idahe41','Strong_Beam_Cross_Protector'
'617','idahf41','Solid_Beam_Cross_Protector'
'618','idahg41','Strength_Beam_Cross_Protector'
'619','idahh41','Protection_Beam_Cross_Protector'
'620','idahi41','Vampire_Beam_Cross_Protector'
'621','idahj41','Guardian_Beam_Cross_Protector'
'622','idahk41','Sharp_Beam_Cross_Protector'
'623','idahl41','Grand_Beam_Cross_Protector'
'624','idaha43','Advanced_Strength_Beam_Round_Protector'
'625','idahb43','Saving_Beam_Round_Protector'
'626','idahc43','Fine_Beam_Round_Protector'
'627','idahd43','Anti_Sharp_Beam_Round_Protector'
'628','idahe43','Strong_Beam_Round_Protector'
'629','idahf43','Solid_Beam_Round_Protector'
'630','idahg43','Strength_Beam_Round_Protector'
'631','idahh43','Protection_Beam_Round_Protector'
'632','idahi43','Vampire_Beam_Round_Protector'
'633','idahj43','Guardian_Beam_Round_Protector'
'634','idahk43','Sharp_Beam_Round_Protector'
'635','idahl43','Grand_Beam_Round_Protector'
'636','idaha45','Advanced_Strength_Golden_Protector'
'637','idahb45','Saving_Golden_Protector'
'638','idahc45','Fine_Golden_Protector'
'639','idahd45','Anti_Sharp_Golden_Protector'
'640','idahe45','Strong_Golden_Protector'
'641','idahf45','Solid_Golden_Protector'
'642','idahg45','Strength_Golden_Protector'
'643','idahh45','Protection_Golden_Protector'
'644','idahi45','Vampire_Golden_Protector'
'645','idahj45','Guardian_Golden_Protector'
'646','idahk45','Sharp_Golden_Protector'
'647','idahl45','Grand_Golden_Protector'
'648','idaha47','Advanced_Strength_Sic_Protector'
'649','idahb47','Saving_Sic_Protector'
'650','idahc47','Fine_Sic_Protector'
'651','idahd47','Anti_Sharp_Sic_Protector'
'652','idahe47','Strong_Sic_Protector'
'653','idahf47','Solid_Sic_Protector'
'654','idahg47','Strength_Sic_Protector'
'655','idahh47','Protection_Sic_Protector'
'656','idahi47','Vampire_Sic_Protector'
'657','idahj47','Guardian_Sic_Protector'
'658','idahk47','Sharp_Sic_Protector'
'659','idahl47','Grand_Sic_Protector'
'660','idaha50','Advanced_Strength_Platium_Protector'
'661','idahb50','Saving_Platium_Protector'
'662','idahc50','Fine_Platium_Protector'
'663','idahd50','Anti_Sharp_Platium_Protector'
'664','idahe50','Strong_Platium_Protector'
'665','idahf50','Solid_Platium_Protector'
'666','idahg50','Strength_Platium_Protector'
