'0','igdbf01','Default_Bellato_Male_Gloves_1'
'104','igbwa21','Enamel_Bracelet(Bellato_Warrior_TypeA)'
'105','igbwb21','Intense_Enamel_Bracelet(Bellato_Warrior_TypeB)'
'106','igbwc21','Enamel_Bracelet(Bellato_Warrior_TypeC)'
'107','igbwd21','Enamel_Bracelet(Bellato_Warrior_TypeD)'
'108','igbwa23','Rust_Duple_Bracelet(Bellato_Warrior_TypeA)'
'109','igbwb23','Intense_Rust_Duple_Bracelet(Bellato_Warrior_TypeB)'
'110','igbwc23','Rust_Duple_Bracelet(Bellato_Warrior_TypeC)'
'111','igbwd23','Rust_Duple_Bracelet(Bellato_Warrior_TypeD)'
'112','igbwa25','Duple_Bracelet(Bellato_Warrior_TypeA)'
'113','igbwb25','Intense_Duple_Bracelet(Bellato_Warrior_TypeB)'
'114','igbwc25','Duple_Bracelet(Bellato_Warrior_TypeC)'
'115','igbwd25','Duple_Bracelet(Bellato_Warrior_TypeD)'
'116','igbwa27','Soul_Bracelet(Bellato_Warrior_TypeA)'
'117','igbwb27','Intense_Soul_Bracelet(Bellato_Warrior_TypeB)'
'118','igbwc27','Soul_Bracelet(Bellato_Warrior_TypeC)'
'119','igbwd27','Soul_Bracelet(Bellato_Warrior_TypeD)'
'120','igbwa29','Glim_Bracelet(Bellato_Warrior_TypeA)'
'121','igbwb29','Intense_Glim_Bracelet(Bellato_Warrior_TypeB)'
'122','igbwc29','Glim_Bracelet(Bellato_Warrior_TypeC)'
'123','igbwd29','Glim_Bracelet(Bellato_Warrior_TypeD)'
'124','igbwa31','Soul_Render_Armlet(Bellato_Warrior_TypeA)'
'125','igbwb31','Intense_Soul_Render_Armlet(Bellato_Warrior_TypeB)'
'126','igbwc31','Soul_Render_Armlet(Bellato_Warrior_TypeC)'
'127','igbwd31','Soul_Render_Armlet(Bellato_Warrior_TypeD)'
'128','igbwa33','Bright_Armlet(Bellato_Warrior_TypeA)'
'129','igbwb33','Intense_Bright_Armlet(Bellato_Warrior_TypeB)'
'130','igbwc33','Bright_Armlet(Bellato_Warrior_TypeC)'
'131','igbwd33','Bright_Armlet(Bellato_Warrior_TypeD)'
'132','igbwa35','Normal_Siege_Armlet(Bellato_Warrior_TypeA)'
'133','igbwb35','Intense_Normal_Siege_Armlet(Bellato_Warrior_TypeB)'
'134','igbwc35','Normal_Siege_Armlet(Bellato_Warrior_TypeC)'
'135','igbwd35','Normal_Siege_Armlet(Bellato_Warrior_TypeD)'
'136','igbwa37','Siege_Armlet(Bellato_Warrior_TypeA)'
'137','igbwb37','Intense_Siege_Armlet(Bellato_Warrior_TypeB)'
'138','igbwc37','Siege_Armlet(Bellato_Warrior_TypeC)'
'139','igbwd37','Siege_Armlet(Bellato_Warrior_TypeD)'
'140','igbwa39','Core_Armlet(Bellato_Warrior_TypeA)'
'141','igbwb39','Intense_Core_Armlet(Bellato_Warrior_TypeB)'
'142','igbwc39','Core_Armlet(Bellato_Warrior_TypeC)'
'143','igbwd39','Core_Armlet(Bellato_Warrior_TypeD)'
'144','igbwa41','Double_Core_Gauntlets(Bellato_Warrior_TypeA)'
'145','igbwb41','Intense_Double_Core_Gauntlets(Bellato_Warrior_TypeB)'
'146','igbwc40','Normal_Uniform_Armlet<GuildMasterOnly>'
'147','igbwd40','Normal_Uniform_Armlet<ArchonOnly>'
'148','igbwa43','Chip_Magnetic_Gauntlets(Bellato_Warrior_TypeA)'
'149','igbwb43','Intense_Chip_Magnetic_Gauntlets(Bellato_Warrior_TypeB)'
'150','igbwc43','Chip_Magnetic_Gauntlets(Bellato_Warrior_TypeC)'
'151','igbwd43','Chip_Magnetic_Gauntlets(Bellato_Warrior_TypeD)'
'152','igbwa45','Magnetic_Gauntlets(Bellato_Warrior_TypeA)'
'153','igbwb45','Intense_Magnetic_Gauntlets(Bellato_Warrior_TypeB)'
'154','igbwc45','Symbol_of_Leader_Gauntlet'
'155','igbwd45','Bellato_Union`s_Shout_Gauntlet'
'156','igbwa47','Berserker_Gauntlets(Bellato_Warrior_TypeA)'
'157','igbwb47','Intense_Berserker_Gauntlets(Bellato_Warrior_TypeB)'
'158','igbwc47','Berserker_Gauntlets(Bellato_Warrior_TypeC)'
'159','igbwd47','Berserker_Gauntlets(Bellato_Warrior_TypeD)'
'160','igbwa50','Golden_Gauntlets(Bellato_Warrior_TypeA)'
'161','igbwb50','Intense_Golden_Gauntlets(Bellato_Warrior_TypeB)'
'162','igbwc50','Palmas_Arm_Protector<M-type>'
'163','igbwd50','Golden_Gauntlets(Bellato_Warrior_TypeD)'
'164','igbra04','Light_Training_None(Bellato_Ranger_TypeA)'
'165','igbrb04','Intense_Light_Training_None(Bellato_Ranger_TypeB)'
'166','igbrc04','Premium_R.Lv1_Glove(Bellato_Ranger_TypeC)'
'167','igbrd04','Premium_R.Lv43_Glove(Bellato_Ranger_TypeC)'
'168','igbra07','Close_None(Bellato_Ranger_TypeA)'
'169','igbrb07','Intense_Close_None(Bellato_Ranger_TypeB)'
'170','igbrc07','Close_None(Bellato_Ranger_TypeC)'
'171','igbrd07','Close_none(Bellato_Ranger_TypeD)'
'172','igbra10','Hard_Close_None(Bellato_Ranger_TypeA)'
'173','igbrb10','Intense_Hard_Close_none(Bellato_Ranger_TypeB)'
'174','igbrc10','Hard_Close_None(Bellato_Ranger_TypeC)'
'175','igbrd10','Hard_Close_None(Bellato_Ranger_TypeD)'
'176','igbra13','Coles_Leather_Glove(Bellato_Ranger_TypeA)'
'177','igbrb13','Intense_Coles_Leather_Glove(Bellato_Ranger_TypeB)'
'178','igbrc13','Coles_Leather_Glove(Bellato_Ranger_TypeC)'
'179','igbrd13','Coles_Leather_Glove(Bellato_Ranger_TypeD)'
'180','igbra16','Tender_Leather_Glove(Bellato_Ranger_TypeA)'
'181','igbrb16','Intense_Tender_Leather_Glove(Bellato_Ranger_TypeB)'
'182','igbrc16','Tender_Leather_Glove(Bellato_Ranger_TypeC)'
'183','igbrd16','Tender_Leather_Glove(Bellato_Ranger_TypeD)'
'184','igbra19','Chip_Lease_Glove(Bellato_Ranger_TypeA)'
'185','igbrb19','Intense_Chip_Lease_Glove(Bellato_Ranger_TypeB)'
'186','igbrc19','Chip_Lease_Glove(Bellato_Ranger_TypeC)'
'187','igbrd19','Chip_Lease_Glove(Bellato_Ranger_TypeD)'
'188','igbra21','Hora_Bangle(Bellato_Ranger_TypeA)'
'189','igbrb21','Intense_Hora_Bangle(Bellato_Ranger_TypeB)'
'190','igbrc21','Hora_Bangle(Bellato_Ranger_TypeC)'
'191','igbrd21','Hora_Bangle(Bellato_Ranger_TypeD)'
'192','igbra23','Hersk_Bangle(Bellato_Ranger_TypeA)'
'193','igbrb23','Intense_Hersk_Bangle(Bellato_Ranger_TypeB)'
'194','igbrc23','Hersk_Bangle(Bellato_Ranger_TypeC)'
'195','igbrd23','Hersk_Bangle(Bellato_Ranger_TypeD)'
'196','igbra25','Hard_Hersk_Bangle(Bellato_Ranger_TypeA)'
'197','igbrb25','Intense_Hard_Hersk_Bangle(Bellato_Ranger_TypeB)'
'198','igbrc25','Hard_Hersk_Bangle(Bellato_Ranger_TypeC)'
'199','igbrd25','Hard_Hersk_Bangle(Bellato_Ranger_TypeD)'
'200','igbra27','Low_Rapid_Bangle(Bellato_Ranger_TypeA)'
'201','igbrb27','Intense_Low_Rapid_Bangle(Bellato_Ranger_TypeB)'
'202','igbrc27','Low_Rapid_Bangle(Bellato_Ranger_TypeC)'
'203','igbrd27','Low_Rapid_Bangle(Bellato_Ranger_TypeD)'
'204','igbra29','Rapid_Bangle(Bellato_Ranger_TypeA)'
'205','igbrb29','Intense_Rapid_Bangle(Bellato_Ranger_TypeB)'
'206','igbrc29','Rapid_Bangle(Bellato_Ranger_TypeC)'
'207','igbrd29','Rapid_Bangle(Bellato_Ranger_TypeD)'
'208','igbra31','Rust_Spring_Bracelet(Bellato_Ranger_TypeA)'
'209','igbrb31','Intense_Rust_Spring_Bracelet(Bellato_Ranger_TypeB)'
'210','igbrc31','Rust_Spring_Bracelet(Bellato_Ranger_TypeC)'
'211','igbrd31','Rust_Spring_Bracelet(Bellato_Ranger_TypeD)'
'212','igbra33','Spring_Bracelet(Bellato_Ranger_TypeA)'
'213','igbrb33','Intense_Spring_Bracelet(Bellato_Ranger_TypeB)'
'214','igbrc33','Spring_Bracelet(Bellato_Ranger_TypeC)'
'215','igbrd33','Spring_Bracelet(Bellato_Ranger_TypeD)'
'216','igbra35','Hunter_Bracelet(Bellato_Ranger_TypeA)'
'217','igbrb35','Intense_Hunter_Bracelet(Bellato_Ranger_TypeB)'
'218','igbrc35','Hunter_Bracelet(Bellato_Ranger_TypeC)'
'219','igbrd35','Hunter_Bracelet(Bellato_Ranger_TypeD)'
'220','igbra37','Chief_Hunter_Bracelet(Bellato_Ranger_TypeA)'
'221','igbrb37','Intense_Chief_Hunter_Bracelet(Bellato_Ranger_TypeB)'
'222','igbrc37','Chief_Hunter_Bracelet(Bellato_Ranger_TypeC)'
'223','igbrd37','Chief_Hunter_Bracelet(Bellato_Ranger_TypeD)'
'224','igbra39','Tiny_Ell_Bracelet(Bellato_Ranger_TypeA)'
'225','igbrb39','Intense_Tiny_Ell_Bracelet(Bellato_Ranger_TypeB)'
'226','igbrc39','Tiny_Ell_Bracelet(Bellato_Ranger_TypeC)'
'227','igbrd39','Tiny_Ell_Bracelet(Bellato_Ranger_TypeD)'
'228','igbra41','Ell_Armlet(Bellato_Ranger_TypeA)'
'229','igbrb41','Intense_Ell_Armlet(Bellato_Ranger_TypeB)'
'230','igbrc41','Ell_Armlet(Bellato_Ranger_TypeC)'
'231','igbrd41','Ell_Armlet(Bellato_Ranger_TypeD)'
'232','igbra43','Feather_Armlet(Bellato_Ranger_TypeA)'
'233','igbrb43','Intense_Feather_Armlet(Bellato_Ranger_TypeB)'
'234','igbrc43','Feather_Armlet(Bellato_Ranger_TypeC)'
'235','igbrd43','Feather_Armlet(Bellato_Ranger_TypeD)'
'236','igbra45','Dragon_Feather_Armlet(Bellato_Ranger_TypeA)'
'237','igbrb45','Intense_Dragon_Feather_Armlet(Bellato_Ranger_TypeB)'
'238','igbrc45','Dragon_Feather_Gauntlet(Bellato_Ranger_TypeC)'
'239','igbrd45','Bellato_Union`s_Shout_Gauntlet(Bellato_Ranger_TypeD)'
'240','igbra47','Small_Hora_Armlet(Bellato_Ranger_TypeA)'
'241','igbrb47','Intense_Small_Hora_Armlet(Bellato_Ranger_TypeB)'
'242','igbrc47','Small_Hora_Armlet(Bellato_Ranger_TypeC)'
'243','igbrd47','Small_Hora_Armlet(Bellato_Ranger_TypeD)'
'244','igbra50','Please_Armlet(Bellato_Ranger_TypeA)'
'245','igbrb50','Intense_Please_Armlet(Bellato_Ranger_TypeB)'
'246','igbrc50','Palmas_Arm_Protector<R-type>'
'247','igbrd50','Please_Armlet(Bellato_Ranger_TypeD)'
'248','igbfa04','Normal_Training_Glove(Bellato_Force_TypeA)'
'249','igbfb04','Intense_Normal_Training_Glove(Bellato_Force_TypeB)'
'250','igbfc04','Normal_Training_Glove(Bellato_Force_TypeC)'
'251','igbfd04','Normal_Training_Glove(Bellato_Force_TypeD)'
'252','igbfa07','Linen_None(Bellato_Force_TypeA)'
'253','igbfb07','Intense_Linen_None(Bellato_Force_TypeB)'
'254','igbfc07','Linen_None(Bellato_Force_TypeC)'
'255','igbfd07','Linen_None(Bellato_Force_TypeD)'
'256','igbfa10','Field_Linen_None(Bellato_Force_TypeA)'
'257','igbfb10','Intense_Field_Linen_None(Bellato_Force_TypeB)'
'258','igbfc10','Field_Linen_None(Bellato_Force_TypeC)'
'259','igbfd10','Field_Linen_None(Bellato_Force_TypeD)'
'260','igbfa13','Silk_Glove(Bellato_Force_TypeA)'
'261','igbfb13','Intense_Silk_Glove(Bellato_Force_TypeB)'
'262','igbfc13','Silk_Glove(Bellato_Force_TypeC)'
'263','igbfd13','Silk_Glove(Bellato_Force_TypeD)'
'264','igbfa16','Hora_Silk_Glove(Bellato_Force_TypeA)'
'265','igbfb16','Intense_Hora_Silk_Glove(Bellato_Force_TypeB)'
'266','igbfc16','Hora_Silk_Glove(Bellato_Force_TypeC)'
'267','igbfd16','Hora_Silk_Glove(Bellato_Force_TypeD)'
'268','igbfa19','Supple_Leather_Glove(Bellato_Force_TypeA)'
'269','igbfb19','Intense_Supple_Leather_Glove(Bellato_Force_TypeB)'
'270','igbfc19','Supple_Leather_Glove(Bellato_Force_TypeC)'
'271','igbfd19','Supple_Leather_Glove(Bellato_Force_TypeD)'
'272','igbfa21','Studded_Leather_Glove(Bellato_Force_TypeA)'
'273','igbfb21','Intense_Studded_Leather_Glove(Bellato_Force_TypeB)'
'274','igbfc21','Studded_Leather_Glove(Bellato_Force_TypeC)'
'275','igbfd21','Studded_Leather_Glove(Bellato_Force_TypeD)'
'276','igbfa23','Long_Spirit_Bracelet(Bellato_Force_TypeA)'
'277','igbfb23','Intense_Long_Spirit_Bracelet(Bellato_Force_TypeB)'
'278','igbfc23','Long_Spirit_Glove(Bellato_Force_TypeC)'
'279','igbfd23','Long_Spirit_Glove(Bellato_Force_TypeD)'
'280','igbfa25','Spirit_Glove(Bellato_Force_TypeA)'
'281','igbfb25','Intense_Spirit_Glove(Bellato_Force_TypeB)'
'282','igbfc25','Spirit_Glove(Bellato_Force_TypeC)'
'283','igbfd25','Spirit_Glove(Bellato_Force_TypeD)'
'284','igbfa27','BattleMage_Glove(Bellato_Force_TypeA)'
'285','igbfb27','Intense_BattleMage_Glove(Bellato_Force_TypeB)'
'286','igbfc27','BattleMage_Glove(Bellato_Force_TypeC)'
'287','igbfd27','BattleMage_Glove(Bellato_Force_TypeD)'
'288','igbfa29','Mage_Glove(Bellato_Force_TypeA)'
'289','igbfb29','Intense_Mage_Glove(Bellato_Force_TypeB)'
'290','igbfc29','Mage_Glove(Bellato_Force_TypeC)'
'291','igbfd29','Mage_Glove(Bellato_Force_TypeD)'
'292','igbfa31','Priest_Mitten(Bellato_Force_TypeA)'
'293','igbfb31','Intense_Priest_Mitten(Bellato_Force_TypeB)'
'294','igbfc31','Priest_Mitten(Bellato_Force_TypeC)'
'295','igbfd31','Priest_Mitten(Bellato_Force_TypeD)'
'296','igbfa33','Mind_Mitten(Bellato_Force_TypeA)'
'297','igbfb33','Intense_Mind_Mitten(Bellato_Force_TypeB)'
'298','igbfc33','Mind_Mitten(Bellato_Force_TypeC)'
'299','igbfd33','Mind_Mitten(Bellato_Force_TypeD)'
'300','igbfa35','Warlock_Mitten(Bellato_Force_TypeA)'
'301','igbfb35','Intense_Warlock_Mitten(Bellato_Force_TypeB)'
'302','igbfc35','Warlock_Mitten(Bellato_Force_TypeC)'
'303','igbfd35','Warlock_Mitten(Bellato_Force_TypeD)'
'304','igbfa37','Field_Warlock_Mitten(Bellato_Force_TypeA)'
'305','igbfb37','Intense_Field_Warlock_Mitten(Bellato_Force_TypeB)'
'306','igbfc37','Field_Warlock_Mitten(Bellato_Force_TypeC)'
'307','igbfd37','Field_Warlock_Mitten(Bellato_Force_TypeD)'
'308','igbfa39','Battle_Mitten(Bellato_Force_TypeA)'
'309','igbfb39','Intense_Battle_Mitten(Bellato_Force_TypeB)'
'310','igbfc39','Battle_Mitten(Bellato_Force_TypeC)'
'311','igbfd39','Battle_Mitten(Bellato_Force_TypeD)'
'312','igbfa41','Bless_Gloves(Bellato_Force_TypeA)'
'313','igbfb41','Intense_Bless_Gloves(Bellato_Force_TypeB)'
'314','igbfc41','Bless_Gloves(Bellato_Force_TypeC)'
'315','igbfd41','Bless_Gloves(Bellato_Force_TypeD)'
'316','igbfa43','Simple_Baal_Glove(Bellato_Force_TypeA)'
'317','igbfb43','Intense_Simple_Baal_Glove(Bellato_Force_TypeB)'
'318','igbfc43','Simple_Baal_Glove(Bellato_Force_TypeC)'
'319','igbfd43','Simple_Baal_Glove(Bellato_Force_TypeD)'
'320','igbfa45','Baal_Glove(Bellato_Force_TypeA)'
'321','igbfb45','Intense_Baal_Glove(Bellato_Force_TypeB)'
'322','igbfc45','Symbol_of_leader_Gauntlet(Bellato_Force_TypeC)'
'323','igbfd45','Bellato_Union`s_Shout_Guantlet(Bellato_Force_TypeD)'
'324','igbfa47','Noble_Glove(Bellato_Force_TypeA)'
'325','igbfb47','Intense_Noble_Glove(Bellato_Force_TypeB)'
'326','igbfc47','Noble_Glove(Bellato_Force_TypeC)'
'327','igbfd47','Noble_Glove(Bellato_Force_TypeD)'
'328','igbfa50','Noble_Hora_Glove(Bellato_Force_TypeA)'
'329','igbfb50','Intense_Noble_Hora_Glove(Bellato_Force_TypeB)'
'330','igbfc50','Palmas_Arm_Protector<F-type>'
'331','igbfd50','Noble_Hora_Glove(Bellato_Force_TypeD)'
'332','igcwa04','Training_Smock_Glove(Cora_Warrior_TypeA)'
'333','igcwb04','Intense_Training_Smock_Glove(Cora_Warrior_TypeB)'
'334','igcwc04','Training_Smock_Glove(Cora_Warrior_TypeC)'
'335','igcwd04','Training_Smock_Glove(Cora_Warrior_TypeD)'
'336','igcwa07','Smock_Glove(Cora_Warrior_TypeA)'
'337','igcwb07','Intense_Smock_Glove(Cora_Warrior_TypeB)'
'338','igcwc07','Smock_Glove(Cora_Warrior_TypeC)'
'339','igcwd07','Smock_Glove(Cora_Warrior_TypeD)'
'340','igcwa10','Warrior_Smock_Glove(Cora_Warrior_TypeA)'
'341','igcwb10','Intense_Warrior_Smock_Glove(Cora_Warrior_TypeB)'
'342','igcwc10','Warrior_Smock_Glove(Cora_Warrior_TypeC)'
'343','igcwd10','Warrior_Smock_Glove(Cora_Warrior_TypeD)'
'344','igcwa13','Rust_Cordovan_Bangle(Cora_Warrior_TypeA)'
'345','igcwb13','Intense_Rust_Cordovan_Bangle(Cora_Warrior_TypeB)'
'346','igcwc13','Rust_Cordovan_Bangle(Cora_Warrior_TypeC)'
'347','igcwd13','Rust_Cordovan_Bangle(Cora_Warrior_TypeD)'
'348','igcwa16','Cordovan_Bangle(Cora_Warrior_TypeA)'
'349','igcwb16','Intense_Cordovan_Bangle(Cora_Warrior_TypeB)'
'350','igcwc16','Cordovan_Bangle(Cora_Warrior_TypeC)'
'351','igcwd16','Cordovan_Bangle(Cora_Warrior_TypeD)'
'352','igcwa19','Mid_Glow_Bangle(Cora_Warrior_TypeA)'
'353','igcwb19','Intense_Mid_Glow_Bangle(Cora_Warrior_TypeB)'
'354','igcwc19','Mid_Glow_Bangle(Cora_Warrior_TypeC)'
'355','igcwd19','Mid_Glow_Bangle(Cora_Warrior_TypeD)'
'356','igcwa21','Glow_Bracelet(Cora_Warrior_TypeA)'
'357','igcwb21','Intense_Glow_Bracelet(Cora_Warrior_TypeB)'
'358','igcwc21','Glow_Bracelet(Cora_Warrior_TypeC)'
'359','igcwd21','Glow_Bracelet(Cora_Warrior_TypeD)'
'360','igcwa23','Coil_Bracelet(Cora_Warrior_TypeA)'
'361','igcwb23','Intense_Coil_Bracelet(Cora_Warrior_TypeB)'
'362','igcwc23','Coil_Bracelet(Cora_Warrior_TypeC)'
'363','igcwd23','Coil_Bracelet(Cora_Warrior_TypeD)'
'364','igcwa25','Mild_Coil_Bracelet(Cora_Warrior_TypeA)'
'365','igcwb25','Intense_Mild_Coil_Bracelet(Cora_Warrior_TypeB)'
'366','igcwc25','Mild_Coil_Bracelet(Cora_Warrior_TypeC)'
'367','igcwd25','Mild_Coil_Bracelet(Cora_Warrior_TypeD)'
'368','igcwa27','Dark_Bracelet(Cora_Warrior_TypeA)'
'369','igcwb27','Intense_Dark_Bracelet(Cora_Warrior_TypeB)'
'370','igcwc27','Dark_Bracelet(Cora_Warrior_TypeC)'
'371','igcwd27','Dark_Bracelet(Cora_Warrior_TypeD)'
'372','igcwa29','Cora_Dark_Bracelet(Cora_Warrior_TypeA)'
'373','igcwb29','Intense_Cora_Dark_Bracelet(Cora_Warrior_TypeB)'
'374','igcwc29','Cora_Dark_Bracelet(Cora_Warrior_TypeC)'
'375','igcwd29','Cora_Dark_Bracelet(Cora_Warrior_TypeD)'
'376','igcwa31','Small_Curse_Armlet(Cora_Warrior_TypeA)'
'377','igcwb31','Intense_Small_Curse_Armlet(Cora_Warrior_TypeB)'
'378','igcwc31','Small_Curse_Armlet(Cora_Warrior_TypeC)'
'379','igcwd31','Small_Curse_Armlet(Cora_Warrior_TypeD)'
'380','igcwa33','Curse_Armlet(Cora_Warrior_TypeA)'
'381','igcwb33','Intense_Curse_Armlet(Cora_Warrior_TypeB)'
'382','igcwc33','Curse_Armlet(Cora_Warrior_TypeC)'
'383','igcwd33','Curse_Armlet(Cora_Warrior_TypeD)'
'384','igcwa35','Small_Bone_Armlet(Cora_Warrior_TypeA)'
'385','igcwb35','Intense_Small_Bone_Armlet(Cora_Warrior_TypeB)'
'386','igcwc35','Small_Bone_Armlet(Cora_Warrior_TypeC)'
'387','igcwd35','Small_Bone_Armlet(Cora_Warrior_TypeD)'
'388','igcwa37','Hora_Armlet(Cora_Warrior_TypeA)'
'389','igcwb37','Intense_Hora_Armlet(Cora_Warrior_TypeB)'
'390','igcwc37','Hora_Armlet(Cora_Warrior_TypeC)'
'391','igcwd37','Hora_Armlet(Cora_Warrior_TypeD)'
'392','igcwa39','Odinz_Ra_Armlet(Cora_Warrior_TypeA)'
'393','igcwb39','Intense_Odinz_Ra_Armlet(Cora_Warrior_TypeB)'
'394','igcwc39','Odinz_Ra_Armlet(Cora_Warrior_TypeC)'
'395','igcwd39','Odinz_Ra_Armlet(Cora_Warrior_TypeD)'
'396','igcwa41','Odinz_Gauntlets(Cora_Warrior_TypeA)'
'397','igcwb41','Intense_Odinz_Gauntlets(Cora_Warrior_TypeB)'
