'0','ihdbf01','Default_Bellato_Male_Helmet1'
'36','ihdcf05','Default_Cora_Male_Helmet5'
'37','ihdcf06','Default_Cora_Male_Helmet6'
'38','ihdcf07','Default_Cora_Male_Helmet7'
'39','ihdcf08','Default_Cora_Male_Helmet8'
'40','ihdcf09','Default_Cora_Male_Helmet9'
'41','ihdcf10','Default_Cora_Male_Helmet10'
'42','ihdcf11','Default_Cora_Male_Helmet11'
'43','ihdcf12','Default_Cora_Male_Helmet12'
'44','ihdcf13','Default_Cora_Male_Helmet13'
'45','ihdcf14','Default_Cora_Male_Helmet14'
'46','ihdcf15','Default_Cora_Male_Helmet15'
'47','ihdcf16','Default_Cora_Male_Helmet16'
'48','ihdcm01','Default_Cora_Female_Helmet1'
'49','ihdcm02','Default_Cora_Female_Helmet2'
'50','ihdcm03','Default_Cora_Female_Helmet3'
'51','ihdcm04','Default_Cora_Female_Helmet4'
'52','ihdcm05','Default_Cora_Female_Helmet5'
'53','ihdcm06','Default_Cora_Female_Helmet6'
'54','ihdcm07','Default_Cora_Female_Helmet7'
'55','ihdcm08','Default_Cora_Female_Helmet8'
'56','ihdcm09','Default_Cora_Female_Helmet9'
'57','ihdcm10','Default_Cora_Female_Helmet10'
'58','ihdcm11','Default_Cora_Female_Helmet11'
'59','ihdcm12','Default_Cora_Female_Helmet12'
'60','ihdcm13','Default_Cora_Female_Helmet13'
'61','ihdcm14','Default_Cora_Female_Helmet14'
'62','ihdcm15','Default_Cora_Female_Helmet15'
'63','ihdcm16','Default_Cora_Female_Helmet16'
'64','ihdam01','Default_Accretia_Helmet1'
'65','ihdam02','Default_Accretia_Helmet2'
'66','ihdam03','Default_Accretia_Helmet3'
'67','ihdam04','Default_Accretia_Helmet4'
'68','ihdam05','Default_Accretia_Helmet5'
'69','ihdam06','Default_Accretia_Helmet6'
'70','ihdam07','Default_Accretia_Helmet7'
'71','ihdam08','Default_Accretia_Helmet8'
'72','ihdam09','Default_Accretia_Helmet9'
'73','ihdam10','Default_Accretia_Helmet10'
'74','ihdam11','Default_Accretia_Helmet11'
'75','ihdam12','Default_Accretia_Helmet12'
'76','ihdam13','Default_Accretia_Helmet13'
'77','ihdam14','Default_Accretia_Helmet14'
'78','ihdam15','Default_Accretia_Helmet15'
'79','ihdam16','Default_Accretia_Helmet16'
'80','ihbwa04','Training_Cap(Bellato_Warrior_TypeA)'
'81','ihbwb04','Intense_Training_Cap(Bellato_Warrior_TypeB)'
'82','ihbwc04','Training_Cap(Bellato_Warrior_TypeC)'
'83','ihbwd04','Training_Cap(Bellato_Warrior_TypeD)'
'84','ihbwa07','Rag_Cap(Bellato_Warrior_TypeA)'
'85','ihbwb07','Intense_Rag_Cap(Bellato_Warrior_TypeB)'
'86','ihbwc07','Rag_Cap(Bellato_Warrior_TypeC)'
'87','ihbwd07','Rag_Cap(Bellato_Warrior_TypeD)'
'88','ihbwa10','Leather_Cap(Bellato_Warrior_TypeA)'
'89','ihbwb10','Intense_Leather_Cap(Bellato_Warrior_TypeB)'
'90','ihbwc10','Leather_Cap(Bellato_Warrior_TypeC)'
'91','ihbwd10','Leather_Cap(Bellato_Warrior_TypeD)'
'92','ihbwa13','Normal_Parsal_Circlet(Bellato_Warrior_TypeA)'
'93','ihbwb13','Intense_Normal_Parsal_Circlet(Bellato_Warrior_TypeB)'
'94','ihbwc13','Normal_Parsal_Circlet(Bellato_Warrior_TypeC)'
'95','ihbwd13','Normal_Parsal_Circlet(Bellato_Warrior_TypeD)'
'96','ihbwa16','Parsal_Circlet(Bellato_Warrior_TypeA)'
'97','ihbwb16','Intense_Parsal_Circlet(Bellato_Warrior_TypeB)'
'98','ihbwc16','Parsal_Circlet(Bellato_Warrior_TypeC)'
'99','ihbwd16','Parsal_Circlet(Bellato_Warrior_TypeD)'
'100','ihbwa19','Light_Enamel_Circlet(Bellato_Warrior_TypeA)'
'101','ihbwb19','Intense_Light_Enamel_Circlet(Bellato_Warrior_TypeB)'
'102','ihbwc19','Light_Enamel_Circlet(Bellato_Warrior_TypeC)'
'103','ihbwd19','Light_Enamel_Circlet(Bellato_Warrior_TypeD)'
'104','ihbwa21','Enamel_Helmet(Bellato_Warrior_TypeA)'
'105','ihbwb21','Intense_Enamel_Helmet(Bellato_Warrior_TypeB)'
'106','ihbwc21','Enamel_Helmet(Bellato_Warrior_TypeC)'
'107','ihbwd21','Enamel_Helmet(Bellato_Warrior_TypeD)'
'108','ihbwa23','Rust_Duple_Helmet(Bellato_Warrior_TypeA)'
'109','ihbwb23','Intense_Rust_Duple_Helmet(Bellato_Warrior_TypeB)'
'110','ihbwc23','Rust_Duple_Helmet(Bellato_Warrior_TypeC)'
'111','ihbwd23','Rust_Duple_Helmet(Bellato_Warrior_TypeD)'
'112','ihbwa25','Duple_Helmet(Bellato_Warrior_TypeA)'
'113','ihbwb25','Intense_Duple_Helmet(Bellato_Warrior_TypeB)'
'114','ihbwc25','Duple_Helmet(Bellato_Warrior_TypeC)'
'115','ihbwd25','Duple_Helmet(Bellato_Warrior_TypeD)'
'116','ihbwa27','Soul_Helmet(Bellato_Warrior_TypeA)'
'117','ihbwb27','Intense_Soul_Helmet(Bellato_Warrior_TypeB)'
'118','ihbwc27','Soul_Helmet(Bellato_Warrior_TypeC)'
'119','ihbwd27','Soul_Helmet(Bellato_Warrior_TypeD)'
'120','ihbwa29','Glim_Helmet(Bellato_Warrior_TypeA)'
'121','ihbwb29','Intense_Glim_Helmet(Bellato_Warrior_TypeB)'
'122','ihbwc29','Glim_Helmet(Bellato_Warrior_TypeC)'
'123','ihbwd29','Glim_Helmet(Bellato_Warrior_TypeD)'
'124','ihbwa31','Soul_Render_HeadGear(Bellato_Warrior_TypeA)'
'125','ihbwb31','Intense_Soul_Render_HeadGear(Bellato_Warrior_TypeB)'
'126','ihbwc31','Soul_Render_HeadGear(Bellato_Warrior_TypeC)'
'127','ihbwd31','Soul_Render_HeadGear(Bellato_Warrior_TypeD)'
'128','ihbwa33','Bright_HeadGear(Bellato_Warrior_TypeA)'
'129','ihbwb33','Intense_Bright_HeadGear(Bellato_Warrior_TypeB)'
'130','ihbwc33','Bright_HeadGear(Bellato_Warrior_TypeC)'
'131','ihbwd33','Bright_HeadGear(Bellato_Warrior_TypeD)'
'132','ihbwa35','Normal_Siege_HeadGear(Bellato_Warrior_TypeA)'
'133','ihbwb35','Intense_Normal_Siege_HeadGear(Bellato_Warrior_TypeB)'
'134','ihbwc35','Normal_Siege_HeadGear(Bellato_Warrior_TypeC)'
'135','ihbwd35','Normal_Siege_HeadGear(Bellato_Warrior_TypeD)'
'136','ihbwa37','Siege_HeadGear(Bellato_Warrior_TypeA)'
'137','ihbwb37','Intense_Siege_HeadGear(Bellato_Warrior_TypeB)'
'138','ihbwc37','Siege_HeadGear(Bellato_Warrior_TypeC)'
'139','ihbwd37','Siege_HeadGear(Bellato_Warrior_TypeD)'
'140','ihbwa39','Core_HeadGear(Bellato_Warrior_TypeA)'
'141','ihbwb39','Intense_Core_HeadGear(Bellato_Warrior_TypeB)'
'142','ihbwc39','Core_HeadGear(Bellato_Warrior_TypeC)'
'143','ihbwd39','Core_HeadGear(Bellato_Warrior_TypeD)'
'144','ihbwa41','Double_Core_FullHelm(Bellato_Warrior_TypeA)'
'145','ihbwb41','Intense_Double_Core_FullHelm(Bellato_Warrior_TypeB)'
'146','ihbwc40','Normal_Uniform_Headgear<GuildMasterOnly>'
'147','ihbwd40','Normal_Uniform_Headgear<ArchonOnly>'
'148','ihbwa43','Chip_Magnetic_FullHelm(Bellato_Warrior_TypeA)'
'149','ihbwb43','Intense_Chip_Magnetic_FullHelm(Bellato_Warrior_TypeB)'
'150','ihbwc43','Chip_Magnetic_FullHelm(Bellato_Warrior_TypeC)'
'151','ihbwd43','Chip_Magnetic_FullHelm(Bellato_Warrior_TypeD)'
'152','ihbwa45','Magnetic_FullHelm(Bellato_Warrior_TypeA)'
'153','ihbwb45','Intense_Magnetic_FullHelm(Bellato_Warrior_TypeB)'
'154','ihbwc45','Symbol_of_Leader_FullHelm'
'155','ihbwd45','Bellato_Union`s_Shout_FullHelm'
'156','ihbwa47','Berserker_FullHelm(Bellato_Warrior_TypeA)'
'157','ihbwb47','Intense_Berserker_FullHelm(Bellato_Warrior_TypeB)'
'158','ihbwc47','Berserker_FullHelm(Bellato_Warrior_TypeC)'
'159','ihbwd47','Berserker_FullHelm(Bellato_Warrior_TypeD)'
'160','ihbwa50','Golden_FullHelm(Bellato_Warrior_TypeA)'
'161','ihbwb50','Intense_Golden_FullHelm(Bellato_Warrior_TypeB)'
'162','ihbwc50','Palmas_Head_Protector<M-type>'
'163','ihbwd50','Golden_FullHelm(Bellato_Warrior_TypeD)'
'164','ihbra04','Light_Training_None(Bellato_Ranger_TypeA)'
'165','ihbrb04','Intense_Light_Training_None(Bellato_Ranger_TypeB)'
'166','ihbrc04','Light_Training_None(Bellato_Ranger_TypeC)'
'167','ihbrd04','Light_Training_None(Bellato_Ranger_TypeD)'
'168','ihbra07','Clos_None(Bellato_Ranger_TypeA)'
'169','ihbrb07','Intense_Clos_None(Bellato_Ranger_TypeB)'
'170','ihbrc07','Clos_None(Bellato_Ranger_TypeC)'
'171','ihbrd07','Clos_None(Bellato_Ranger_TypeD)'
'172','ihbra10','Hard_Clos_None(Bellato_Ranger_TypeA)'
'173','ihbrb10','Intense_Hard_Clos_None(Bellato_Ranger_TypeB)'
'174','ihbrc10','Hard_Clos_None(Bellato_Ranger_TypeC)'
'175','ihbrd10','Hard_Clos_None(Bellato_Ranger_TypeD)'
'176','ihbra13','Coles_Leather_Cap(Bellato_Ranger_TypeA)'
'177','ihbrb13','Intense_Coles_Leather_Cap(Bellato_Ranger_TypeB)'
'178','ihbrc13','Coles_Leather_Cap(Bellato_Ranger_TypeC)'
'179','ihbrd13','Coles_Leather_Cap(Bellato_Ranger_TypeD)'
'180','ihbra16','Soft_Leather_Cap(Bellato_Ranger_TypeA)'
'181','ihbrb16','Intense_Soft_Leather_Cap(Bellato_Ranger_TypeB)'
'182','ihbrc16','Soft_Leather_Cap(Bellato_Ranger_TypeC)'
'183','ihbrd16','Soft_Leather_Cap(Bellato_Ranger_TypeD)'
'184','ihbra19','Chip_Lease_Cap(Bellato_Ranger_TypeA)'
'185','ihbrb19','Intense_Chip_Lease_Cap(Bellato_Ranger_TypeB)'
'186','ihbrc19','Chip_Lease_Cap(Bellato_Ranger_TypeC)'
'187','ihbrd19','Chip_Lease_Cap(Bellato_Ranger_TypeD)'
'188','ihbra21','Hora_Cap(Bellato_Ranger_TypeA)'
'189','ihbrb21','Intense_Hora_Cap(Bellato_Ranger_TypeB)'
'190','ihbrc21','Hora_Cap(Bellato_Ranger_TypeC)'
'191','ihbrd21','Hora_Cap(Bellato_Ranger_TypeD)'
'192','ihbra23','Hersk_Cap(Bellato_Ranger_TypeA)'
'193','ihbrb23','Intense_Hersk_Cap(Bellato_Ranger_TypeB)'
'194','ihbrc23','Hersk_Cap(Bellato_Ranger_TypeC)'
'195','ihbrd23','Hersk_Cap(Bellato_Ranger_TypeD)'
'196','ihbra25','Hard_Hersk_Cap(Bellato_Ranger_TypeA)'
'197','ihbrb25','Intense_Hard_Hersk_Cap(Bellato_Ranger_TypeB)'
'198','ihbrc25','Hard_Hersk_Cap(Bellato_Ranger_TypeC)'
'199','ihbrd25','Hard_Hersk_Cap(Bellato_Ranger_TypeD)'
'200','ihbra27','Low_Rapid_Cap(Bellato_Ranger_TypeA)'
'201','ihbrb27','Intense_Low_Rapid_Cap(Bellato_Ranger_TypeB)'
'202','ihbrc27','Low_Rapid_Cap(Bellato_Ranger_TypeC)'
'203','ihbrd27','Low_Rapid_Cap(Bellato_Ranger_TypeD)'
'204','ihbra29','Rapid_Cap(Bellato_Ranger_TypeA)'
'205','ihbrb29','Intense_Rapid_Cap(Bellato_Ranger_TypeB)'
'206','ihbrc29','Rapid_Cap(Bellato_Ranger_TypeC)'
'207','ihbrd29','Rapid_Cap(Bellato_Ranger_TypeD)'
'208','ihbra31','Rust_Spring_HeadGear(Bellato_Ranger_TypeA)'
'209','ihbrb31','Intense_Rust_Spring_HeadGear(Bellato_Ranger_TypeB)'
'210','ihbrc31','Rust_Spring_HeadGear(Bellato_Ranger_TypeC)'
'211','ihbrd31','Rust_Spring_HeadGear(Bellato_Ranger_TypeD)'
'212','ihbra33','Spring_HeadGear(Bellato_Ranger_TypeA)'
'213','ihbrb33','Intense_Spring_HeadGear(Bellato_Ranger_TypeB)'
'214','ihbrc33','Spring_HeadGear(Bellato_Ranger_TypeC)'
'215','ihbrd33','Spring_HeadGear(Bellato_Ranger_TypeD)'
'216','ihbra35','Hunter_HeadGear(Bellato_Ranger_TypeA)'
'217','ihbrb35','Intense_Hunter_HeadGear(Bellato_Ranger_TypeB)'
'218','ihbrc35','Hunter_HeadGear(Bellato_Ranger_TypeC)'
'219','ihbrd35','Hunter_HeadGear(Bellato_Ranger_TypeD)'
'220','ihbra37','Chief_Hunter_HeadGear(Bellato_Ranger_TypeA)'
'221','ihbrb37','Intense_Chief_Hunter_HeadGear(Bellato_Ranger_TypeB)'
'222','ihbrc37','Chief_Hunter_HeadGear(Bellato_Ranger_TypeC)'
'223','ihbrd37','Chief_Hunter_HeadGear(Bellato_Ranger_TypeD)'
'224','ihbra39','Tiny_Ell_HeadGear(Bellato_Ranger_TypeA)'
'225','ihbrb39','Intense_Tiny_Ell_HeadGear(Bellato_Ranger_TypeB)'
'226','ihbrc39','Tiny_Ell_HeadGear(Bellato_Ranger_TypeC)'
'227','ihbrd39','Tiny_Ell_HeadGear(Bellato_Ranger_TypeD)'
'228','ihbra41','Ell_HeadGear(Bellato_Ranger_TypeA)'
'229','ihbrb41','Intense_Ell_HeadGear(Bellato_Ranger_TypeB)'
'230','ihbrc41','Ell_HeadGear(Bellato_Ranger_TypeC)'
'231','ihbrd41','Ell_HeadGear(Bellato_Ranger_TypeD)'
'232','ihbra43','Feather_HeadGear(Bellato_Ranger_TypeA)'
'233','ihbrb43','Intense_Feather_HeadGear(Bellato_Ranger_TypeB)'
'234','ihbrc43','Feather_HeadGear(Bellato_Ranger_TypeC)'
'235','ihbrd43','Feather_HeadGear(Bellato_Ranger_TypeD)'
'236','ihbra45','Dragon_Feather_HeadGear(Bellato_Ranger_TypeA)'
'237','ihbrb45','Intense_Dragon_Feather_HeadGear(Bellato_Ranger_TypeB)'
'238','ihbrc45','Dragon_Feather_HeadGear(Bellato_Ranger_TypeC)'
'239','ihbrd45','Bellato_Union`s_Shout_HeadGear(Bellato_Ranger_TypeD)'
'240','ihbra47','Small_Hora_HeadGear(Bellato_Ranger_TypeA)'
'241','ihbrb47','Intense_Small_Hora_HeadGear(Bellato_Ranger_TypeB)'
'242','ihbrc47','Small_Hora_HeadGear(Bellato_Ranger_TypeC)'
'243','ihbrd47','Small_Hora_HeadGear(Bellato_Ranger_TypeD)'
'244','ihbra50','Lease_HeadGear(Bellato_Ranger_TypeA)'
'245','ihbrb50','Intense_Lease_HeadGear(Bellato_Ranger_TypeB)'
'246','ihbrc50','Palmas_Head_Protector<R-type>'
'247','ihbrd50','Lease_HeadGear(Bellato_Ranger_TypeD)'
'248','ihbfa04','Normal_Training_None(Bellato_Force_TypeA)'
'249','ihbfb04','Intense_Normal_Training_None(Bellato_Force_TypeB)'
'250','ihbfc04','Normal_Training_None(Bellato_Force_TypeC)'
'251','ihbfd04','Normal_Training_None(Bellato_Force_TypeD)'
'252','ihbfa07','Linen_None(Bellato_Force_TypeA)'
'253','ihbfb07','Intense_Linen_None(Bellato_Force_TypeB)'
'254','ihbfc07','Linen_None(Bellato_Force_TypeC)'
'255','ihbfd07','Linen_None(Bellato_Force_TypeD)'
'256','ihbfa10','Field_Linen_None(Bellato_Force_TypeA)'
'257','ihbfb10','Intense_Field_Linen_None(Bellato_Force_TypeB)'
'258','ihbfc10','Field_Linen_None(Bellato_Force_TypeC)'
'259','ihbfd10','Field_Linen_None(Bellato_Force_TypeD)'
'260','ihbfa13','Silk_Cap(Bellato_Force_TypeA)'
'261','ihbfb13','Intense_Silk_Cap(Bellato_Force_TypeB)'
'262','ihbfc13','Silk_Cap(Bellato_Force_TypeC)'
'263','ihbfd13','Silk_Cap(Bellato_Force_TypeD)'
'264','ihbfa16','Hora_Silk_Cap(Bellato_Force_TypeA)'
'265','ihbfb16','Intense_Hora_Silk_Cap(Bellato_Force_TypeB)'
'266','ihbfc16','Hora_Silk_Cap(Bellato_Force_TypeC)'
'267','ihbfd16','Hora_Silk_Cap(Bellato_Force_TypeD)'
'268','ihbfa19','Supple_Leather_Cap(Bellato_Force_TypeA)'
'269','ihbfb19','Intense_Supple_Leather_Cap(Bellato_Force_TypeB)'
'270','ihbfc19','Supple_Leather_Cap(Bellato_Force_TypeC)'
'271','ihbfd19','Supple_Leather_Cap(Bellato_Force_TypeD)'
'272','ihbfa21','Studded_Leather_Cap(Bellato_Force_TypeA)'
'273','ihbfb21','Intense_Studded_Leather_Cap(Bellato_Force_TypeB)'
'274','ihbfc21','Studded_Leather_Cap(Bellato_Force_TypeC)'
'275','ihbfd21','Studded_Leather_Cap(Bellato_Force_TypeD)'
'276','ihbfa23','Long_Spirit_Cap(Bellato_Force_TypeA)'
'277','ihbfb23','Intense_Long_Spirit_Cap(Bellato_Force_TypeB)'
'278','ihbfc23','Long_Spirit_Cap(Bellato_Force_TypeC)'
'279','ihbfd23','Long_Spirit_Cap(Bellato_Force_TypeD)'
'280','ihbfa25','Spirit_Cap(Bellato_Force_TypeA)'
'281','ihbfb25','Intense_Spirit_Cap(Bellato_Force_TypeB)'
'282','ihbfc25','Spirit_Cap(Bellato_Force_TypeC)'
'283','ihbfd25','Spirit_Cap(Bellato_Force_TypeD)'
'284','ihbfa27','BattleMage_Cap(Bellato_Force_TypeA)'
'285','ihbfb27','Intense_BattleMage_Cap(Bellato_Force_TypeB)'
'286','ihbfc27','BattleMage_Cap(Bellato_Force_TypeC)'
'287','ihbfd27','BattleMage_Cap(Bellato_Force_TypeD)'
'288','ihbfa29','Mage_Cap(Bellato_Force_TypeA)'
'289','ihbfb29','Intense_Mage_Cap(Bellato_Force_TypeB)'
'290','ihbfc29','Mage_Cap(Bellato_Force_TypeC)'
'291','ihbfd29','Mage_Cap(Bellato_Force_TypeD)'
'292','ihbfa31','Priest_HeadTie(Bellato_Force_TypeA)'
'293','ihbfb31','Intense_Priest_HeadTie(Bellato_Force_TypeB)'
'294','ihbfc31','Priest_HeadTie(Bellato_Force_TypeC)'
'295','ihbfd31','Priest_HeadTie(Bellato_Force_TypeD)'
'296','ihbfa33','Mind_HeadTie(Bellato_Force_TypeA)'
'297','ihbfb33','Intense_Mind_HeadTie(Bellato_Force_TypeB)'
'298','ihbfc33','Mind_HeadTie(Bellato_Force_TypeC)'
'299','ihbfd33','Mind_HeadTie(Bellato_Force_TypeD)'
'300','ihbfa35','WarPriest_HeadTie(Bellato_Force_TypeA)'
'301','ihbfb35','Intense_WarPriest_HeadTie(Bellato_Force_TypeB)'
'302','ihbfc35','WarPriest_HeadTie(Bellato_Force_TypeC)'
'303','ihbfd35','WarPriest_HeadTie(Bellato_Force_TypeD)'
'304','ihbfa37','Field_WarPriest_HeadTie(Bellato_Force_TypeA)'
'305','ihbfb37','Intense_Field_WarPriest_HeadTie(Bellato_Force_TypeB)'
'306','ihbfc37','Field_WarPriest_HeadTie(Bellato_Force_TypeC)'
'307','ihbfd37','Field_WarPriest_HeadTie(Bellato_Force_TypeD)'
'308','ihbfa39','Battle_HeadTie(Bellato_Force_TypeA)'
'309','ihbfb39','Intense_Battle_HeadTie(Bellato_Force_TypeB)'
'310','ihbfc39','Battle_HeadTie(Bellato_Force_TypeC)'
'311','ihbfd39','Battle_HeadTie(Bellato_Force_TypeD)'
'312','ihbfa41','Bless_Amice(Bellato_Force_TypeA)'
'313','ihbfb41','Intense_Bless_Amice(Bellato_Force_TypeB)'
'314','ihbfc41','Bless_Amice(Bellato_Force_TypeC)'
'315','ihbfd41','Bless_Amice(Bellato_Force_TypeD)'
'316','ihbfa43','Simple_Baal_Amice(Bellato_Force_TypeA)'
'317','ihbfb43','Intense_Simple_Baal_Amice(Bellato_Force_TypeB)'
'318','ihbfc43','Simple_Baal_Amice(Bellato_Force_TypeC)'
'319','ihbfd43','Simple_Baal_Amice(Bellato_Force_TypeD)'
'320','ihbfa45','Baal_Amice(Bellato_Force_TypeA)'
'321','ihbfb45','Intense_Baal_Amice(Bellato_Force_TypeB)'
'322','ihbfc45','Baal_Amice(Bellato_Force_TypeC)'
'323','ihbfd45','Bellato_Union`s_Shout_Amice(Bellato_Force_TypeD)'
'324','ihbfa47','Noble_Amice(Bellato_Force_TypeA)'
'325','ihbfb47','Intense_Noble_Amice(Bellato_Force_TypeB)'
'326','ihbfc47','Noble_Amice(Bellato_Force_TypeC)'
'327','ihbfd47','Noble_Amice(Bellato_Force_TypeD)'
'328','ihbfa50','NobleHora_Amice(Bellato_Force_TypeA)'
'329','ihbfb50','Intense_NobleHora_Amice(Bellato_Force_TypeB)'
'330','ihbfc50','Palmas_Head_Protector<F-type>'
'331','ihbfd50','NobleHora_Amice(Bellato_Force_TypeD)'
'332','ihcwa04','Training_Smock_Cap(Cora_Warrior_TypeA)'
'333','ihcwb04','Intense_Training_Smock_Cap(Cora_Warrior_TypeB)'
'334','ihcwc04','Training_Smock_Cap(Cora_Warrior_TypeC)'
'335','ihcwd04','Training_Smock_Cap(Cora_Warrior_TypeD)'
'336','ihcwa07','Smock_Cap(Cora_Warrior_TypeA)'
'337','ihcwb07','Intense_Smock_Cap(Cora_Warrior_TypeB)'
'338','ihcwc07','Smock_Cap(Cora_Warrior_TypeC)'
'339','ihcwd07','Smock_Cap(Cora_Warrior_TypeD)'
'340','ihcwa10','Warrior_Smock_Cap(Cora_Warrior_TypeA)'
'341','ihcwb10','Intense_Warrior_Smock_Cap(Cora_Warrior_TypeB)'
'342','ihcwc10','Warrior_Smock_Cap(Cora_Warrior_TypeC)'
'343','ihcwd10','Warrior_Smock_Cap(Cora_Warrior_TypeD)'
'344','ihcwa13','Rust_Cordovan_Circlet(Cora_Warrior_TypeA)'
'345','ihcwb13','Intense_Rust_Cordovan_Circlet(Cora_Warrior_TypeB)'
'346','ihcwc13','Rust_Cordovan_Circlet(Cora_Warrior_TypeC)'
'347','ihcwd13','Rust_Cordovan_Circlet(Cora_Warrior_TypeD)'
'348','ihcwa16','Cordovan_Circlet(Cora_Warrior_TypeA)'
'349','ihcwb16','Intense_Cordovan_Circlet(Cora_Warrior_TypeB)'
'350','ihcwc16','Cordovan_Circlet(Cora_Warrior_TypeC)'
'351','ihcwd16','Cordovan_Circlet(Cora_Warrior_TypeD)'
'352','ihcwa19','Mid_Glow_Circlet(Cora_Warrior_TypeA)'
'353','ihcwb19','Intense_Mid_Glow_Circlet(Cora_Warrior_TypeB)'
'354','ihcwc19','Mid_Glow_Circlet(Cora_Warrior_TypeC)'
'355','ihcwd19','Mid_Glow_Circlet(Cora_Warrior_TypeD)'
'356','ihcwa21','Glow_Helmet(Cora_Warrior_TypeA)'
'357','ihcwb21','Intense_Glow_Helmet(Cora_Warrior_TypeB)'
'358','ihcwc21','Glow_Helmet(Cora_Warrior_TypeC)'
'359','ihcwd21','Glow_Helmet(Cora_Warrior_TypeD)'
'360','ihcwa23','Coil_Helmet(Cora_Warrior_TypeA)'
'361','ihcwb23','Intense_Coil_Helmet(Cora_Warrior_TypeB)'
'362','ihcwc23','Coil_Helmet(Cora_Warrior_TypeC)'
'363','ihcwd23','Coil_Helmet(Cora_Warrior_TypeD)'
'364','ihcwa25','Mild_Coil_Helmet(Cora_Warrior_TypeA)'
'365','ihcwb25','Intense_Mild_Coil_Helmet(Cora_Warrior_TypeB)'
'366','ihcwc25','Mild_Coil_Helmet(Cora_Warrior_TypeC)'
'367','ihcwd25','Mild_Coil_Helmet(Cora_Warrior_TypeD)'
'368','ihcwa27','Dark_Helmet(Cora_Warrior_TypeA)'
'369','ihcwb27','Intense_Dark_Helmet(Cora_Warrior_TypeB)'
'370','ihcwc27','Dark_Helmet(Cora_Warrior_TypeC)'
'371','ihcwd27','Dark_Helmet(Cora_Warrior_TypeD)'
'372','ihcwa29','Cora_Dark_Helmet(Cora_Warrior_TypeA)'
'373','ihcwb29','Intense_Cora_Dark_Helmet(Cora_Warrior_TypeB)'
'374','ihcwc29','Cora_Dark_Helmet(Cora_Warrior_TypeC)'
'375','ihcwd29','Cora_Dark_Helmet(Cora_Warrior_TypeD)'
'376','ihcwa31','Small_Cus_HeadGear(Cora_Warrior_TypeA)'
'377','ihcwb31','Intense_Small_Cus_HeadGear(Cora_Warrior_TypeB)'
'378','ihcwc31','Small_Cus_HeadGear(Cora_Warrior_TypeC)'
'379','ihcwd31','Small_Cus_HeadGear(Cora_Warrior_TypeD)'
'380','ihcwa33','Cus_HeadGear(Cora_Warrior_TypeA)'
'381','ihcwb33','Intense_Cus_HeadGear(Cora_Warrior_TypeB)'
'382','ihcwc33','Cus_HeadGear(Cora_Warrior_TypeC)'
'383','ihcwd33','Cus_HeadGear(Cora_Warrior_TypeD)'
'384','ihcwa35','Small_Bone_HeadGear(Cora_Warrior_TypeA)'
'385','ihcwb35','Intense_Small_Bone_HeadGear(Cora_Warrior_TypeB)'
'386','ihcwc35','Small_Bone_HeadGear(Cora_Warrior_TypeC)'
'387','ihcwd35','Small_Bone_HeadGear(Cora_Warrior_TypeD)'
'388','ihcwa37','Hora_HeadGear(Cora_Warrior_TypeA)'
'389','ihcwb37','Intense_Hora_HeadGear(Cora_Warrior_TypeB)'
'390','ihcwc37','Hora_HeadGear(Cora_Warrior_TypeC)'
'391','ihcwd37','Hora_HeadGear(Cora_Warrior_TypeD)'
