'0','ibbow01','Arrow'
'282','ibxxx31','Terra_Ice_Magazine(ExpensiveNPC)'
'283','ibcsa01','Slim_Fire_Arrow(Cash)'
'284','ibcsa02','Slim_Ice_Arrow(Cash)'
'285','ibcsa03','Slim_Poison_Arrow(Cash)'
'286','ibcsa04','Slim_Mineral_Arrow(Cash)'
'287','ibcsa05','Slim_Exploding_Arrow(Cash)'
'288','ibcsa06','Slim_Fire_Bolt(Cash)'
'289','ibcsa07','Slim_Ice_Bolt(Cash)'
'290','ibcsa08','Slim_Poison_Bolt(Cash)'
'291','ibcsa09','Slim_Mineral_Bolt(Cash)'
'292','ibcsa10','Slim_Exploding_Bolt(Cash)'
'293','ibcsa11','Slim_Advanced_Beam_Cell(Cash)'
'294','ibcsa12','Slim_Mineral_Magazine(Cash)'
'295','ibcsa13','Slim_Energy_Magazine(Cash)'
'296','ibcsa14','Slim_Venom_Magazine(Cash)'
'297','ibcsa15','Slim_Exploding_Magazine(Cash)'
'298','ibcsa16','Slim_Nuclear_Rocket(Cash)'
'299','ibcsa17','Slim_Electric_Rocket(Cash)'
'300','ibcsa18','Slim_Cross_Rocket(Cash)'
'301','ibcsa19','Slim_Venom_Rocket(Cash)'
'302','ibcsa20','Slim_Cyclone_Rocket(Cash)'
'303','ibcsa21','Slim_Flash_Rocket(Cash)'
'304','ibcsa22','Slim_Point_Rocket(Cash)'
'305','ibcsa23','Slim_Liquid_Fuel(Cash)'
'306','ibcsa24','Slim_Seramic_Rocket(Cash)'
'307','ibcsa25','Slim_Ice_Liquid_Fuel(Cash)'
'308','ibcsa26','Slim_Poison_Liquid_Fuel(Cash)'
'309','ibcsa27','Slim_Mineral_Liquid_Fuel(Cash)'
'310','ibcsa28','Slim_Ice_Magazine(Cash)'
'311','ibcsa29','Slim_Exploding_Vulcan_Magazine(Cash)'
'312','ibfex01','Training_Acid_Grenade'
'313','ibfex02','Training_Teargas_Grenade'
'314','ibfex03','Training_Smog_Grenade'
'315','ibfex04','Training_Shock_Wave'
'316','ibevt01','Snow_Battery_5'
'317','ibevt02','Snow_Battery_10'
'318','ibevt03','Snow_Battery_15'
'319','ibevt04','Snow_Battery_20'
'320','ibcsa30','Mega_Fire_Arrow(Cash)'
'321','ibcsa31','Mega_Ice_Arrow(Cash)'
'322','ibcsa32','Mega_Poison_Arrow(Cash)'
'323','ibcsa33','Mega_Mineral_Arrow(Cash)'
'324','ibcsa34','Mega_Exploding_Arrow(Cash)'
'325','ibcsa35','Mega_Fire_Bolt(Cash)'
'326','ibcsa36','Mega_Ice_Bolt(Cash)'
'327','ibcsa37','Mega_Poison_Bolt(Cash)'
'328','ibcsa38','Mega_Mineral_Bolt(Cash)'
'329','ibcsa39','Mega_Exploding_Bolt(Cash)'
'330','ibcsa40','Mega_Advanced_Beam_Cell(Cash)'
'331','ibcsa41','Mega_Mineral_Magazine(Cash)'
'332','ibcsa42','Mega_Energy_Magazine(Cash)'
'333','ibcsa43','Mega_Venom_Magazine(Cash)'
'334','ibcsa44','Mega_Exploding_Magazine(Cash)'
'335','ibcsa45','Mega_Nuclear_Rocket(Cash)'
'336','ibcsa46','Mega_Electric_Rocket(Cash)'
'337','ibcsa47','Mega_Cross_Rocket(Cash)'
'338','ibcsa48','Mega_Venom_Rocket(Cash)'
'339','ibcsa49','Mega_Cyclone_Rocket(Cash)'
'340','ibcsa50','Mega_Flash_Rocket(Cash)'
'341','ibcsa51','Mega_Point_Rocket(Cash)'
'342','ibcsa52','Mega_Liquid_Fuel(Cash)'
'343','ibcsa53','Mega_Ceramic_Rocket(Cash)'
'344','ibcsa54','Mega_Ice_Liquid_Fuel(Cash)'
'345','ibcsa55','Mega_Poison_Liquid_Fuel(Cash)'
'346','ibcsa56','Mega_Mineral_Liquid_Fuel(Cash)'
'347','ibcsa57','Mega_Ice_Magazine(Cash)'
'348','ibcsa58','Mega_Exploding_Vulcan_Magazine(Cash)'
'349','ibcsa59','Ceramic_Advanced_Beam_Cell'
'350','ibcsa60','Fire_Advanced_Beam_Cell'
'351','ibcsa61','Ice_Advanced_Beam_Cell'
'352','ibcsa62','Poison_Advanced_Beam_Cell'
'353','ibcsa63','Mineral_Advanced_Beam_Cell'
'354','ibcsa64','Ceramic_Exploding_Vulcan_Magazine'
'355','ibcsa65','Fire_Exploding_Vulcan_Magazine'
'356','ibcsa66','Ice_Exploding_Vulcan_Magazine'
'357','ibcsa67','Poison_Exploding_Vulcan_Magazine'
'358','ibcsa68','Mineral_Exploding_Vulcan_Magazine'
'359','ibcsa99','Ceramic_Advanced_Beam_Cell(Cash)'
'360','ibcsb00','Fire_Advanced_Beam_Cell(Cash)'
'361','ibcsb01','Ice_Advanced_Beam_Cell(Cash)'
'362','ibcsb02','Poison_Advanced_Beam_Cell(Cash)'
'363','ibcsb03','Mineral_Advanced_Beam_Cell(Cash)'
'364','ibcsb04','Ceramic_Exploding_Vulcan_Magazine(Cash)'
'365','ibcsb05','Fire_Exploding_Vulcan_Magazine(Cash)'
'366','ibcsb06','Ice_Exploding_Vulcan_Magazine(Cash)'
'367','ibcsb07','Poison_Exploding_Vulcan_Magazine(Cash)'
'368','ibcsb08','Mineral_Exploding_Vulcan_Magazine(Cash)'
'369','ibint01','Intense_Advanced_Beam_Cell'
'370','ibint02','Intense_Exploding_Vulcun_Magazine'
'371','ibint03','Intense_Ceramic_Rocket'
'372','ibint04','Intense_Liquid_Fuel'
'373','ibcsb09','Slim_Acid_Grenade[Cash]'
'374','ibcsb10','Slim_Peaklin_Grenade[Cash]'
'375','ibcsb11','Slim_Smog_Grenade[Cash]'
'376','ibcsb12','Slim_Shock_Wave[Cash]'
'377','ibcsb13','Slim_Mental_Wave[Cash]'
'378','ibcsb14','Slim_Stun_Grenade[Cash]'
'379','ibcsb15','Slim_Acid_Shower[Cash]'
'380','ibcsb16','Slim_Breaking_Strength[Cash]'
'381','ibcsb17','Slim_Microm_Gas[Cash]'
'382','ibcsb18','Slim_Resist_Break[Cash]'
'383','ibcsb19','Slim_Limited_Force[Cash]'
'384','ibcsb20','Slim_Impact_Explosion[Cash]'
'385','ibcsb21','Slim_Flash_Wave[Cash]'
'386','ibcsb22','Slim_Holding_Web[Cash]'
'387','ibcsb23','Slim_Virus_Inject[Cash]'
'388','ibcsb24','Slim_Mind_Control[Cash]'
'389','ibcsb25','Slim_Cure_Grenade[Cash]'
'390','ibcsb26','Slim_Healing_Grenade[Cash]'
'391','ibgld01','Purse_Charger_[2%]'
'392','ibgld02','Purse_Charger_[3%]'
'393','ibgld03','Purse_Charger_[4%]'
'394','ibgld04','Purse_Charger_[5%]'
