'0','iwkna01','Dagger(A)'
'341','iwswb36','Intense_Sword36(B)'
'342','iwswc36','Sword36(C)'
'343','iwswd36','Sword36(D)'
'344','iwswa37','Sword37(A)'
'345','iwswb37','Intense_Sword37(B)'
'346','iwswc37','Sword37(C)'
'347','iwswd37','Sword37(D)'
'348','iwswa38','Sword38(A)'
'349','iwswb38','Intense_Sword38(B)'
'350','iwswc38','Sword38(C)'
'351','iwswd38','Sword38(D)'
'352','iwswa39','Sword39(A)'
'353','iwswb39','Intense_Sword39(B)'
'354','iwswc39','Sword39(C)'
'355','iwswd39','Sword39(D)'
'356','iwswa40','Estoc(A)'
'357','iwswb40','Intense_Estoc(B)'
'358','iwswc40','Estoc(C)'
'359','iwswd40','Estoc(D)'
'360','iwswa41','Sword41(A)'
'361','iwswb41','Intense_Sword41(B)'
'362','iwswc41','Sword41(C)'
'363','iwswd41','Sword41(D)'
'364','iwswa42','Sword42(A)'
'365','iwswb42','Intense_Sword42(B)'
'366','iwswc42','Sword42(C)'
'367','iwswd42','Sword42(D)'
'368','iwswa43','Sword43(A)'
'369','iwswb43','Intense_Sword43(B)'
'370','iwswc43','Sword43(C)'
'371','iwswd43','Sword43(D)'
'372','iwswa44','Sword44(A)'
'373','iwswb44','Intense_Sword44(B)'
'374','iwswc44','Sword44(C)'
'375','iwswd44','Sword44(D)'
'376','iwswa45','Spadona(A)'
'377','iwswb45','Intense_Spadona(B)'
'378','iwswc45','Spadona(C)'
'379','iwswd45','Elemental_Sword(D)'
'380','iwswa46','Sword46(A)'
'381','iwswb46','Intense_Sword46(B)'
'382','iwswc46','Sword46(C)'
'383','iwswd46','Sword46(D)'
'384','iwswa47','Sword47(A)'
'385','iwswb47','Intense_Sword47(B)'
'386','iwswc47','Sword47(C)'
'387','iwswd47','Sword47(D)'
'388','iwswa48','Sword48(A)'
'389','iwswb48','Intense_Sword48(B)'
'390','iwswc48','Sword48(C)'
'391','iwswd48','Sword48(D)'
'392','iwswa49','Sword49(A)'
'393','iwswb49','Intense_Sword49(B)'
'394','iwswc49','Sword49(C)'
'395','iwswd49','Sword49(D)'
'396','iwswa50','Hora_Sword(A)'
'397','iwswb50','Intense_Hora_Sword(B)'
'398','iwswc50','Hora_Sword(C)'
'399','iwswd50','Hora_Sword(D)'
'400','iwaxa01','Hand_Axe(A)'
'401','iwaxb01','Intense_Hand_Axe(B)'
'402','iwaxc01','Hand_Axe(C)'
'403','iwaxd01','Hand_Axe(D)'
'404','iwaxa02','Broad_Axe(A)'
'405','iwaxb02','Intense_Broad_Axe(B)'
'406','iwaxc02','Broad_Axe(C)'
'407','iwaxz02','Armor_Killer(High1)'
'408','iwaxa03','Twin_Axe(A)'
'409','iwaxb03','Intense_Twin_Axe(B)'
'410','iwaxc03','Twin_Axe(C)'
'411','iwaxz03','The_End(High1)'
'412','iwaxa04','Axe4(A)'
'413','iwaxb04','Intense_Axe4(B)'
'414','iwaxc04','Axe4(C)'
'415','iwaxd04','Axe4(D)'
'416','iwaxa05','Great_Axe(A)'
'417','iwaxb05','Intense_Great_Axe(B)'
'418','iwaxc05','Great_Axe(C)'
'419','iwaxd05','Great_Axe(D)'
'420','iwaxa06','Axe6(A)'
'421','iwaxb06','Intense_Axe6(B)'
'422','iwaxc06','Axe6(C)'
'423','iwaxz06','Sealed_Armor_Killer(Low1)'
'424','iwaxa07','Twin_Great_Axe(A)'
'425','iwaxb07','Intense_Twin_Great_Axe(B)'
'426','iwaxc07','Twin_Great_Axe(C)'
'427','iwaxz07','Sealed_The_End(Low1)'
'428','iwaxa08','Axe8(A)'
'429','iwaxb08','Intense_Axe8(B)'
'430','iwaxc08','Axe8(C)'
'431','iwaxd08','Axe8(D)'
'432','iwaxa09','Axe9(A)'
'433','iwaxb09','Intense_Axe9(B)'
'434','iwaxc09','Axe9(C)'
'435','iwaxd09','Axe9(D)'
'436','iwaxa10','Butcher_Axe(A)'
'437','iwaxb10','Intense_Butcher_Axe(B)'
'438','iwaxc10','Butcher_Axe(C)'
'439','iwaxd10','Butcher_Axe(D)'
'440','iwaxa11','Axe11(A)'
'441','iwaxb11','Intense_Axe11(B)'
'442','iwaxc11','Axe11(C)'
'443','iwaxd11','Axe11(D)'
'444','iwaxa12','Pole_Axe(A)'
'445','iwaxb12','Intense_Pole_Axe(B)'
'446','iwaxc12','Pole_Axe(C)'
'447','iwaxd12','Pole_Axe(D)'
'448','iwaxa13','Axe13(A)'
'449','iwaxb13','Intense_Axe13(B)'
'450','iwaxc13','Axe13(C)'
'451','iwaxd13','Axe13(D)'
'452','iwaxa14','Axe14(A)'
'453','iwaxb14','Intense_Axe14(B)'
'454','iwaxc14','Axe14(C)'
'455','iwaxd14','Axe14(D)'
'456','iwaxa15','Kraika(A)'
'457','iwaxb15','Intense_Kraika(B)'
'458','iwaxc15','Kraika(C)'
'459','iwaxd15','Kraika(D)'
'460','iwaxa16','Axe16(A)'
'461','iwaxb16','Intense_Axe16(B)'
'462','iwaxc16','Axe16(C)'
'463','iwaxd16','Axe16(D)'
'464','iwaxa17','Axe17(A)'
'465','iwaxb17','Intense_Axe17(B)'
'466','iwaxc17','Axe17(C)'
'467','iwaxd17','Axe17(D)'
'468','iwaxa18','Beam_Axe(A)'
'469','iwaxb18','Intense_Beam_Axe(B)'
'470','iwaxc18','Beam_Axe(C)'
'471','iwaxd18','Beam_Axe(D)'
'472','iwaxa19','Axe19(A)'
'473','iwaxb19','Intense_Axe19(B)'
'474','iwaxc19','Axe19(C)'
'475','iwaxd19','Axe19(D)'
'476','iwaxa20','Twin_Beam_Axe(A)'
'477','iwaxb20','Intense_Twin_Beam_Axe(B)'
'478','iwaxc20','Twin_Beam_Axe(C)'
'479','iwaxd20','Twin_Beam_Axe(D)'
'480','iwaxa21','Axe21(A)'
'481','iwaxb21','Intense_Axe21(B)'
'482','iwaxc21','Axe21(C)'
'483','iwaxd21','Axe21(D)'
'484','iwaxa22','Two_Hand_Beam_Axe(A)'
'485','iwaxb22','Intense_Two_Hand_Beam_Axe(B)'
'486','iwaxc22','Two_Hand_Beam_Axe(C)'
'487','iwaxd22','Two_Hand_Beam_Axe(D)'
'488','iwaxa23','Axe23(A)'
'489','iwaxb23','Intense_Axe23(B)'
'490','iwaxc23','Axe23(C)'
'491','iwaxd23','Axe23(D)'
'492','iwaxa24','Axe24(A)'
'493','iwaxb24','Intense_Axe24(B)'
'494','iwaxc24','Axe24(C)'
'495','iwaxd24','Axe24(D)'
'496','iwaxa25','Double_Axe(A)'
'497','iwaxb25','Intense_Double_Axe(B)'
'498','iwaxc25','Double_Axe(C)'
'499','iwaxd25','Double_Axe(D)'
'500','iwaxa26','Axe26(A)'
'501','iwaxb26','Intense_Axe26(B)'
'502','iwaxc26','Axe26(C)'
'503','iwaxd26','Axe26(D)'
'504','iwaxa27','Axe27(A)'
'505','iwaxb27','Intense_Axe27(B)'
'506','iwaxc27','Axe27(C)'
'507','iwaxd27','Axe27(D)'
'508','iwaxa28','Battle_Axe(A)'
'509','iwaxb28','Intense_Battle_Axe(B)'
'510','iwaxc28','Battle_Axe(C)'
'511','iwaxd28','Battle_Axe(D)'
'512','iwaxa29','Axe29(A)'
'513','iwaxb29','Intense_Axe29(B)'
'514','iwaxc29','Axe29(C)'
'515','iwaxd29','Axe29(D)'
'516','iwaxa30','Battle_Beam_Axe(A)'
'517','iwaxb30','Intense_Battle_Beam_Axe(B)'
'518','iwaxc30','Battle_Beam_Axe(C)'
'519','iwaxd30','Battle_Beam_Axe(D)'
'520','iwaxa31','Axe31(A)'
'521','iwaxb31','Intense_Axe31(B)'
'522','iwaxc31','Axe31(C)'
'523','iwaxd31','Axe31(D)'
'524','iwaxa32','Axe32(A)'
'525','iwaxb32','Intense_Axe32(B)'
'526','iwaxc32','Axe32(C)'
'527','iwaxd32','Axe32(D)'
'528','iwaxa33','Axe33(A)'
'529','iwaxb33','Intense_Axe33(B)'
'530','iwaxc33','Axe33(C)'
'531','iwaxd33','Axe33(D)'
'532','iwaxa34','Axe34(A)'
'533','iwaxb34','Intense_Axe34(B)'
'534','iwaxc34','Axe34(C)'
'535','iwaxd34','Axe34(D)'
'536','iwaxa35','Great_Beam_Axe(A)'
'537','iwaxb35','Intense_Great_Beam_Axe(B)'
'538','iwaxc35','Great_Beam_Axe(C)'
'539','iwaxd35','Great_Beam_Axe(D)'
'540','iwaxa36','Axe36(A)'
'541','iwaxb36','Intense_Axe36(B)'
'542','iwaxc36','Axe36(C)'
'543','iwaxd36','Axe36(D)'
'544','iwaxa37','Axe37(A)'
'545','iwaxb37','Intense_Axe37(B)'
'546','iwaxc37','Axe37(C)'
'547','iwaxd37','Axe37(D)'
'548','iwaxa38','Axe38(A)'
'549','iwaxb38','Intense_Axe38(B)'
'550','iwaxc38','Axe38(C)'
'551','iwaxd38','Axe38(D)'
'552','iwaxa39','Axe39(A)'
'553','iwaxb39','Intense_Axe39(B)'
'554','iwaxc39','Axe39(C)'
'555','iwaxd39','Axe39(D)'
'556','iwaxa40','Bullova(A)'
'557','iwaxb40','Intense_Bullova(B)'
'558','iwaxc40','Bullova(C)'
'559','iwaxd40','Bullova(D)'
'560','iwaxa41','Axe41(A)'
'561','iwaxb41','Intense_Axe41(B)'
'562','iwaxc41','Axe41(C)'
'563','iwaxd41','Axe41(D)'
'564','iwaxa42','Axe42(A)'
'565','iwaxb42','Intense_Axe42(B)'
'566','iwaxc42','Axe42(C)'
'567','iwaxd42','Axe42(D)'
'568','iwaxa43','Axe43(A)'
'569','iwaxb43','Intense_Axe43(B)'
'570','iwaxc43','Axe43(C)'
'571','iwaxd43','Axe43(D)'
'572','iwaxa44','Axe44(A)'
'573','iwaxb44','Intense_Axe44(B)'
'574','iwaxc44','Axe44(C)'
'575','iwaxd44','Axe44(D)'
'576','iwaxa45','Tower_Axe(A)'
'577','iwaxb45','Intense_Tower_Axe(B)'
'578','iwaxc45','Tower_Axe(C)'
'579','iwaxd45','Tower_Axe(D)'
'580','iwaxa46','Axe46(A)'
'581','iwaxb46','Intense_Axe46(B)'
'582','iwaxc46','Axe46(C)'
'583','iwaxd46','Axe46(D)'
'584','iwaxa47','Axe47(A)'
'585','iwaxb47','Intense_Axe47(B)'
'586','iwaxc47','Axe47(C)'
'587','iwaxd47','Axe47(D)'
'588','iwaxa48','Axe48(A)'
'589','iwaxb48','Intense_Axe48(B)'
'590','iwaxc48','Axe48(C)'
'591','iwaxd48','Axe48(D)'
'592','iwaxa49','Axe49(A)'
'593','iwaxb49','Intense_Axe49(B)'
'594','iwaxc49','Axe49(C)'
'595','iwaxd49','Axe49(D)'
'596','iwaxa50','Hora_Axe(A)'
'597','iwaxb50','Intense_Hora_Axe(B)'
'598','iwaxc50','Hora_Axe(C)'
'599','iwaxd50','Hora_Axe(D)'
'600','iwmaa01','Club(A)'
'601','iwmab01','Intense_Club(B)'
'602','iwmac01','Club(C)'
'603','iwmad01','Club(D)'
'604','iwmaa02','Small_Hammer(A)'
'605','iwmab02','Intense_Small_Hammer(B)'
'606','iwmac02','Small_Hammer(C)'
'607','iwmaz02','Cretin_Toel(High1)'
'608','iwmaa03','Mace(A)'
'609','iwmab03','Intense_Mace(B)'
'610','iwmac03','Mace(C)'
'611','iwmaz03','Blunt_of_Oblivion(High1)'
'612','iwmaa04','Mace4(A)'
'613','iwmab04','Intense_Mace4(B)'
'614','iwmac04','Mace4(C)'
'615','iwmad04','Mace4(D)'
'616','iwmaa05','Hammer(A)'
'617','iwmab05','Intense_Hammer(B)'
'618','iwmac05','Hammer(C)'
'619','iwmad05','Hammer(D)'
'620','iwmaa06','Mace6(A)'
'621','iwmab06','Intense_Mace6(B)'
'622','iwmac06','Mace6(C)'
'623','iwmaz06','Sealed_Cretin_Toel(Low1)'
'624','iwmaa07','Spiked_Club(A)'
'625','iwmab07','Intense_Spiked_Club(B)'
'626','iwmac07','Spiked_Club(C)'
'627','iwmaz07','Sealed_Blunt_of_Oblivion(Low1)'
'628','iwmaa08','Mace8(A)'
'629','iwmab08','Intense_Mace8(B)'
'630','iwmac08','Mace8(C)'
'631','iwmad08','Mace8(D)'
'632','iwmaa09','Mace9(A)'
'633','iwmab09','Intense_Mace9(B)'
'634','iwmac09','Mace9(C)'
'635','iwmad09','Mace9(D)'
'636','iwmaa10','Frenzy(A)'
'637','iwmab10','Intense_Frenzy(B)'
'638','iwmac10','Frenzy(C)'
'639','iwmad10','Frenzy(D)'
'640','iwmaa11','Mace11(A)'
'641','iwmab11','Intense_Mace11(B)'
'642','iwmac11','Mace11(C)'
'643','iwmad11','Mace11(D)'
'644','iwmaa12','Slaughter_Piker(A)'
'645','iwmab12','Intense_Slaughter_Piker(B)'
'646','iwmac12','Slaughter_Piker(C)'
'647','iwmad12','Slaughter_Piker(D)'
'648','iwmaa13','Mace13(A)'
'649','iwmab13','Intense_Mace13(B)'
'650','iwmac13','Mace13(C)'
'651','iwmad13','Mace13(D)'
'652','iwmaa14','Mace14(A)'
'653','iwmab14','Intense_Mace14(B)'
'654','iwmac14','Mace14(C)'
'655','iwmad14','Mace14(D)'
'656','iwmaa15','Gurz(A)'
'657','iwmab15','Intense_Gurz(B)'
'658','iwmac15','Gurz(C)'
'659','iwmad15','Gurz(D)'
'660','iwmaa16','Mace16(A)'
'661','iwmab16','Intense_Mace16(B)'
'662','iwmac16','Mace16(C)'
'663','iwmad16','Mace16(D)'
'664','iwmaa17','Mace17(A)'
'665','iwmab17','Intense_Mace17(B)'
'666','iwmac17','Mace17(C)'
'667','iwmad17','Mace17(D)'
'668','iwmaa18','Blackjack(A)'
'669','iwmab18','Intense_Blackjack(B)'
'670','iwmac18','Blackjack(C)'
'671','iwmad18','Blackjack(D)'
'672','iwmaa19','Mace19(A)'
'673','iwmab19','Intense_Mace19(B)'
'674','iwmac19','Mace19(C)'
'675','iwmad19','Mace19(D)'
'676','iwmaa20','Beam_Mace(A)'
'677','iwmab20','Intense_Beam_Mace(B)'
'678','iwmac20','Beam_Mace(C)'
'679','iwmad20','Beam_Mace(D)'
'680','iwmaa21','Mace21(A)'
'681','iwmab21','Intense_Mace21(B)'
'682','iwmac21','Mace21(C)'
'683','iwmad21','Mace21(D)'
'684','iwmaa22','War_Piker(A)'
