'0','ildbf01','Default_Bellato_Male_Pants1'
'61','ildcm14','Default_Cora_Female_Pants14'
'62','ildcm15','Default_Cora_Female_Pants15'
'63','ildcm16','Default_Cora_Female_Pants16'
'64','ildam01','Default_Accretia_Pants1'
'65','ildam02','Default_Accretia_Pants2'
'66','ildam03','Default_Accretia_Pants3'
'67','ildam04','Default_Accretia_Pants4'
'68','ildam05','Default_Accretia_Pants5'
'69','ildam06','Default_Accretia_Pants6'
'70','ildam07','Default_Accretia_Pants7'
'71','ildam08','Default_Accretia_Pants8'
'72','ildam09','Default_Accretia_Pants9'
'73','ildam10','Default_Accretia_Pants10'
'74','ildam11','Default_Accretia_Pants11'
'75','ildam12','Default_Accretia_Pants12'
'76','ildam13','Default_Accretia_Pants13'
'77','ildam14','Default_Accretia_Pants14'
'78','ildam15','Default_Accretia_Pants15'
'79','ildam16','Default_Accretia_Pants16'
'80','ilbwa04','Training_Pants(Bellato_Warrior_TypeA)'
'81','ilbwb04','Intense_Training_Pants(Bellato_Warrior_TypeB)'
'82','ilbwc04','Training_Pants(Bellato_Warrior_TypeC)'
'83','ilbwd04','Training_Pants(Bellato_Warrior_TypeD)'
'84','ilbwa07','Rag_Pants(Bellato_Warrior_TypeA)'
'85','ilbwb07','Intense_Rag_Pants(Bellato_Warrior_TypeB)'
'86','ilbwc07','Rag_Pants(Bellato_Warrior_TypeC)'
'87','ilbwd07','Rag_Pants(Bellato_Warrior_TypeD)'
'88','ilbwa10','Leather_Pants(Bellato_Warrior_TypeA)'
'89','ilbwb10','Intense_Leather_Pants(Bellato_Warrior_TypeB)'
'90','ilbwc10','Leather_Pants(Bellato_Warrior_TypeC)'
'91','ilbwd10','Leather_Pants(Bellato_Warrior_TypeD)'
'92','ilbwa13','Normal_Parsal_Brichz(Bellato_Warrior_TypeA)'
'93','ilbwb13','Intense_Normal_Parsal_Brichz(Bellato_Warrior_TypeB)'
'94','ilbwc13','Normal_Parsal_Brichz(Bellato_Warrior_TypeC)'
'95','ilbwd13','Normal_Parsal_Brichz(Bellato_Warrior_TypeD)'
'96','ilbwa16','Parsal_Brichz(Bellato_Warrior_TypeA)'
'97','ilbwb16','Intense_Parsal_Brichz(Bellato_Warrior_TypeB)'
'98','ilbwc16','Parsal_Brichz(Bellato_Warrior_TypeC)'
'99','ilbwd16','Parsal_Brichz(Bellato_Warrior_TypeD)'
'100','ilbwa19','Light_Enamel_Brichz(Bellato_Warrior_TypeA)'
'101','ilbwb19','Intense_Light_Enamel_Brichz(Bellato_Warrior_TypeB)'
'102','ilbwc19','Light_Enamel_Brichz(Bellato_Warrior_TypeC)'
'103','ilbwd19','Light_Enamel_Brichz(Bellato_Warrior_TypeD)'
'104','ilbwa21','Enamel_Drawers(Bellato_Warrior_TypeA)'
'105','ilbwb21','Intense_Enamel_Drawers(Bellato_Warrior_TypeB)'
'106','ilbwc21','Enamel_Drawers(Bellato_Warrior_TypeC)'
'107','ilbwd21','Enamel_Drawers(Bellato_Warrior_TypeD)'
'108','ilbwa23','Rust_Duple_Drawers(Bellato_Warrior_TypeA)'
'109','ilbwb23','Intense_Rust_Duple_Drawers(Bellato_Warrior_TypeB)'
'110','ilbwc23','Rust_Duple_Drawers(Bellato_Warrior_TypeC)'
'111','ilbwd23','Rust_Duple_Drawers(Bellato_Warrior_TypeD)'
'112','ilbwa25','Duple_Drawers(Bellato_Warrior_TypeA)'
'113','ilbwb25','Intense_Duple_Drawers(Bellato_Warrior_TypeB)'
'114','ilbwc25','Duple_Drawers(Bellato_Warrior_TypeC)'
'115','ilbwd25','Duple_Drawers(Bellato_Warrior_TypeD)'
'116','ilbwa27','Soul_Drawers(Bellato_Warrior_TypeA)'
'117','ilbwb27','Intense_Soul_Drawers(Bellato_Warrior_TypeB)'
'118','ilbwc27','Soul_Drawers(Bellato_Warrior_TypeC)'
'119','ilbwd27','Soul_Drawers(Bellato_Warrior_TypeD)'
'120','ilbwa29','Glim_Drawers(Bellato_Warrior_TypeA)'
'121','ilbwb29','Intense_Glim_Drawers(Bellato_Warrior_TypeB)'
'122','ilbwc29','Glim_Drawers(Bellato_Warrior_TypeC)'
'123','ilbwd29','Glim_Drawers(Bellato_Warrior_TypeD)'
'124','ilbwa31','Soul_Render_Slacks(Bellato_Warrior_TypeA)'
'125','ilbwb31','Intense_Soul_Render_Slacks(Bellato_Warrior_TypeB)'
'126','ilbwc31','Soul_Render_Slacks(Bellato_Warrior_TypeC)'
'127','ilbwd31','Soul_Render_Slacks(Bellato_Warrior_TypeD)'
'128','ilbwa33','Bright_Slacks(Bellato_Warrior_TypeA)'
'129','ilbwb33','Intense_Bright_Slacks(Bellato_Warrior_TypeB)'
'130','ilbwc33','Bright_Slacks(Bellato_Warrior_TypeC)'
'131','ilbwd33','Bright_Slacks(Bellato_Warrior_TypeD)'
'132','ilbwa35','Normal_Siege_Slacks(Bellato_Warrior_TypeA)'
'133','ilbwb35','Intense_Normal_Siege_Slacks(Bellato_Warrior_TypeB)'
'134','ilbwc35','Normal_Siege_Slacks(Bellato_Warrior_TypeC)'
'135','ilbwd35','Normal_Siege_Slacks(Bellato_Warrior_TypeD)'
'136','ilbwa37','Siege_Slacks(Bellato_Warrior_TypeA)'
'137','ilbwb37','Intense_Siege_Slacks(Bellato_Warrior_TypeB)'
'138','ilbwc37','Siege_Slacks(Bellato_Warrior_TypeC)'
'139','ilbwd37','Siege_Slacks(Bellato_Warrior_TypeD)'
'140','ilbwa39','Core_Slacks(Bellato_Warrior_TypeA)'
'141','ilbwb39','Intense_Core_Slacks(Bellato_Warrior_TypeB)'
'142','ilbwc39','Core_Slacks(Bellato_Warrior_TypeC)'
'143','ilbwd39','Core_Slacks(Bellato_Warrior_TypeD)'
'144','ilbwa41','Double_Core_Trouser(Bellato_Warrior_TypeA)'
'145','ilbwb41','Intense_Double_Core_Trouser(Bellato_Warrior_TypeB)'
'146','ilbwc40','Normal_Uniform_Slack<GuildMasterOnly>'
'147','ilbwd40','Normal_Uniform_Slack<ArchonOnly>'
'148','ilbwa43','Chip_Magnetic_Trouser(Bellato_Warrior_TypeA)'
'149','ilbwb43','Intense_Chip_Magnetic_Trouser(Bellato_Warrior_TypeB)'
'150','ilbwc43','Chip_Magnetic_Trouser(Bellato_Warrior_TypeC)'
'151','ilbwd43','Chip_Magnetic_Trouser(Bellato_Warrior_TypeD)'
'152','ilbwa45','Magnetic_Trouser(Bellato_Warrior_TypeA)'
'153','ilbwb45','Intense_Magnetic_Trouser(Bellato_Warrior_TypeB)'
'154','ilbwc45','Symbol_of_Leader_Trouser'
'155','ilbwd45','Bellato_Union`s_Shout_Trouser'
'156','ilbwa47','Berserker_Trouser(Bellato_Warrior_TypeA)'
'157','ilbwb47','Intense_Berserker_Trouser(Bellato_Warrior_TypeB)'
'158','ilbwc47','Berserker_Trouser(Bellato_Warrior_TypeC)'
'159','ilbwd47','Berserker_Trouser(Bellato_Warrior_TypeD)'
'160','ilbwa50','Golden_Trouser(Bellato_Warrior_TypeA)'
'161','ilbwb50','Intense_Golden_Trouser(Bellato_Warrior_TypeB)'
'162','ilbwc50','Palmas_Leg_Protector<M-type>'
'163','ilbwd50','Golden_Trouser(Bellato_Warrior_TypeD)'
'164','ilbra04','Light_Training_Pants(Bellato_Ranger_TypeA)'
'165','ilbrb04','Intense_Light_Training_Pants(Bellato_Ranger_TypeB)'
'166','ilbrc04','Light_Training_Pants(Bellato_Ranger_TypeC)'
'167','ilbrd04','Light_Training_Pants(Bellato_Ranger_TypeD)'
'168','ilbra07','Clos_Pants(Bellato_Ranger_TypeA)'
'169','ilbrb07','Intense_Clos_Pants(Bellato_Ranger_TypeB)'
'170','ilbrc07','Clos_Pants(Bellato_Ranger_TypeC)'
'171','ilbrd07','Clos_Pants(Bellato_Ranger_TypeD)'
'172','ilbra10','Hard_Clos_Pants(Bellato_Ranger_TypeA)'
'173','ilbrb10','Intense_Hard_Clos_Pants(Bellato_Ranger_TypeB)'
'174','ilbrc10','Hard_Clos_Pants(Bellato_Ranger_TypeC)'
'175','ilbrd10','Hard_Clos_Pants(Bellato_Ranger_TypeD)'
'176','ilbra13','Coles_Leather_Pants(Bellato_Ranger_TypeA)'
'177','ilbrb13','Intense_Coles_Leather_Pants(Bellato_Ranger_TypeB)'
'178','ilbrc13','Coles_Leather_Pants(Bellato_Ranger_TypeC)'
'179','ilbrd13','Coles_Leather_Pants(Bellato_Ranger_TypeD)'
'180','ilbra16','Soft_Leather_Pants(Bellato_Ranger_TypeA)'
'181','ilbrb16','Intense_Soft_Leather_Pants(Bellato_Ranger_TypeB)'
'182','ilbrc16','Soft_Leather_Pants(Bellato_Ranger_TypeC)'
'183','ilbrd16','Soft_Leather_Pants(Bellato_Ranger_TypeD)'
'184','ilbra19','Chip_Lease_Pants(Bellato_Ranger_TypeA)'
'185','ilbrb19','Intense_Chip_Lease_Pants(Bellato_Ranger_TypeB)'
'186','ilbrc19','Chip_Lease_Pants(Bellato_Ranger_TypeC)'
'187','ilbrd19','Chip_Lease_Pants(Bellato_Ranger_TypeD)'
'188','ilbra21','Hora_Pants(Bellato_Ranger_TypeA)'
'189','ilbrb21','Intense_Hora_Pants(Bellato_Ranger_TypeB)'
'190','ilbrc21','Hora_Pants(Bellato_Ranger_TypeC)'
'191','ilbrd21','Hora_Pants(Bellato_Ranger_TypeD)'
'192','ilbra23','Hersk_Pants(Bellato_Ranger_TypeA)'
'193','ilbrb23','Intense_Hersk_Pants(Bellato_Ranger_TypeB)'
'194','ilbrc23','Hersk_Pants(Bellato_Ranger_TypeC)'
'195','ilbrd23','Hersk_Pants(Bellato_Ranger_TypeD)'
'196','ilbra25','Hard_Hersk_Pants(Bellato_Ranger_TypeA)'
'197','ilbrb25','Intense_Hard_Hersk_Pants(Bellato_Ranger_TypeB)'
'198','ilbrc25','Hard_Hersk_Pants(Bellato_Ranger_TypeC)'
'199','ilbrd25','Hard_Hersk_Pants(Bellato_Ranger_TypeD)'
'200','ilbra27','Low_Rapid_Pants(Bellato_Ranger_TypeA)'
'201','ilbrb27','Intense_Low_Rapid_Pants(Bellato_Ranger_TypeB)'
'202','ilbrc27','Low_Rapid_Pants(Bellato_Ranger_TypeC)'
'203','ilbrd27','Low_Rapid_Pants(Bellato_Ranger_TypeD)'
'204','ilbra29','Rapid_Pants(Bellato_Ranger_TypeA)'
'205','ilbrb29','Intense_Rapid_Pants(Bellato_Ranger_TypeB)'
'206','ilbrc29','Rapid_Pants(Bellato_Ranger_TypeC)'
'207','ilbrd29','Rapid_Pants(Bellato_Ranger_TypeD)'
'208','ilbra31','Rust_Spring_Drawers(Bellato_Ranger_TypeA)'
'209','ilbrb31','Intense_Rust_Spring_Drawers(Bellato_Ranger_TypeB)'
'210','ilbrc31','Rust_Spring_Drawers(Bellato_Ranger_TypeC)'
'211','ilbrd31','Rust_Spring_Drawers(Bellato_Ranger_TypeD)'
'212','ilbra33','Spring_Drawers(Bellato_Ranger_TypeA)'
'213','ilbrb33','Intense_Spring_Drawers(Bellato_Ranger_TypeB)'
'214','ilbrc33','Spring_Drawers(Bellato_Ranger_TypeC)'
'215','ilbrd33','Spring_Drawers(Bellato_Ranger_TypeD)'
'216','ilbra35','Hunter_Drawers(Bellato_Ranger_TypeA)'
'217','ilbrb35','Intense_Hunter_Drawers(Bellato_Ranger_TypeB)'
'218','ilbrc35','Hunter_Drawers(Bellato_Ranger_TypeC)'
'219','ilbrd35','Hunter_Drawers(Bellato_Ranger_TypeD)'
'220','ilbra37','Chief_Hunter_Drawers(Bellato_Ranger_TypeA)'
'221','ilbrb37','Intense_Chief_Hunter_Drawers(Bellato_Ranger_TypeB)'
'222','ilbrc37','Chief_Hunter_Drawers(Bellato_Ranger_TypeC)'
'223','ilbrd37','Chief_Hunter_Drawers(Bellato_Ranger_TypeD)'
'224','ilbra39','Tiny_Ell_Drawers(Bellato_Ranger_TypeA)'
'225','ilbrb39','Intense_Tiny_Ell_Drawers(Bellato_Ranger_TypeB)'
'226','ilbrc39','Tiny_Ell_Drawers(Bellato_Ranger_TypeC)'
'227','ilbrd39','Tiny_Ell_Drawers(Bellato_Ranger_TypeD)'
'228','ilbra41','Ell_Slacks(Bellato_Ranger_TypeA)'
'229','ilbrb41','Intense_Ell_Slacks(Bellato_Ranger_TypeB)'
'230','ilbrc41','Ell_Slacks(Bellato_Ranger_TypeC)'
'231','ilbrd41','Ell_Slacks(Bellato_Ranger_TypeD)'
'232','ilbra43','Feather_Slacks(Bellato_Ranger_TypeA)'
'233','ilbrb43','Intense_Feather_Slacks(Bellato_Ranger_TypeB)'
'234','ilbrc43','Feather_Slacks(Bellato_Ranger_TypeC)'
'235','ilbrd43','Feather_Slacks(Bellato_Ranger_TypeD)'
'236','ilbra45','Dragon_Feather_Slacks(Bellato_Ranger_TypeA)'
'237','ilbrb45','Intense_Dragon_Feather_Slacks(Bellato_Ranger_TypeB)'
'238','ilbrc45','Dragon_Feather_Slacks(Bellato_Ranger_TypeC)'
'239','ilbrd45','Bellato_Union`s_Shout_Slacks(Bellato_Ranger_TypeD)'
'240','ilbra47','Small_Hora_Slacks(Bellato_Ranger_TypeA)'
'241','ilbrb47','Intense_Small_Hora_Slacks(Bellato_Ranger_TypeB)'
'242','ilbrc47','Small_Hora_Slacks(Bellato_Ranger_TypeC)'
'243','ilbrd47','Small_Hora_Slacks(Bellato_Ranger_TypeD)'
'244','ilbra50','Lease_Slacks(Bellato_Ranger_TypeA)'
'245','ilbrb50','Intense_Lease_Slacks(Bellato_Ranger_TypeB)'
'246','ilbrc50','Palmas_Leg_Protector<R-type>'
'247','ilbrd50','Lease_Slacks(Bellato_Ranger_TypeD)'
'248','ilbfa04','Normal_Training_Pants(Bellato_Force_TypeA)'
'249','ilbfb04','Intense_Normal_Training_Pants(Bellato_Force_TypeB)'
'250','ilbfc04','Normal_Training_Pants(Bellato_Force_TypeC)'
'251','ilbfd04','Normal_Training_Pants(Bellato_Force_TypeD)'
'252','ilbfa07','Linen_Pants(Bellato_Force_TypeA)'
'253','ilbfb07','Intense_Linen_Pants(Bellato_Force_TypeB)'
'254','ilbfc07','Linen_Pants(Bellato_Force_TypeC)'
'255','ilbfd07','Linen_Pants(Bellato_Force_TypeD)'
'256','ilbfa10','Field_Linen_Pants(Bellato_Force_TypeA)'
'257','ilbfb10','Intense_Field_Linen_Pants(Bellato_Force_TypeB)'
'258','ilbfc10','Field_Linen_Pants(Bellato_Force_TypeC)'
'259','ilbfd10','Field_Linen_Pants(Bellato_Force_TypeD)'
'260','ilbfa13','Silk_Brichz(Bellato_Force_TypeA)'
'261','ilbfb13','Intense_Silk_Brichz(Bellato_Force_TypeB)'
'262','ilbfc13','Silk_Brichz(Bellato_Force_TypeC)'
'263','ilbfd13','Silk_Brichz(Bellato_Force_TypeD)'
'264','ilbfa16','Hora_Silk_Brichz(Bellato_Force_TypeA)'
'265','ilbfb16','Intense_Hora_Silk_Brichz(Bellato_Force_TypeB)'
'266','ilbfc16','Hora_Silk_Brichz(Bellato_Force_TypeC)'
'267','ilbfd16','Hora_Silk_Brichz(Bellato_Force_TypeD)'
'268','ilbfa19','Supple_Leather_Brichz(Bellato_Force_TypeA)'
'269','ilbfb19','Intense_Supple_Leather_Brichz(Bellato_Force_TypeB)'
'270','ilbfc19','Supple_Leather_Brichz(Bellato_Force_TypeC)'
'271','ilbfd19','Supple_Leather_Brichz(Bellato_Force_TypeD)'
'272','ilbfa21','Studded_Leather_Drawers(Bellato_Force_TypeA)'
'273','ilbfb21','Intense_Studded_Leather_Drawers(Bellato_Force_TypeB)'
'274','ilbfc21','Studded_Leather_Drawers(Bellato_Force_TypeC)'
'275','ilbfd21','Studded_Leather_Drawers(Bellato_Force_TypeD)'
'276','ilbfa23','Long_Spirit_Drawers(Bellato_Force_TypeA)'
'277','ilbfb23','Intense_Long_Spirit_Drawers(Bellato_Force_TypeB)'
'278','ilbfc23','Long_Spirit_Drawers(Bellato_Force_TypeC)'
'279','ilbfd23','Long_Spirit_Drawers(Bellato_Force_TypeD)'
'280','ilbfa25','Spirit_Drawers(Bellato_Force_TypeA)'
'281','ilbfb25','Intense_Spirit_Drawers(Bellato_Force_TypeB)'
'282','ilbfc25','Spirit_Drawers(Bellato_Force_TypeC)'
'283','ilbfd25','Spirit_Drawers(Bellato_Force_TypeD)'
'284','ilbfa27','BattleMage_Drawers(Bellato_Force_TypeA)'
'285','ilbfb27','Intense_BattleMage_Drawers(Bellato_Force_TypeB)'
'286','ilbfc27','BattleMage_Drawers(Bellato_Force_TypeC)'
'287','ilbfd27','BattleMage_Drawers(Bellato_Force_TypeD)'
'288','ilbfa29','Mage_Drawers(Bellato_Force_TypeA)'
'289','ilbfb29','Intense_Mage_Drawers(Bellato_Force_TypeB)'
'290','ilbfc29','Mage_Drawers(Bellato_Force_TypeC)'
'291','ilbfd29','Mage_Drawers(Bellato_Force_TypeD)'
'292','ilbfa31','Priest_Slacks(Bellato_Force_TypeA)'
'293','ilbfb31','Intense_Priest_Slacks(Bellato_Force_TypeB)'
'294','ilbfc31','Priest_Slacks(Bellato_Force_TypeC)'
'295','ilbfd31','Priest_Slacks(Bellato_Force_TypeD)'
'296','ilbfa33','Mind_Slacks(Bellato_Force_TypeA)'
'297','ilbfb33','Intense_Mind_Slacks(Bellato_Force_TypeB)'
'298','ilbfc33','Mind_Slacks(Bellato_Force_TypeC)'
'299','ilbfd33','Mind_Slacks(Bellato_Force_TypeD)'
'300','ilbfa35','WarPriest_Slacks(Bellato_Force_TypeA)'
'301','ilbfb35','Intense_WarPriest_Slacks(Bellato_Force_TypeB)'
'302','ilbfc35','WarPriest_Slacks(Bellato_Force_TypeC)'
'303','ilbfd35','WarPriest_Slacks(Bellato_Force_TypeD)'
'304','ilbfa37','Field_WarPriest_Slacks(Bellato_Force_TypeA)'
'305','ilbfb37','Intense_Field_WarPriest_Slacks(Bellato_Force_TypeB)'
'306','ilbfc37','Field_WarPriest_Slacks(Bellato_Force_TypeC)'
'307','ilbfd37','Field_WarPriest_Slacks(Bellato_Force_TypeD)'
'308','ilbfa39','Battle_Slacks(Bellato_Force_TypeA)'
'309','ilbfb39','Intense_Battle_Slacks(Bellato_Force_TypeB)'
'310','ilbfc39','Battle_Slacks(Bellato_Force_TypeC)'
'311','ilbfd39','Battle_Slacks(Bellato_Force_TypeD)'
'312','ilbfa41','Bless_Trouser(Bellato_Force_TypeA)'
'313','ilbfb41','Intense_Bless_Trouser(Bellato_Force_TypeB)'
'314','ilbfc41','Bless_Trouser(Bellato_Force_TypeC)'
'315','ilbfd41','Bless_Trouser(Bellato_Force_TypeD)'
'316','ilbfa43','Simple_Baal_Trouser(Bellato_Force_TypeA)'
'317','ilbfb43','Intense_Simple_Baal_Trouser(Bellato_Force_TypeB)'
'318','ilbfc43','Simple_Baal_Trouser(Bellato_Force_TypeC)'
'319','ilbfd43','Simple_Baal_Trouser(Bellato_Force_TypeD)'
'320','ilbfa45','Baal_Trouser(Bellato_Force_TypeA)'
'321','ilbfb45','Intense_Baal_Trouser(Bellato_Force_TypeB)'
'322','ilbfc45','Baal_Trouser(Bellato_Force_TypeC)'
'323','ilbfd45','Bellato_Union`s_Shout_Trouser(Bellato_Force_TypeD)'
'324','ilbfa47','Noble_Trouser(Bellato_Force_TypeA)'
'325','ilbfb47','Intense_Noble_Trouser(Bellato_Force_TypeB)'
'326','ilbfc47','Noble_Trouser(Bellato_Force_TypeC)'
'327','ilbfd47','Noble_Trouser(Bellato_Force_TypeD)'
'328','ilbfa50','NobleHora_Trouser(Bellato_Force_TypeA)'
'329','ilbfb50','Intense_NobleHora_Trouser(Bellato_Force_TypeB)'
'330','ilbfc50','Palmas_Leg_Protector<F-type>'
'331','ilbfd50','NobleHora_Trouser(Bellato_Force_TypeD)'
'332','ilcwa04','Training_Smock_Pants(Cora_Warrior_TypeA)'
'333','ilcwb04','Intense_Training_Smock_Pants(Cora_Warrior_TypeB)'
'334','ilcwc04','Training_Smock_Pants(Cora_Warrior_TypeC)'
'335','ilcwd04','Training_Smock_Pants(Cora_Warrior_TypeD)'
'336','ilcwa07','Smock_Pants(Cora_Warrior_TypeA)'
'337','ilcwb07','Intense_Smock_Pants(Cora_Warrior_TypeB)'
'338','ilcwc07','Smock_Pants(Cora_Warrior_TypeC)'
'339','ilcwd07','Smock_Pants(Cora_Warrior_TypeD)'
'340','ilcwa10','Warrior_Smock_Pants(Cora_Warrior_TypeA)'
'341','ilcwb10','Intense_Warrior_Smock_Pants(Cora_Warrior_TypeB)'
'342','ilcwc10','Warrior_Smock_Pants(Cora_Warrior_TypeC)'
'343','ilcwd10','Warrior_Smock_Pants(Cora_Warrior_TypeD)'
'344','ilcwa13','Rust_Cordovan_Brichz(Cora_Warrior_TypeA)'
'345','ilcwb13','Intense_Rust_Cordovan_Brichz(Cora_Warrior_TypeB)'
'346','ilcwc13','Rust_Cordovan_Brichz(Cora_Warrior_TypeC)'
'347','ilcwd13','Rust_Cordovan_Brichz(Cora_Warrior_TypeD)'
'348','ilcwa16','Cordovan_Brichz(Cora_Warrior_TypeA)'
'349','ilcwb16','Intense_Cordovan_Brichz(Cora_Warrior_TypeB)'
'350','ilcwc16','Cordovan_Brichz(Cora_Warrior_TypeC)'
'351','ilcwd16','Cordovan_Brichz(Cora_Warrior_TypeD)'
'352','ilcwa19','Mid_Grow_Brichz(Cora_Warrior_TypeA)'
'353','ilcwb19','Intense_Mid_Grow_Brichz(Cora_Warrior_TypeB)'
'354','ilcwc19','Mid_Grow_Brichz(Cora_Warrior_TypeC)'
'355','ilcwd19','Mid_Grow_Brichz(Cora_Warrior_TypeD)'
'356','ilcwa21','Grow_Drawers(Cora_Warrior_TypeA)'
'357','ilcwb21','Intense_Grow_Drawers(Cora_Warrior_TypeB)'
'358','ilcwc21','Grow_Drawers(Cora_Warrior_TypeC)'
'359','ilcwd21','Grow_Drawers(Cora_Warrior_TypeD)'
'360','ilcwa23','Coil_Drawers(Cora_Warrior_TypeA)'
'361','ilcwb23','Intense_Coil_Drawers(Cora_Warrior_TypeB)'
'362','ilcwc23','Coil_Drawers(Cora_Warrior_TypeC)'
'363','ilcwd23','Coil_Drawers(Cora_Warrior_TypeD)'
'364','ilcwa25','Mild_Coil_Drawers(Cora_Warrior_TypeA)'
'365','ilcwb25','Intense_Mild_Coil_Drawers(Cora_Warrior_TypeB)'
'366','ilcwc25','Mild_Coil_Drawers(Cora_Warrior_TypeC)'
'367','ilcwd25','Mild_Coil_Drawers(Cora_Warrior_TypeD)'
'368','ilcwa27','Dark_Drawers(Cora_Warrior_TypeA)'
'369','ilcwb27','Intense_Dark_Drawers(Cora_Warrior_TypeB)'
'370','ilcwc27','Dark_Drawers(Cora_Warrior_TypeC)'
'371','ilcwd27','Dark_Drawers(Cora_Warrior_TypeD)'
'372','ilcwa29','Cora_Dark_Drawers(Cora_Warrior_TypeA)'
'373','ilcwb29','Intense_Cora_Dark_Drawers(Cora_Warrior_TypeB)'
'374','ilcwc29','Cora_Dark_Drawers(Cora_Warrior_TypeC)'
'375','ilcwd29','Cora_Dark_Drawers(Cora_Warrior_TypeD)'
'376','ilcwa31','Small_Cus_Slacks(Cora_Warrior_TypeA)'
'377','ilcwb31','Intense_Small_Cus_Slacks(Cora_Warrior_TypeB)'
'378','ilcwc31','Small_Cus_Slacks(Cora_Warrior_TypeC)'
'379','ilcwd31','Small_Cus_Slacks(Cora_Warrior_TypeD)'
'380','ilcwa33','Cus_Slacks(Cora_Warrior_TypeA)'
'381','ilcwb33','Intense_Cus_Slacks(Cora_Warrior_TypeB)'
'382','ilcwc33','Cus_Slacks(Cora_Warrior_TypeC)'
'383','ilcwd33','Cus_Slacks(Cora_Warrior_TypeD)'
'384','ilcwa35','Small_Bone_Slacks(Cora_Warrior_TypeA)'
'385','ilcwb35','Intense_Small_Bone_Slacks(Cora_Warrior_TypeB)'
'386','ilcwc35','Small_Bone_Slacks(Cora_Warrior_TypeC)'
'387','ilcwd35','Small_Bone_Slacks(Cora_Warrior_TypeD)'
'388','ilcwa37','Hora_Slacks(Cora_Warrior_TypeA)'
'389','ilcwb37','Intense_Hora_Slacks(Cora_Warrior_TypeB)'
'390','ilcwc37','Hora_Slacks(Cora_Warrior_TypeC)'
'391','ilcwd37','Hora_Slacks(Cora_Warrior_TypeD)'
'392','ilcwa39','Odinz_Ra_Slacks(Cora_Warrior_TypeA)'
'393','ilcwb39','Intense_Odinz_Ra_Slacks(Cora_Warrior_TypeB)'
'394','ilcwc39','Odinz_Ra_Slacks(Cora_Warrior_TypeC)'
'395','ilcwd39','Odinz_Ra_Slacks(Cora_Warrior_TypeD)'
