'0','iabba01','Fire_Parsal_AppendixA(1)'
'81','iabba82','Elemental_Parsal_Appendix(Rare1-5)'
'82','iabba83','Elemental_Parsal_Appendix(Rare1-6)'
'83','iabba84','Elemental_Parsal_Appendix(Rare1-7)'
'84','iabba85','Elemental_Parsal_Appendix(Rare1-8)'
'85','iabba86','Elemental_Spirit_Appendix(Rare1-1)'
'86','iabba87','Elemental_Spirit_Appendix(Rare1-2)'
'87','iabba88','Elemental_Spirit_Appendix(Rare1-3)'
'88','iabba89','Elemental_Spirit_Appendix(Rare1-4)'
'89','iabba90','Elemental_Spirit_Appendix(Rare1-5)'
'90','iabba91','Elemental_Spirit_Appendix(Rare1-6)'
'91','iabba92','Elemental_Spirit_Appendix(Rare1-7)'
'92','iabba93','Elemental_Spirit_Appendix(Rare1-8)'
'93','iabba94','Elemental_Mind_Appendix(Rare1-1)'
'94','iabba95','Elemental_Mind_Appendix(Rare1-2)'
'95','iabba96','Elemental_Mind_Appendix(Rare1-3)'
'96','iabba97','Elemental_Mind_Appendix(Rare1-4)'
'97','iabba98','Elemental_Mind_Appendix(Rare1-5)'
'98','iabba99','Elemental_Mind_Appendix(Rare1-6)'
'99','iabbb01','Elemental_Mind_Appendix(Rare1-7)'
'100','iabbb02','Elemental_Mind_Appendix(Rare1-8)'
'101','iabbb03','Elemental_Ell_Appendix(Rare1-1)'
'102','iabbb04','Elemental_Ell_Appendix(Rare1-2)'
'103','iabbb05','Elemental_Ell_Appendix(Rare1-3)'
'104','iabbb06','Elemental_Ell_Appendix(Rare1-4)'
'105','iabbb07','Elemental_Ell_Appendix(Rare1-5)'
'106','iabbb08','Elemental_Ell_Appendix(Rare1-6)'
'107','iabbb09','Elemental_Ell_Appendix(Rare1-7)'
'108','iabbb10','Elemental_Ell_Appendix(Rare1-8)'
'109','iabbb11','Elemental_Tomb_AppendixA(Rare1-1)'
'110','iabbb12','Elemental_Tomb_AppendixB(Rare1-2)'
'111','iabbb13','Elemental_Tomb_AppendixC(Rare1-3)'
'112','iabbb14','Elemental_Tomb_AppendixD(Rare1-4)'
'113','iabbb15','Elemental_Tomb_AppendixE(Rare1-5)'
'114','iabbb16','Elemental_Tomb_AppendixF(Rare1-6)'
'115','iabbb17','Elemental_Tomb_AppendixG(Rare1-7)'
'116','iabpc01','[PC_Cafe_Only]_Amulet'
'117','iabpc02','[PC_Cafe_Only]_Amulet'
'118','iabpc03','[PC_Cafe_Only]_Amulet'
'119','iabbb21','Bellato_Appendix120'
'120','iabbb22','Bellato_Appendix121'
'121','iabbb23','Bellato_Appendix122'
'122','iabbb24','Bellato_Appendix123'
'123','iabbb25','Bellato_Appendix124'
'124','iabbb26','Bellato_Appendix125'
'125','iabbb27','Bellato_Appendix126'
'126','iabbb28','Bellato_Appendix127'
'127','iabbb29','Bellato_Appendix128'
'128','iabbb30','Bellato_Appendix129'
'129','iabbb31','Bellato_Appendix130'
'130','iabbb32','Bellato_Appendix131'
'131','iabbb33','Bellato_Appendix132'
'132','iabbb34','Bellato_Appendix133'
'133','iabbb35','Bellato_Appendix134'
'134','iabbb36','Bellato_Appendix135'
'135','iabbb37','Bellato_Appendix136'
'136','iabbb38','Bellato_Appendix137'
'137','iabbb39','Bellato_Appendix138'
'138','iabbb40','Bellato_Appendix139'
'139','iabbb41','Bellato_Appendix140'
'140','iabbb42','Bellato_Appendix141'
'141','iabbb43','Bellato_Appendix142'
'142','iabbb44','Bellato_Appendix143'
'143','iabbb45','Bellato_Appendix144'
'144','iabbb46','Bellato_Appendix145'
'145','iabbb47','Bellato_Appendix146'
'146','iabbb48','Bellato_Appendix147'
'147','iabbb49','Bellato_Appendix148'
'148','iabbb50','Bellato_Appendix149'
'149','iabbb51','Bellato_Appendix150'
'150','iabbb52','Bellato_Appendix151'
'151','iabbb53','Bellato_Appendix152'
'152','iabbb54','Bellato_Appendix153'
'153','iabbb55','Bellato_Appendix154'
'154','iabbb56','Bellato_Appendix155'
'155','iabbb57','Bellato_Appendix156'
'156','iabbb58','Bellato_Appendix157'
'157','iabbb59','Bellato_Appendix158'
'158','iabbb60','Bellato_Appendix159'
'159','iabbb61','Bellato_Appendix160'
'160','iabbb62','Bellato_Appendix161'
'161','iabbb63','Bellato_Appendix162'
'162','iabbb64','Bellato_Appendix163'
'163','iabbb65','Bellato_Appendix164'
'164','iabbb66','Bellato_Appendix165'
'165','iabbb67','Bellato_Appendix166'
'166','iabbb68','Bellato_Appendix167'
'167','iabbb69','Bellato_Appendix168'
'168','iabbb70','Bellato_Appendix169'
'169','iabbb71','Bellato_Appendix170'
'170','iabbb72','Bellato_Appendix171'
'171','iabbb73','Bellato_Appendix172'
'172','iabbb74','Bellato_Appendix173'
'173','iabbb75','Bellato_Appendix174'
'174','iabbb76','Bellato_Appendix175'
'175','iabbb77','Bellato_Appendix176'
'176','iabbb78','Bellato_Appendix177'
'177','iabbb79','Bellato_Appendix178'
'178','iabbb80','Bellato_Appendix179'
'179','iabbb81','Bellato_Appendix180'
'180','iabbb82','Bellato_Appendix181'
'181','iabbb83','Bellato_Appendix182'
'182','iabbb84','Bellato_Appendix183'
'183','iabbb85','Bellato_Appendix184'
'184','iabbb86','Bellato_Appendix185'
'185','iabbb87','Bellato_Appendix186'
'186','iabbb88','Bellato_Appendix187'
'187','iabbb89','Bellato_Appendix188'
'188','iabbb90','Bellato_Appendix189'
'189','iabbb91','Bellato_Appendix190'
'190','iabbb92','Bellato_Appendix191'
'191','iabbb93','Bellato_Appendix192'
'192','iabbb94','Bellato_Appendix193'
'193','iabbb95','Bellato_Appendix194'
'194','iabbb96','Bellato_Appendix195'
'195','iabbb97','Bellato_Appendix196'
'196','iabbb98','Bellato_Appendix197'
'197','iabbb99','Bellato_Appendix198'
'198','iabbc01','Bellato_Appendix199'
'199','iabbc02','Bellato_Appendix200'
'200','iabbc03','Bellato_Appendix201'
'201','iabbc04','Bellato_Appendix202'
'202','iabbc05','Bellato_Appendix203'
'203','iabbc06','Bellato_Appendix204'
'204','iabbc07','Bellato_Appendix205'
'205','iabbc08','Bellato_Appendix206'
'206','iabbc09','Bellato_Appendix207'
'207','iabbc10','Bellato_Appendix208'
'208','iabbc11','Bellato_Appendix209'
'209','iabbc12','Bellato_Appendix210'
'210','iabbc13','Bellato_Appendix211'
'211','iabbc14','Bellato_Appendix212'
'212','iabbc15','Bellato_Appendix213'
'213','iabbc16','Bellato_Appendix214'
'214','iabbc17','Bellato_Appendix215'
'215','iabbc18','Bellato_Appendix216'
'216','iabbc19','Bellato_Appendix217'
'217','iabbc20','Bellato_Appendix218'
'218','iabbc21','Bellato_Appendix219'
'219','iabbc22','Bellato_Appendix220'
'220','iabbc23','Bellato_Appendix221'
'221','iabbc24','Bellato_Appendix222'
'222','iabbc25','Bellato_Appendix223'
'223','iabbc26','Bellato_Appendix224'
'224','iabbc27','Bellato_Appendix225'
'225','iabbc28','Bellato_Appendix226'
'226','iabbc29','Bellato_Appendix227'
'227','iabbc30','Bellato_Appendix228'
'228','iabbc31','Bellato_Appendix229'
'229','iabbc32','Bellato_Appendix230'
'230','iabbc33','Bellato_Appendix231'
'231','iabbc34','Bellato_Appendix232'
'232','iabbc35','Bellato_Appendix233'
'233','iabbc36','Bellato_Appendix234'
'234','iabbc37','Bellato_Appendix235'
'235','iabbc38','Bellato_Appendix236'
'236','iabbc39','Bellato_Appendix237'
'237','iabbc40','Bellato_Appendix238'
'238','iabbc41','Bellato_Appendix239'
'239','iabbc42','Bellato_Appendix240'
'240','iabbc43','Bellato_Appendix241'
'241','iabbc44','Bellato_Appendix242'
'242','iabbc45','Bellato_Appendix243'
'243','iabbc46','Bellato_Appendix244'
'244','iabbc47','Bellato_Appendix245'
'245','iabbc48','Bellato_Appendix246'
'246','iabbc49','Bellato_Appendix247'
'247','iabbc50','Bellato_Appendix248'
'248','iabbc51','Bellato_Appendix249'
'249','iabbc52','Bellato_Appendix250'
'250','iabbc53','Bellato_Appendix251'
'251','iabbc54','Bellato_Appendix252'
'252','iabbc55','Bellato_Appendix253'
'253','iabbc56','Bellato_Appendix254'
'254','iabbc57','Bellato_Appendix255'
'255','iabbc58','Bellato_Appendix256'
'256','iacca01','Fire_Stuff_EarringA(1)'
'257','iacca02','Fire_Stuff_EarringB(2)'
'258','iacca03','Fire_Stuff_EarringC(3)'
'259','iacca04','Fire_Stuff_EarringD(4)'
'260','iacca05','Fire_Stuff_EarringE(5)'
'261','iacca06','Fire_Stuff_EarringF(6)'
'262','iacca07','Fire_Stuff_EarringG(7)'
'263','iacca08','Aqua_Stuff_EarringA(1)'
'264','iacca09','Aqua_Stuff_EarringB(2)'
'265','iacca10','Aqua_Stuff_EarringC(3)'
'266','iacca11','Aqua_Stuff_EarringD(4)'
'267','iacca12','Aqua_Stuff_EarringE(5)'
'268','iacca13','Aqua_Stuff_EarringF(6)'
'269','iacca14','Aqua_Stuff_EarringG(7)'
'270','iacca15','Tera_Stuff_EarringA(1)'
'271','iacca16','Tera_Stuff_EarringB(2)'
'272','iacca17','Tera_Stuff_EarringC(3)'
'273','iacca18','Tera_Stuff_EarringD(4)'
'274','iacca19','Tera_Stuff_EarringE(5)'
'275','iacca20','Tera_Stuff_EarringF(6)'
'276','iacca21','Tera_Stuff_EarringG(7)'
'277','iacca22','Wind_Stuff_EarringA(1)'
'278','iacca23','Wind_Stuff_EarringB(2)'
'279','iacca24','Wind_Stuff_EarringC(3)'
'280','iacca25','Wind_Stuff_EarringD(4)'
'281','iacca26','Wind_Stuff_EarringE(5)'
'282','iacca27','Wind_Stuff_EarringF(6)'
'283','iacca28','Wind_Stuff_EarringG(7)'
'284','iacca29','Fire_Mild_EarringA(1)'
'285','iacca30','Fire_Mild_EarringB(2)'
'286','iacca31','Fire_Mild_EarringC(3)'
'287','iacca32','Fire_Mild_EarringD(4)'
'288','iacca33','Fire_Mild_EarringE(5)'
'289','iacca34','Fire_Mild_EarringF(6)'
'290','iacca35','Fire_Mild_EarringG(7)'
'291','iacca36','Aqua_Cus_EarringA(1)'
'292','iacca37','Aqua_Cus_EarringB(2)'
'293','iacca38','Aqua_Cus_EarringC(3)'
'294','iacca39','Aqua_Cus_EarringD(4)'
'295','iacca40','Aqua_Cus_EarringE(5)'
'296','iacca41','Aqua_Cus_EarringF(6)'
'297','iacca42','Aqua_Cus_EarringG(7)'
'298','iacca43','Fire_Cus_EarringA(1)'
'299','iacca44','Fire_Cus_EarringB(2)'
'300','iacca45','Fire_Cus_EarringC(3)'
'301','iacca46','Fire_Cus_EarringD(4)'
'302','iacca47','Fire_Cus_EarringE(5)'
'303','iacca48','Fire_Cus_EarringF(6)'
'304','iacca49','Fire_Cus_EarringG(7)'
'305','iacca50','Fire_Glow_EarringA(1)'
'306','iacca51','Fire_Glow_EarringB(2)'
'307','iacca52','Fire_Glow_EarringC(3)'
'308','iacca53','Fire_Glow_EarringD(4)'
'309','iacca54','Fire_Glow_EarringE(5)'
'310','iacca55','Fire_Glow_EarringF(6)'
'311','iacca56','Fire_Glow_EarringG(7)'
'312','iacca57','Elemental_Stuff_Earring(Rare1-1)'
'313','iacca58','Elemental_Stuff_Earring(Rare1-2)'
'314','iacca59','Elemental_Stuff_Earring(Rare1-3)'
'315','iacca60','Elemental_Stuff_Earring(Rare1-4)'
'316','iacca61','Elemental_Stuff_Earring(Rare1-5)'
'317','iacca62','Elemental_Stuff_Earring(Rare1-6)'
'318','iacca63','Elemental_Stuff_Earring(Rare1-7)'
'319','iacca64','Elemental_Stuff_Earring(Rare1-8)'
'320','iacca65','Elemental_Mild_Earring(Rare1-1)'
'321','iacca66','Elemental_Mild_Earring(Rare1-2)'
'322','iacca67','Elemental_Mild_Earring(Rare1-3)'
'323','iacca68','Elemental_Mild_Earring(Rare1-4)'
'324','iacca69','Elemental_Mild_Earring(Rare1-5)'
'325','iacca70','Elemental_Mild_Earring(Rare1-6)'
'326','iacca71','Elemental_Mild_Earring(Rare1-7)'
'327','iacca72','Elemental_Mild_Earring(Rare1-8)'
'328','iacca73','Elemental_Cus_Earring(Rare1-1)'
'329','iacca74','Elemental_Cus_Earring(Rare1-2)'
'330','iacca75','Elemental_Cus_Earring(Rare1-3)'
'331','iacca76','Elemental_Cus_Earring(Rare1-4)'
'332','iacca77','Elemental_Cus_Earring(Rare1-5)'
'333','iacca78','Elemental_Cus_Earring(Rare1-6)'
'334','iacca79','Elemental_Cus_Earring(Rare1-7)'
'335','iacca80','Elemental_Cus_Earring(Rare1-8)'
'336','iacca81','Elemental_Glow_Earring(Rare1-1)'
'337','iacca82','Elemental_Glow_Earring(Rare1-2)'
'338','iacca83','Elemental_Glow_Earring(Rare1-3)'
'339','iacca84','Elemental_Glow_Earring(Rare1-4)'
'340','iacca85','Elemental_Glow_Earring(Rare1-5)'
'341','iacca86','Elemental_Glow_Earring(Rare1-6)'
'342','iacca87','Elemental_Glow_Earring(Rare1-7)'
'343','iacca88','Elemental_Glow_Earring(Rare1-8)'
'344','iacca89','Elemental_Dan_EarringA(Rare1-1)'
'345','iacca90','Elemental_Dan_EarringB(Rare1-2)'
'346','iacca91','Elemental_Dan_EarringC(Rare1-3)'
'347','iacca92','Elemental_Dan_EarringD(Rare1-4)'
'348','iacca93','Elemental_Dan_EarringE(Rare1-5)'
'349','iacca94','Elemental_Dan_EarringF(Rare1-6)'
'350','iacca95','Elemental_Dan_EarringG(Rare1-7)'
'351','iacca96','Elemental_Dan_EarringH(Rare1-8)'
'352','iacca97','Cora_Earring97'
'353','iacca98','Cora_Earring98'
'354','iacca99','Cora_Earring99'
'355','iacpc01','[PC_Cafe_Only]_Amulet'
'356','iacpc02','[PC_Cafe_Only]_Amulet'
'357','iacpc03','[PC_Cafe_Only]_Amulet'
'358','iaccb04','Cora_Earring103'
'359','iaccb05','Cora_Earring104'
'360','iaccb06','Cora_Earring105'
'361','iaccb07','Cora_Earring106'
'362','iaccb08','Cora_Earring107'
'363','iaccb09','Cora_Earring108'
'364','iaccb10','Cora_Earring109'
'365','iaccb11','Cora_Earring110'
'366','iaccb12','Cora_Earring111'
'367','iaccb13','Cora_Earring112'
'368','iaccb14','Cora_Earring113'
'369','iaccb15','Cora_Earring114'
'370','iaccb16','Cora_Earring115'
'371','iaccb17','Cora_Earring116'
'372','iaccb18','Cora_Earring117'
'373','iaccb19','Cora_Earring118'
'374','iaccb20','Cora_Earring119'
'375','iaccb21','Cora_Earring120'
'376','iaccb22','Cora_Earring121'
'377','iaccb23','Cora_Earring122'
'378','iaccb24','Cora_Earring123'
'379','iaccb25','Cora_Earring124'
'380','iaccb26','Cora_Earring125'
'381','iaccb27','Cora_Earring126'
'382','iaccb28','Cora_Earring127'
'383','iaccb29','Cora_Earring128'
'384','iaccb30','Cora_Earring129'
'385','iaccb31','Cora_Earring130'
'386','iaccb32','Cora_Earring131'
'387','iaccb33','Cora_Earring132'
'388','iaccb34','Cora_Earring133'
'389','iaccb35','Cora_Earring134'
'390','iaccb36','Cora_Earring135'
'391','iaccb37','Cora_Earring136'
'392','iaccb38','Cora_Earring137'
'393','iaccb39','Cora_Earring138'
'394','iaccb40','Cora_Earring139'
'395','iaccb41','Cora_Earring140'
'396','iaccb42','Cora_Earring141'
'397','iaccb43','Cora_Earring142'
'398','iaccb44','Cora_Earring143'
'399','iaccb45','Cora_Earring144'
'400','iaccb46','Cora_Earring145'
'401','iaccb47','Cora_Earring146'
'402','iaccb48','Cora_Earring147'
'403','iaccb49','Cora_Earring148'
'404','iaccb50','Cora_Earring149'
'405','iaccb51','Cora_Earring150'
'406','iaccb52','Cora_Earring151'
'407','iaccb53','Cora_Earring152'
'408','iaccb54','Cora_Earring153'
'409','iaccb55','Cora_Earring154'
'410','iaccb56','Cora_Earring155'
'411','iaccb57','Cora_Earring156'
'412','iaccb58','Cora_Earring157'
'413','iaccb59','Cora_Earring158'
'414','iaccb60','Cora_Earring159'
'415','iaccb61','Cora_Earring160'
'416','iaccb62','Cora_Earring161'
'417','iaccb63','Cora_Earring162'
'418','iaccb64','Cora_Earring163'
'419','iaccb65','Cora_Earring164'
'420','iaccb66','Cora_Earring165'
'421','iaccb67','Cora_Earring166'
'422','iaccb68','Cora_Earring167'
'423','iaccb69','Cora_Earring168'
'424','iaccb70','Cora_Earring169'
'425','iaccb71','Cora_Earring170'
'426','iaccb72','Cora_Earring171'
'427','iaccb73','Cora_Earring172'
'428','iaccb74','Cora_Earring173'
'429','iaccb75','Cora_Earring174'
'430','iaccb76','Cora_Earring175'
'431','iaccb77','Cora_Earring176'
'432','iaccb78','Cora_Earring177'
'433','iaccb79','Cora_Earring178'
'434','iaccb80','Cora_Earring179'
'435','iaccb81','Cora_Earring180'
'436','iaccb82','Cora_Earring181'
'437','iaccb83','Cora_Earring182'
'438','iaccb84','Cora_Earring183'
'439','iaccb85','Cora_Earring184'
'440','iaccb86','Cora_Earring185'
'441','iaccb87','Cora_Earring186'
'442','iaccb88','Cora_Earring187'
'443','iaccb89','Cora_Earring188'
'444','iaccb90','Cora_Earring189'
'445','iaccb91','Cora_Earring190'
'446','iaccb92','Cora_Earring191'
'447','iaccb93','Cora_Earring192'
'448','iaccb94','Cora_Earring193'
'449','iaccb95','Cora_Earring194'
'450','iaccb96','Cora_Earring195'
'451','iaccb97','Cora_Earring196'
'452','iaccb98','Cora_Earring197'
'453','iaccb99','Cora_Earring198'
'454','iaccc01','Cora_Earring199'
'455','iaccc02','Cora_Earring200'
'456','iaccc03','Cora_Earring201'
'457','iaccc04','Cora_Earring202'
'458','iaccc05','Cora_Earring203'
'459','iaccc06','Cora_Earring204'
'460','iaccc07','Cora_Earring205'
'461','iaccc08','Cora_Earring206'
'462','iaccc09','Cora_Earring207'
'463','iaccc10','Cora_Earring208'
'464','iaccc11','Cora_Earring209'
'465','iaccc12','Cora_Earring210'
'466','iaccc13','Cora_Earring211'
'467','iaccc14','Cora_Earring212'
'468','iaccc15','Cora_Earring213'
'469','iaccc16','Cora_Earring214'
'470','iaccc17','Cora_Earring215'
'471','iaccc18','Cora_Earring216'
'472','iaccc19','Cora_Earring217'
'473','iaccc20','Cora_Earring218'
'474','iaccc21','Cora_Earring219'
'475','iaccc22','Cora_Earring220'
'476','iaccc23','Cora_Earring221'
'477','iaccc24','Cora_Earring222'
'478','iaccc25','Cora_Earring223'
'479','iaccc26','Cora_Earring224'
'480','iaccc27','Cora_Earring225'
'481','iaccc28','Cora_Earring226'
'482','iaccc29','Cora_Earring227'
'483','iaccc30','Cora_Earring228'
'484','iaccc31','Cora_Earring229'
'485','iaccc32','Cora_Earring230'
'486','iaccc33','Cora_Earring231'
'487','iaccc34','Cora_Earring232'
'488','iaccc35','Cora_Earring233'
'489','iaccc36','Cora_Earring234'
'490','iaccc37','Cora_Earring235'
'491','iaccc38','Cora_Earring236'
'492','iaccc39','Cora_Earring237'
'493','iaccc40','Cora_Earring238'
'494','iaccc41','Cora_Earring239'
'495','iaccc42','Cora_Earring240'
'496','iaccc43','Cora_Earring241'
'497','iaccc44','Cora_Earring242'
'498','iaccc45','Cora_Earring243'
'499','iaccc46','Cora_Earring244'
'500','iaccc47','Cora_Earring245'
'501','iaccc48','Cora_Earring246'
'502','iaccc49','Cora_Earring247'
'503','iaccc50','Cora_Earring248'
'504','iaccc51','Cora_Earring249'
'505','iaccc52','Cora_Earring250'
'506','iaccc53','Cora_Earring251'
'507','iaccc54','Cora_Earring252'
'508','iaccc55','Cora_Earring253'
'509','iaccc56','Cora_Earring254'
'510','iaccc57','Cora_Earring255'
'511','iaccc58','Cora_Earring256'
'512','iaaaa01','Fire_Normal_HeadsetA(1)'
'513','iaaaa02','Fire_Normal_HeadsetB(2)'
'514','iaaaa03','Fire_Normal_HeadsetC(3)'
'515','iaaaa04','Fire_Normal_HeadsetD(4)'
'516','iaaaa05','Fire_Normal_HeadsetE(5)'
'517','iaaaa06','Fire_Normal_HeadsetF(6)'
'518','iaaaa07','Fire_Normal_HeadsetG(7)'
'519','iaaaa08','Aqua_Normal_HeadsetA(1)'
'520','iaaaa09','Aqua_Normal_HeadsetB(2)'
'521','iaaaa10','Aqua_Normal_HeadsetC(3)'
'522','iaaaa11','Aqua_Normal_HeadsetD(4)'
'523','iaaaa12','Aqua_Normal_HeadsetE(5)'
'524','iaaaa13','Aqua_Normal_HeadsetF(6)'
'525','iaaaa14','Aqua_Normal_HeadsetG(7)'
'526','iaaaa15','Tera_Normal_HeadsetA(1)'
'527','iaaaa16','Tera_Normal_HeadsetB(2)'
'528','iaaaa17','Tera_Normal_HeadsetC(3)'
'529','iaaaa18','Tera_Normal_HeadsetD(4)'
'530','iaaaa19','Tera_Normal_HeadsetE(5)'
'531','iaaaa20','Tera_Normal_HeadsetF(6)'
'532','iaaaa21','Tera_Normal_HeadsetG(7)'
'533','iaaaa22','Wind_Normal_HeadsetA(1)'
'534','iaaaa23','Wind_Normal_HeadsetB(2)'
'535','iaaaa24','Wind_Normal_HeadsetC(3)'
'536','iaaaa25','Wind_Normal_HeadsetD(4)'
'537','iaaaa26','Wind_Normal_HeadsetE(5)'
'538','iaaaa27','Wind_Normal_HeadsetF(6)'
'539','iaaaa28','Wind_Normal_HeadsetG(7)'
'540','iaaaa29','Fire_Double_HeadsetA(1)'
'541','iaaaa30','Fire_Double_HeadsetB(2)'
'542','iaaaa31','Fire_Double_HeadsetC(3)'
'543','iaaaa32','Fire_Double_HeadsetD(4)'
'544','iaaaa33','Fire_Double_HeadsetE(5)'
'545','iaaaa34','Fire_Double_HeadsetF(6)'
'546','iaaaa35','Fire_Double_HeadsetG(7)'
'547','iaaaa36','Fire_Pliant_HeadsetA(1)'
'548','iaaaa37','Fire_Pliant_HeadsetB(2)'
'549','iaaaa38','Fire_Pliant_HeadsetC(3)'
'550','iaaaa39','Fire_Pliant_HeadsetD(4)'
'551','iaaaa40','Fire_Pliant_HeadsetE(5)'
'552','iaaaa41','Fire_Pliant_HeadsetF(6)'
'553','iaaaa42','Fire_Pliant_HeadsetG(7)'
'554','iaaaa43','Fire_Solid_HeadsetA(1)'
'555','iaaaa44','Fire_Solid_HeadsetB(2)'
'556','iaaaa45','Fire_Solid_HeadsetC(3)'
'557','iaaaa46','Fire_Solid_HeadsetD(4)'
'558','iaaaa47','Fire_Solid_HeadsetE(5)'
'559','iaaaa48','Fire_Solid_HeadsetF(6)'
'560','iaaaa49','Fire_Solid_HeadsetG(7)'
'561','iaaaa50','Aqua_Double_HeadsetA(1)'
'562','iaaaa51','Aqua_Double_HeadsetB(2)'
'563','iaaaa52','Aqua_Double_HeadsetC(3)'
'564','iaaaa53','Aqua_Double_HeadsetD(4)'
'565','iaaaa54','Aqua_Double_HeadsetE(5)'
'566','iaaaa55','Aqua_Double_HeadsetF(6)'
'567','iaaaa56','Aqua_Double_HeadsetG(7)'
'568','iaaaa57','Aqua_Pliant_HeadsetA(1)'
'569','iaaaa58','Aqua_Pliant_HeadsetB(2)'
'570','iaaaa59','Aqua_Pliant_HeadsetC(3)'
'571','iaaaa60','Aqua_Pliant_HeadsetD(4)'
'572','iaaaa61','Aqua_Pliant_HeadsetE(5)'
'573','iaaaa62','Aqua_Pliant_HeadsetF(6)'
'574','iaaaa63','Aqua_Pliant_HeadsetG(7)'
'575','iaaaa64','Tera_Double_HeadsetA(1)'
'576','iaaaa65','Tera_Double_HeadsetB(2)'
'577','iaaaa66','Tera_Double_HeadsetC(3)'
'578','iaaaa67','Tera_Double_HeadsetD(4)'
