'0','00000','Young_Flym(A)'
'158','03201','Snatcher_Bite(B)'
'159','03202','Snatcher_Bite(C)'
'160','03500','Snatcher_Horn(A)'
'161','03501','Snatcher_Horn(B)'
'162','03502','Snatcher_Horn(C)'
'163','03000','Crawler_Axle(A)'
'164','03001','Crawler_Axle(B)'
'165','03002','Crawler_Axle(C)'
'166','03100','Vafer_Mortar(A)'
'167','03101','Vafer_Mortar(B)'
'168','03102','Vafer_Mortar(C)'
'169','03400','Vafer_Brute(A)'
'170','03401','Vafer_Brute(B)'
'171','03402','Vafer_Brute(C)'
'172','03301','Heller(B)'
'173','03302','Heller(C)'
'174','047A1','Lazhuardian(Dun23)'
'175','03800','Elder_Lizard(A)'
'176','03801','Elder_Lizard(B)'
'177','03802','Elder_Lizard(C)'
'178','03B00','Armed_Ghost(A)'
'179','03B01','Armed_Ghost(B)'
'180','03B02','Armed_Ghost(C)'
'181','03600','Crawler_Maul(A)'
'182','03601','Crawler_Maul(B)'
'183','03602','Crawler_Maul(C)'
'184','03700','Clod(A)'
'185','03701','Clod(B)'
'186','03702','Clod(C)'
'187','03300','Heller(A)'
'188','0100C','Splinter_Guard(Splinter_Guard)'
'189','0110C','Snatcher_Cheat_Guard(Snatcher_Cheat_Guard)'
'190','048A1','Spell_Lazhuardian(Dun23)'
'191','03A00','Robust_Lava(A)'
'192','03A01','Robust_Lava(B)'
'193','03A02','Robust_Lava(C)'
'194','03900','Naiad_Heller(A)'
'195','03901','Naiad_Heller(B)'
'196','03902','Naiad_Heller(C)'
'197','0120C','Neo_WarBeast_Guard(Neo_WarBeast_Guard)'
'198','0130C','Bloc_Lunker_Guard(Bloc_Lunker_Guard)'
'199','0150C','Big_Ratmoth_Guard(Big_Ratmoth_Guard)'
'200','03C00','Grumble_Owl(A)'
'201','03C01','Grumble_Owl(B)'
'202','03C02','Grumble_Owl(C)'
'203','03E00','Meth_Sandworm(A)'
'204','03E01','Meth_Sandworm(B)'
'205','03E02','Meth_Sandworm(C)'
'206','0160C','Argol_Guard(Argol_Guard)'
'207','0170C','Vafer_Niffer_Guard(Guard)'
'208','046A2','Lazhuardian_Warrior(Dun45)'
'209','03D00','King_Twizer(A)'
'210','03D01','King_Twizer(B)'
'211','03D02','King_Twizer(C)'
'212','03F00','Queen_Crook(A)'
'213','03F01','Queen_Crook(B)'
'214','03F02','Queen_Crook(C)'
'215','04603','Lazhuardian_Warrior(D)'
'216','01A0C','Argolquich_Guard(Argolquich_Guard)'
'217','01D0C','Lava_Guard(Lava_Guard)'
'218','041A2','Brutal(Dun45)'
'219','04000','Anabola_Cyst(A)'
'220','04001','Anabola_Cyst(B)'
'221','04002','Anabola_Cyst(C)'
'222','04200','Mit_Clod(A)'
'223','04201','Mit_Clod(B)'
'224','04202','Mit_Clod(C)'
'225','0200C','Twizer_Guard(Twizer_Guard)'
'226','0240C','Grumble_Guard(Grumble_Guard)'
'227','0230C','Lizard_Guard(Lizard_Guard)'
'228','047A2','Lazhuardian(Dun45)'
'229','04100','Brutal(A)'
'230','04101','Brutal(B)'
'231','04102','Brutal(C)'
'232','01004','Splinter_Rex(Splinter_A_Boss)'
'233','01005','Splinter_Rex(Splinter_B_Boss)'
'234','01006','Splinter_Rex(Splinter_C_Boss)'
'235','01104','Rook_Snatcher(Snatcher_Cheat_A_Boss)'
'236','01105','Rook_Snatcher(Snatcher_Cheat_B_Boss)'
'237','01106','Rook_Snatcher(Snatcher_Cheat_C_Boss)'
'238','04703','Lazhuardian(D)'
'239','0220C','Vafer_Luther_Guard(Vafer_Luther_Guard)'
'240','01F0C','Gaf_Guard(Gaf_Guard)'
'241','0590B','Chuty(AceD)'
'242','048A2','SpelLazhuardian(Dun45)'
'243','01204','WarBeast_Kin(Neo_WarBeast_A_Boss)'
'244','01205','WarBeast_Kin(Neo_WarBeast_B_Boss)'
'245','01206','WarBeast_Kin(Neo_WarBeast_C_Boss)'
'246','01304','Vice_Bloc_Lunker(Bloc_Lunker_A_Boss)'
'247','01305','Vice_Bloc_Lunker(Bloc_Lunker_B_Boss)'
'248','01306','Vice_Bloc_Lunker(Bloc_Lunker_C_Boss)'
'249','01504','Frenzy_Ratmoth(A_Boss)'
'250','01505','Frenzy_Ratmoth(B_Boss)'
'251','01506','Frenzy_Ratmoth(C_Boss)'
'252','02C0C','Crook_Guard(Crook_Guard)'
'253','02D0C','Villain_Cannival_Guard(Guard)'
'254','04C0B','Hobo_Sword(AceD)'
'255','04D0B','Hobo_Might(AceD)'
'256','01604','Argol_Drone(Argol_A_Boss)'
'257','01605','Argol_Drone(Argol_B_Boss)'
'258','01606','Argol_Drone(Argol_C_Boss)'
'259','01704','Freak_Vafer_Niffer(A_Boss)'
'260','01705','Freak_Vafer_Niffer(B_Boss)'
'261','01706','Freak_Vafer_Niffer(C_Boss)'
'262','04803','SpelLazhuardian(D)'
'263','03F0C','Queen_Crook_Guard(Queen_Crook_Guard)'
'264','03D0C','King_Twizer_Guard(King_Twizer_Guard)'
'265','041A4','Mater_Brutal(Dun23_Boss)'
'266','04E0B','Draco(AceD)'
'267','01A04','Argol_Wasp(Argolquich_A_Boss)'
'268','01A05','Argol_Wasp(Argolquich_B_Boss)'
'269','01A06','Argol_Wasp(Argolquich_C_Boss)'
'270','01D04','Great_Lava(Lava_A_Boss)'
'271','01D05','Great_Lava(Lava_B_Boss)'
'272','01D06','Great_Lava(Lava_C_Boss)'
'273','0410C','Brutal_Guard(Brutal_Guard)'
'274','0420C','Mit_Clod_Guard(Mit_Clod_Guard)'
'275','04F0B','Hobo_Cutter(AceD)'
'276','0500B','Hobo_Turnpike(AceD)'
'277','04300','Crawler_Rex(A)'
'278','04301','Crawler_Rex(B)'
'279','04302','Crawler_Rex(C)'
'280','04400','Vafer_Rex(A)'
'281','04401','Vafer_Rex(B)'
'282','04402','Vafer_Rex(C)'
'283','04500','Snatcher_Rex(A)'
'284','04501','Snatcher_Rex(B)'
'285','04502','Snatcher_Rex(C)'
'286','02404','Fierce_Grumble(Grumble_A_Boss)'
'287','02405','Fierce_Grumble(Grumble_B_Boss)'
'288','02406','Fierce_Grumble(Grumble_C_Boss)'
'289','02004','Twizer_Rex(Twizer_A_Boss)'
'290','02005','Twizer_Rex(Twizer_B_Boss)'
'291','02006','Twizer_Rex(Twizer_C_Boss)'
'292','02304','Lizard_Khan(Lizard_A_Boss)'
'293','02305','Lizard_Khan(Lizard_B_Boss)'
'294','02306','Lizard_Khan(Lizard_C_Boss)'
'295','0430C','Crawler_Rex_Guard(Crawler_Rex_Guard)'
'296','0440C','Vafer_Rex_Guard(Vafer_Rex_Guard)'
'297','0450C','Snatcher_Rex_Guard(Snatcher_Rex_Guard)'
'298','0510B','Passer_Alpha(AceD)'
'299','01F04','GafMale(Gaf_A_Boss)'
'300','01F05','GafMale(Gaf_B_Boss)'
'301','01F06','GafMale(Gaf_C_Boss)'
'302','02204','RashVafer_Luther(Vafer_Luther_A_Boss)'
'303','02205','RashVafer_Luther(Vafer_Luther_B_Boss)'
'304','02206','RashVafer_Luther(Vafer_Luther_C_Boss)'
'305','0520B','Hobo_Blade(AceD)'
'306','0530B','Hobo_Rover(AceD)'
'307','02C04','King_Crook(Crook_A_Boss)'
'308','02C05','King_Crook(Crook_B_Boss)'
'309','02C06','King_Crook(Crook_C_Boss)'
'310','02D04','Rex_Cannival(Villain_Cannival_A_Boss)'
'311','02D05','Rex_Cannival(Villain_Cannival_B_Boss)'
'312','02D06','Rex_Cannival(Villain_Cannival_C_Boss)'
'313','0540B','Passer_Beta(AceD)'
'314','0550B','Drako_Konu(AceD)'
'315','03F04','Blood_Queen_Crook(Queen_Crook_A_Boss)'
'316','03F05','Blood_Queen_Crook(Queen_Crook_B_Boss)'
'317','03F06','Blood_Queen_Crook(Queen_Crook_C_Boss)'
'318','03D04','Blood_King_Twizer(King_Twizer_A_Boss)'
'319','03D05','Blood_King_Twizer(King_Twizer_B_Boss)'
'320','03D06','Blood_King_Twizer(King_Twizer_C_Boss)'
'321','041A5','Mater_Brutal(Dun45_Boss)'
'322','0560B','Caliana_Crew(AceD)'
'323','0570B','Caliana_Atrock(AceD)'
'324','0560C','Caliana_Crew(Caliana_Crew_Guard)'
'325','0570C','Caliana_Atrock(Caliana_Atrock_Guard)'
'326','04104','Brutal_Rex(Brutal_A_Boss)'
'327','04105','Brutal_Rex(Brutal_B_Boss)'
'328','04106','Brutal_Rex(Brutal_C_Boss)'
'329','04204','Heavy_Mit_Clod(Mit_Clod_A_Boss)'
'330','04205','Heavy_Mit_Clod(Mit_Clod_B_Boss)'
'331','04206','Heavy_Mit_Clod(Mit_Clod_C_Boss)'
'332','04304','Blood_Crawler_Rex(Crawler_Rex_A_Boss)'
'333','04305','Blood_Crawler_Rex(Crawler_Rex_B_Boss)'
'334','04306','Blood_Crawler_Rex(Crawler_Rex_C_Boss)'
'335','04404','Blood_Vafer_Rex(Vafer_Rex_A_Boss)'
'336','04405','Blood_Vafer_Rex(Vafer_Rex_B_Boss)'
'337','04406','Blood_Vafer_Rex(Vafer_Rex_C_Boss)'
'338','04504','Fierce_Snatcher_Rex(Snatcher_Rex_A_Boss)'
'339','04505','Fierce_Snatcher_Rex(Snatcher_Rex_B_Boss)'
'340','04506','Fierce_Snatcher_Rex(Snatcher_Rex_C_Boss)'
'341','05807','Caliana_Princess(Caliana_Princess_D_Boss)'
'342','04903','Holystone_Keeper(D)'
'343','05A0B','Volcanic_Demolith(AceD)'
'344','05B0B','Volcanic_Lava(AceD)'
'345','05C0B','Grave_Lapise(AceD)'
'346','05D0B','Volcanic_Grumble(AceD)'
'347','05E0B','Sizzler(AceD)'
'348','05F0B','Ash(AceD)'
'349','0600B','Thorn_Ash(AceD)'
'350','0610B','Blaze_Bloc(AceD)'
'351','06F0B','Archer(AceD)'
'352','0700B','Scout(AceD)'
'353','0710B','Desperado(AceD)'
'354','0720B','Caster(AceD)'
'355','0730B','Psyper(AceD)'
'356','0740B','Commando(AceD)'
'357','0750B','Sniper(AceD)'
'358','0760B','Champion(AceD)'
'359','0770B','Hunter(AceD)'
'360','0780B','Gunner(AceD)'
'361','0790B','Summoner(AceD)'
'362','07A0B','Destroyer(AceD)'
'363','07B0B','Miler(AceD)'
'364','07C0B','Chandra(AceD)'
'365','07D0B','Knights(AceD)'
'366','07E0B','Gladius(AceD)'
'367','07F0B','Turncoat_Archer(AceD)'
'368','0800B','Turncoat_Scout(AceD)'
'369','0810B','Turncoat_Desperado(AceD)'
'370','0820B','Turncoat_Caster(AceD)'
'371','0830B','Turncoat_Psyper(AceD)'
'372','0840B','Turncoat_Commando(AceD)'
'373','0850B','Turncoat_Sniper(AceD)'
'374','0860B','Turncoat_Champion(AceD)'
'375','0870B','Turncoat_Hunter(AceD)'
'376','0880B','Turncoat_Gunner(AceD)'
'377','0890B','Turncoat_Summoner(AceD)'
'378','08A0B','Turncoat_Destroyer(AceD)'
'379','08B0B','Turncoat_Miler(AceD)'
'380','08C0B','Turncoat_Chandra(AceD)'
'381','08D0B','Turncoat_Knight(AceD)'
'382','08E0B','Turncoat_Gladius(AceD)'
'383','09407','Baal_Hamon(D_Boss)'
'384','06E0C','Belphegor_Guard(Guard)'
'385','06D07','Belphegor(D_Boss)'
'386','06203','Arslot(D)'
'387','06303','Pray_Maul(D)'
'388','06403','Necro_Metal(D)'
'389','06503','Berload(D)'
'390','0661B','Boggie_Volt(AceD)'
'391','06703','Grave_Stone(D)'
'392','0680B','Blade_Pawn(AceD)'
'393','06903','Stone_Knight(D)'
'394','06A03','Stone_Bloc(D)'
'395','06B03','Hum_BaBa(D)'
'396','06C03','Kur(D)'
'397','06D03','Belphegor(D)'
'398','06E03','Belphegor_Guard(D)'
'399','08F03','Fire_Tower(D)'
'400','09003','Tower(D)'
'401','09103','Rajuil_Tower(D)'
'402','0920B','Assassin_BuilderA(AceD)'
'403','0930B','Assassin_BuilderB(AceD)'
'404','09403','Baal_Hamon(D)'
'405','09507','Bel(Bel_D_Boss)'
'406','0960C','Bel_Guard(Bel_Guard_Guard)'
'407','01508','Big_Ratmoth(AceA)'
'408','01509','Big_Ratmoth(AceB)'
'409','0150A','Big_Ratmoth(AceC)'
'410','01908','Cannival(AceA)'
'411','01909','Cannival(AceB)'
'412','0190A','Cannival(AceC)'
'413','01B08','Bulky_Lunker(AceA)'
'414','01B09','Bulky_Lunker(AceB)'
'415','01B0A','Bulky_Lunker(AceC)'
'416','01A08','Argolquich(AceA)'
'417','01A09','Argolquich(AceB)'
'418','01A0A','Argolquich(AceC)'
'419','02708','Ghost(AceA)'
'420','02709','Ghost(AceB)'
'421','0270A','Ghost(AceC)'
'422','02508','Rigor_Lapise(AceA)'
'423','02509','Rigor_Lapise(AceB)'
'424','0250A','Rigor_Lapise(AceC)'
'425','02608','Ops_Lava(AceA)'
'426','02609','Ops_Lava(AceB)'
'427','0260A','Ops_Lava(AceC)'
'428','02808','Grumble_Hook(AceA)'
'429','02809','Grumble_Hook(AceB)'
'430','0280A','Grumble_Hook(AceC)'
'431','03B08','Armed_Ghost(AceA)'
'432','03B09','Armed_Ghost(AceB)'
'433','03B0A','Armed_Ghost(AceC)'
'434','03A08','Robust_Lava(AceA)'
'435','03A09','Robust_Lava(AceB)'
'436','03A0A','Robust_Lava(AceC)'
'437','03908','Naiad_Heller(AceA)'
'438','03909','Naiad_Heller(AceB)'
'439','0390A','Naiad_Heller(AceC)'
'440','03E08','Meth_Sandworm(AceA)'
'441','03E09','Meth_Sandworm(AceB)'
'442','03E0A','Meth_Sandworm(AceC)'
'443','04008','Anabola_Cyst(AceA)'
'444','04009','Anabola_Cyst(AceB)'
'445','0400A','Anabola_Cyst(AceC)'
'446','04208','Mit_Clod(AceA)'
'447','04209','Mit_Clod(AceB)'
'448','0420A','Mit_Clod(AceC)'
'449','04108','Brutal(AceA)'
'450','04109','Brutal(AceB)'
'451','0410A','Brutal(AceC)'
'452','02A0C','Anabola_Guard(Anabola_Guard)'
'453','04004','Heavy_Anabola(Anabola_Cyst_A_Boss)'
'454','04005','Heavy_Anabola(Anabola_Cyst_B_Boss)'
'455','04006','Heavy_Anabola(Anabola_Cyst_C_Boss)'
'456','09704','Brath(Brath_A_Boss)'
'457','09705','Brath(Brath_B_Boss)'
'458','09706','Brath(Brath_C_Boss)'
'459','0970C','Brath_Guard(Brath_Guard)'
'460','04713','Small_Lazhuardian(Lazhuardian_(D)'
'461','01B0B','Bulky_Lunker(AceD)'
'462','09A04','Titi(A_Boss)'
'463','09A05','Titi(B_Boss)'
'464','09A06','Titi(C_Boss)'
'465','09804','Mati(A_Boss)'
'466','09805','Mati(B_Boss)'
'467','09806','Mati(C_Boss)'
'468','09B04','Coti(A_Boss)'
'469','09B05','Coti(B_Boss)'
'470','09B06','Coti(C_Boss)'
'471','09904','Wati(A_Boss)'
'472','09905','Wati(B_Boss)'
'473','09906','Wati(C_Boss)'
'474','09F0C','Cuty(Guard)'
'475','09F0C','Cuty(Guard)'
'476','09F0C','Cuty(Guard)'
'477','09D0C','Poty(Guard)'
'478','09D0C','Poty(Guard)'
'479','09D0C','Poty(Guard)'
'480','0A00C','Nuty(Guard)'
'481','0A00C','Nuty(Guard)'
'482','0A00C','Nuty(Guard)'
'483','09C0C','Toti(Guard)'
'484','09C0C','Toti(Guard)'
'485','09C0C','Toti(Guard)'
'486','0A10C','Shuty(Guard)'
'487','0A10C','Shuty(Guard)'
'488','0A10C','Shuty(Guard)'
'489','09E0C','Cati(Guard)'
'490','09E0C','Cati(Guard)'
'491','09E0C','Cati(Guard)'
'492','06F13','Archer(D+)'
'493','07013','Scouter(D+)'
'494','07113','Desperado(D+)'
'495','07213','Caster(D+)'
'496','07313','Psyper(D+)'
'497','07413','Commando(D+)'
'498','07513','Sniper(D+)'
'499','07613','Champion(D+)'
'500','07713','Hunter(D+)'
'501','07813','Gunner(D+)'
'502','07913','Summoner(D+)'
'503','07A13','Destroyer(D+)'
'504','07B13','Miler(D+)'
'505','07C13','Chandra(D+)'
'506','07D13','Knight(D+)'
'507','07E13','Gladius(D+)'
'508','0531B','Hobo_Sniper(AceD)'
'509','0A20B','Core_Holystone(AceD)'
'510','0A30B','Heart(AceD1)'
'511','0A40B','Two_Towers(AceD)'
'512','0A50B','Crystal_Box(AceD)'
'513','0A60B','Rod(AceD)'
'514','0A70B','Memoria_Gem(AceD1)'
'515','0910B','LaJuil_Tower(AceD)'
'516','0A90B','Bicone(AceD)'
'517','0AA0B','Soul_Brazier(AceD)'
'518','0A31B','Heart(AceD2)'
'519','0A32B','Heart(AceD3)'
'520','0A33B','Heart(AceD4)'
'521','0670B','Grave_Stone(AceD1)'
'522','0671B','Grave_Stone(AceD2)'
'523','0A71B','Memoria_Gem(AceD2)'
'524','0A72B','Memoria_Gem(AceD3)'
'525','0A73B','Memoria_Gem(AceD4)'
'526','09417','Baal_Hamon(Baal_Hamon_FakeDBoss)'
'527','0AB07','Rock_Jaw(Rock_Jaw_DBoss)'
'528','0AC07','Blink(Blink_DBoss)'
'529','0AD07','Soul_Sinder(Soul_Sinder_DBoss)'
'530','0AE07','Spyfus(DBoss)'
'531','0AF07','Taraven(DBoss)'
'532','0B007','Dagnue(DBoss)'
'533','0B107','Dagan(DBoss)'
'534','0B207','Dagon(DBoss)'
'535','0B30B','Calliana_Archer(AceD)'
'536','07503','Turncoat_Sniper(Champion_D)'
'537','08C1B','Turncoat_Wizard(AceD)'
'538','07F13','Turncoat_Adventurer(Champion_D)'
'539','0892B','Turncoat_Warlock(AceD)'
'540','08013','Turncoat_Dementor(Champion_D)'
'541','08B13','Turncoat_Shield_Miler(Elite_D)'
'542','08513','Turncoat_Sentinel(Champion_D)'
'543','08C3B','Turncoat_Astraler(AceD)'
'544','08D13','Turncoat_Black_Knights(Elite_D)'
'545','08713','Turncoat_Stealer(Champion_D)'
'546','0891B','Turncoat_Graser(AceD)'
'547','08E13','Turncoat_Mercenery(Elite_D)'
'548','08023','Turncoat_Phantom_Shadow(Champion_D)'
'549','08413','Turncoat_Armsman(Elite_D)'
'550','08113','Turncoat_Infiltrator(Champion_D)'
'551','08D23','Turncoat_Guardian(Elite_D)'
'552','08723','Turncoat_Assassin(Champion_D)'
'553','08A23','Turncoat_Assulter(Elite_D)'
'554','08813','Turncoat_Striker(Champion_D)'
'555','08423','Turncoat_Berserker(Elite_D)'
'556','0831B','Turncoat_HolyChandra(AceD)'
'557','08613','Turncoat_Templar(Elite_D)'
'558','0821B','Turncoat_Dark_Priest(AceD)'
'559','08A33','Tuncoat_Punisher(Elite_D)'
'560','04F1B','Hobo_Assassin(Ace_D)'
'561','0501B','Hobo_Trooper(Ace_D)'
'562','0511B','Passer_Gamma(AceD)'
'563','05213','Hobo_Defender(Champion_D)'
'564','0541B','Passer_Delta(AceD)'
'565','0B503','Scud(D)'
'566','0B603','Giant_Scud(Champion_D)'
'567','0B70B','Marsh_Scud(AceD)'
'568','0B803','Giant_Marsh_Scud(Elite_D)'
'569','06603','Boggie_Volt(Elite_D)'
'570','06A0B','Stone_Bloc(AceD)'
'571','0B403','Devistator(Champion_D)'
'572','05817','Calliana_Queen(CallianaPrincess_DBoss)'
'573','001A0','Wing(Dun01)'
'574','006A0','Heavy_Wing(Dun01)'
'575','000A0','Young_Flym(Dun01)'
'576','006A3','Dark_Heavy_Wing(HeavyWing_Dun01Boss)'
'577','011B0','Snatcher_Cheat(Dun01Old)'
'578','002A0','Flym(Dun01)'
'579','01EA0','Snatcher_Hurl(Dun01)'
'580','004A0','Flym_Guard(Dun01)'
'581','032A0','Snatcher_Bite(Dun01)'
'582','004A3','FlymChief(Flym_Guard_Dun01Boss)'
'583','0020C','FlymRex_Guard(Flym_Guard)'
'584','018A0','GafTail(Dun01)'
'585','024A0','Grumble(Dun01)'
'586','002A3','Flym_Rex(Flym_Dun01Boss)'
'587','01FA0','Gaf(Dun01)'
'588','028A0','Grumble_Hook(Dun01)'
'589','03CA0','Grumble_Aul(Dun01)'
'590','02EA0','Hue_Gaff(Dun01)'
'591','0280C','Fierce_Grumble_Guard(Guard)'
'592','05DA3','Mator_Grumble(Dun01Boss)'
'593','05AA0','Volcanic_Demolish(Dun01)'
'594','028A3','Fierce_Grumble_Hook(Dun01Boss)'
'595','05AA0','Volcanic_Demolish(Dun01)'
'596','00AA0','Splinter_Brat(Dun01)'
'597','016A0','Argol(Dun01)'
'598','02EA3','Mater_Hue_Gaff(Dun01Boss)'
'599','05BA0','Volcanic_Lava(Dun01)'
'600','010A0','Splinter(Dun01)'
'601','01AA0','Argolquich(Dun01)'
'602','05DA0','Volcanic_Grumble(Dun01)'
'603','041B0','Brutal(Dun01Old)'
'604','010AC','Splinter_Guardsnp'
'605','01DA0','Lava(Dun01)'
'606','017A0','Vafer_Nipper(Dun01)'
'607','023A0','Lizard(Dun01)'
'608','05AA3','Blood_Demolis(Dun01Boss)'
'609','00AA3','Mator_Splinter_Brat'
'610','021A0','Crawler_Bunch(Dun01)'
'611','022A0','Vafer_Ruder(Dun01)'
'612','05EA3','Sizzler_Rex(Dun01Boss)'
'613','038A0','Elder_Lizard(Dun01)'
'614','026A0','Ops_Lava(Dun01)'
'615','029A0','Crawler_Cast(Dun01)'
'616','03AA0','Robust_Lava(Dun01)'
'617','02FA0','Vafer_Sly(Dun01)'
'618','030A0','Crawler_Axle(Dun01)'
'619','034A0','Vafer_Barbar(Dun01)'
'620','010A3','Splinter_Rex(Dun01Boss)'
'621','038A3','Dark_Elder_Lizard(Dun01Boss)'
'622','036A3','Blood_Crawler_Maul(Dun01Boss)'
'623','02A0C','Anabola_Guard(Anabola_Guard)'
'624','03AA3','Great_Robust_Lava(Dun01Boss)'
'625','05FA0','Ash(Dun01)'
'626','02CA0','Crook(Dun01)'
'627','037A0','Clode(Dun01)'
'628','04DA0','Hobo_Might(Dun01)'
'629','04CA0','Hobo_Sword(Dun01)'
'630','023AC','Lizard_Kahn_Guard(Dun01Guard)'
'631','042A0','Meat_Clode(Dun01)'
'632','060A0','Thorn_Ash(Dun01)'
'633','020A0','Twiser(Dun01)'
'634','04FA0','Hobo_Cutter(Dun01)'
'635','050A0','Hobo_TurnPike(Dun01)'
'636','023A3','Lizard_Kahn(Dun01)'
