'0','iyyyy01','Cling'
'148','iyfft04','Leon_Sickle_Staff_Piece4(0)'
'149','iyfit01','Leon_Hora_Staff_Piece1(0)'
'150','iyfit02','Leon_Hora_Staff_Piece2(0)'
'151','iyfit03','Leon_Hora_Staff_Piece3(0)'
'152','iyfit04','Leon_Hora_Staff_Piece4(0)'
'153','iyfob01','Leon_Beam_Siege_Bow_Piece1(0)'
'154','iyfob02','Leon_Beam_Siege_Bow_Piece2(0)'
'155','iyfob03','Leon_Beam_Siege_Bow_Piece3(0)'
'156','iyfob04','Leon_Beam_Siege_Bow_Piece4(0)'
'157','iyffb01','Leon_Beam_Gun_Bow_Piece1(0)'
'158','iyffb02','Leon_Beam_Gun_Bow_Piece2(0)'
'159','iyffb03','Leon_Beam_Gun_Bow_Piece3(0)'
'160','iyffb04','Leon_Beam_Gun_Bow_Piece4(0)'
'161','iyfib01','Leon_Hora_Bow_Piece1(0)'
'162','iyfib02','Leon_Hora_Bow_Piece2(0)'
'163','iyfib03','Leon_Hora_Bow_Piece3(0)'
'164','iyfib04','Leon_Hora_Bow_Piece4(0)'
'165','iyfog01','Leon_Bolt_Rifle_Piece1(0)'
'166','iyfog02','Leon_Bolt_Rifle_Piece2(0)'
'167','iyfog03','Leon_Bolt_Rifle_Piece3(0)'
'168','iyfog04','Leon_Bolt_Rifle_Piece4(0)'
'169','iyffg01','Leon_Vulcan_Piece1(0)'
'170','iyffg02','Leon_Vulcan_Piece2(0)'
'171','iyffg03','Leon_Vulcan_Piece3(0)'
'172','iyffg04','Leon_Vulcan_Piece4(0)'
'173','iyfig01','Leon_Hora_Vulcan_Piece1(0)'
'174','iyfig02','Leon_Hora_Vulcan_Piece2(0)'
'175','iyfig03','Leon_Hora_Vulcan_Piece3(0)'
'176','iyfig04','Leon_Hora_Vulcan_Piece4(0)'
'177','iyfol01','Leon_Thrower_Piece1(0)'
'178','iyfol02','Leon_Thrower_Piece2(0)'
'179','iyfol03','Leon_Thrower_Piece3(0)'
'180','iyfol04','Leon_Thrower_Piece4(0)'
'181','iyffl01','Leon_Missile_Launcher_Piece1(0)'
'182','iyffl02','Leon_Missile_Launcher_Piece2(0)'
'183','iyffl03','Leon_Missile_Launcher_Piece3(0)'
'184','iyffl04','Leon_Missile_Launcher_Piece4(0)'
'185','iyfil01','Leon_Hora_Faust_Piece1(0)'
'186','iyfil02','Leon_Hora_Faust_Piece2(0)'
'187','iyfil03','Leon_Hora_Faust_Piece3(0)'
'188','iyfil04','Leon_Hora_Faust_Piece4(0)'
'189','iyfok11','Leon_Gun_Blade_Piece1(1)'
'190','iyfok12','Leon_Gun_Blade_Piece2(1)'
'191','iyfok13','Leon_Gun_Blade_Piece3(1)'
'192','iyfok14','Leon_Gun_Blade_Piece4(1)'
'193','iyffk11','Leon_Sickle_Knife_Piece1(1)'
'194','iyffk12','Leon_Sickle_Knife_Piece2(1)'
'195','iyffk13','Leon_Sickle_Knife_Piece3(1)'
'196','iyffk14','Leon_Sickle_Knife_Piece4(1)'
'197','iyfik11','Leon_Hora_Knife_Piece1(1)'
'198','iyfik12','Leon_Hora_Knife_Piece2(1)'
'199','iyfik13','Leon_Hora_Knife_Piece3(1)'
'200','iyfik14','Leon_Hora_Knife_Piece4(1)'
'201','iyfos11','Leon_Lance_Piece1(1)'
'202','iyfos12','Leon_Lance_Piece2(1)'
'203','iyfos13','Leon_Lance_Piece3(1)'
'204','iyfos14','Leon_Lance_Piece4(1)'
'205','iyffs11','Leon_Field_Lance_Piece1(1)'
'206','iyffs12','Leon_Field_Lance_Piece2(1)'
'207','iyffs13','Leon_Field_Lance_Piece3(1)'
'208','iyffs14','Leon_Field_Lance_Piece4(1)'
'209','iyfis11','Leon_Hora_Spear_Piece1(1)'
'210','iyfis12','Leon_Hora_Spear_Piece2(1)'
'211','iyfis13','Leon_Hora_Spear_Piece3(1)'
'212','iyfis14','Leon_Hora_Spear_Piece4(1)'
'213','iyfot11','Leon_Black_Stick_Bead_Piece1(1)'
'214','iyfot12','Leon_Black_Stick_Bead_Piece2(1)'
'215','iyfot13','Leon_Black_Stick_Bead_Piece3(1)'
'216','iyfot14','Leon_Black_Stick_Bead_Piece4(1)'
'217','iyfft11','Leon_Sickle_Staff_Piece1(1)'
'218','iyfft12','Leon_Sickle_Staff_Piece2(1)'
'219','iyfft13','Leon_Sickle_Staff_Piece3(1)'
'220','iyfft14','Leon_Sickle_Staff_Piece4(1)'
'221','iyfit11','Leon_Hora_Staff_Piece1(1)'
'222','iyfit12','Leon_Hora_Staff_Piece2(1)'
'223','iyfit13','Leon_Hora_Staff_Piece3(1)'
'224','iyfit14','Leon_Hora_Staff_Piece4(1)'
'225','iyfob11','Leon_Beam_Siege_Bow_Piece1(1)'
'226','iyfob12','Leon_Beam_Siege_Bow_Piece2(1)'
'227','iyfob13','Leon_Beam_Siege_Bow_Piece3(1)'
'228','iyfob14','Leon_Beam_Siege_Bow_Piece4(1)'
'229','iyffb11','Leon_Beam_Gun_Bow_Piece1(1)'
'230','iyffb12','Leon_Beam_Gun_Bow_Piece2(1)'
'231','iyffb13','Leon_Beam_Gun_Bow_Piece3(1)'
'232','iyffb14','Leon_Beam_Gun_Bow_Piece4(1)'
'233','iyfib11','Leon_Hora_Bow_Piece1(1)'
'234','iyfib12','Leon_Hora_Bow_Piece2(1)'
'235','iyfib13','Leon_Hora_Bow_Piece3(1)'
'236','iyfib14','Leon_Hora_Bow_Piece4(1)'
'237','iyfog11','Leon_Bolt_Rifle_Piece1(1)'
'238','iyfog12','Leon_Bolt_Rifle_Piece2(1)'
'239','iyfog13','Leon_Bolt_Rifle_Piece3(1)'
'240','iyfog14','Leon_Bolt_Rifle_Piece4(1)'
'241','iyffg11','Leon_Vulcan_Piece1(1)'
'242','iyffg12','Leon_Vulcan_Piece2(1)'
'243','iyffg13','Leon_Vulcan_Piece3(1)'
'244','iyffg14','Leon_Vulcan_Piece4(1)'
'245','iyfig11','Leon_Hora_Vulcan_Piece1(1)'
'246','iyfig12','Leon_Hora_Vulcan_Piece2(1)'
'247','iyfig13','Leon_Hora_Vulcan_Piece3(1)'
'248','iyfig14','Leon_Hora_Vulcan_Piece4(1)'
'249','iyfol11','Leon_Thrower_Piece1(1)'
'250','iyfol12','Leon_Thrower_Piece2(1)'
'251','iyfol13','Leon_Thrower_Piece3(1)'
'252','iyfol14','Leon_Thrower_Piece4(1)'
'253','iyffl11','Leon_Missile_Launcher_Piece1(1)'
'254','iyffl12','Leon_Missile_Launcher_Piece2(1)'
'255','iyffl13','Leon_Missile_Launcher_Piece3(1)'
'256','iyffl14','Leon_Missile_Launcher_Piece4(1)'
'257','iyfil11','Leon_Hora_Faust_Piece1(1)'
'258','iyfil12','Leon_Hora_Faust_Piece2(1)'
'259','iyfil13','Leon_Hora_Faust_Piece3(1)'
'260','iyfil14','Leon_Hora_Faust_Piece4(1)'
'261','iyfok21','Leon_Gun_Blade_Piece1(2)'
'262','iyfok22','Leon_Gun_Blade_Piece2(2)'
'263','iyfok23','Leon_Gun_Blade_Piece3(2)'
'264','iyfok24','Leon_Gun_Blade_Piece4(2)'
'265','iyffk21','Leon_Sickle_Knife_Piece1(2)'
'266','iyffk22','Leon_Sickle_Knife_Piece2(2)'
'267','iyffk23','Leon_Sickle_Knife_Piece3(2)'
'268','iyffk24','Leon_Sickle_Knife_Piece4(2)'
'269','iyfik21','Leon_Hora_Knife_Piece1(2)'
'270','iyfik22','Leon_Hora_Knife_Piece2(2)'
'271','iyfik23','Leon_Hora_Knife_Piece3(2)'
'272','iyfik24','Leon_Hora_Knife_Piece4(2)'
'273','iyfos21','Leon_Lance_Piece1(2)'
'274','iyfos22','Leon_Lance_Piece2(2)'
'275','iyfos23','Leon_Lance_Piece3(2)'
'276','iyfos24','Leon_Lance_Piece4(2)'
'277','iyffs21','Leon_Field_Lance_Piece1(2)'
'278','iyffs22','Leon_Field_Lance_Piece2(2)'
'279','iyffs23','Leon_Field_Lance_Piece3(2)'
'280','iyffs24','Leon_Field_Lance_Piece4(2)'
'281','iyfis21','Leon_Hora_Spear_Piece1(2)'
'282','iyfis22','Leon_Hora_Spear_Piece2(2)'
'283','iyfis23','Leon_Hora_Spear_Piece3(2)'
'284','iyfis24','Leon_Hora_Spear_Piece4(2)'
'285','iyfot21','Leon_Black_Stick_Bead_Piece1(2)'
'286','iyfot22','Leon_Black_Stick_Bead_Piece2(2)'
'287','iyfot23','Leon_Black_Stick_Bead_Piece3(2)'
'288','iyfot24','Leon_Black_Stick_Bead_Piece4(2)'
'289','iyfft21','Leon_Sickle_Staff_Piece1(2)'
'290','iyfft22','Leon_Sickle_Staff_Piece2(2)'
'291','iyfft23','Leon_Sickle_Staff_Piece3(2)'
'292','iyfft24','Leon_Sickle_Staff_Piece4(2)'
'293','iyfit21','Leon_Hora_Staff_Piece1(2)'
'294','iyfit22','Leon_Hora_Staff_Piece2(2)'
'295','iyfit23','Leon_Hora_Staff_Piece3(2)'
'296','iyfit24','Leon_Hora_Staff_Piece4(2)'
'297','iyfob21','Leon_Beam_Siege_Bow_Piece1(2)'
'298','iyfob22','Leon_Beam_Siege_Bow_Piece2(2)'
'299','iyfob23','Leon_Beam_Siege_Bow_Piece3(2)'
'300','iyfob24','Leon_Beam_Siege_Bow_Piece4(2)'
'301','iyffb21','Leon_Beam_Gun_Bow_Piece1(2)'
'302','iyffb22','Leon_Beam_Gun_Bow_Piece2(2)'
'303','iyffb23','Leon_Beam_Gun_Bow_Piece3(2)'
'304','iyffb24','Leon_Beam_Gun_Bow_Piece4(2)'
'305','iyfib21','Leon_Hora_Bow_Piece1(2)'
'306','iyfib22','Leon_Hora_Bow_Piece2(2)'
'307','iyfib23','Leon_Hora_Bow_Piece3(2)'
'308','iyfib24','Leon_Hora_Bow_Piece4(2)'
'309','iyfog21','Leon_Bolt_Rifle_Piece1(2)'
'310','iyfog22','Leon_Bolt_Rifle_Piece2(2)'
'311','iyfog23','Leon_Bolt_Rifle_Piece3(2)'
'312','iyfog24','Leon_Bolt_Rifle_Piece4(2)'
'313','iyffg21','Leon_Vulcan_Piece1(2)'
'314','iyffg22','Leon_Vulcan_Piece2(2)'
'315','iyffg23','Leon_Vulcan_Piece3(2)'
'316','iyffg24','Leon_Vulcan_Piece4(2)'
'317','iyfig21','Leon_Hora_Vulcan_Piece1(2)'
'318','iyfig22','Leon_Hora_Vulcan_Piece2(2)'
'319','iyfig23','Leon_Hora_Vulcan_Piece3(2)'
'320','iyfig24','Leon_Hora_Vulcan_Piece4(2)'
'321','iyfol21','Leon_Thrower_Piece1(2)'
'322','iyfol22','Leon_Thrower_Piece2(2)'
'323','iyfol23','Leon_Thrower_Piece3(2)'
'324','iyfol24','Leon_Thrower_Piece4(2)'
'325','iyffl21','Leon_Missile_Launcher_Piece1(2)'
'326','iyffl22','Leon_Missile_Launcher_Piece2(2)'
'327','iyffl23','Leon_Missile_Launcher_Piece3(2)'
'328','iyffl24','Leon_Missile_Launcher_Piece4(2)'
'329','iyfil21','Leon_Hora_Faust_Piece1(2)'
'330','iyfil22','Leon_Hora_Faust_Piece2(2)'
'331','iyfil23','Leon_Hora_Faust_Piece3(2)'
'332','iyfil24','Leon_Hora_Faust_Piece4(2)'
'333','iyset01','Perdion_Helmet_Gilded_Stone<A>(1)'
'334','iyset02','Perdion_Helmet_Magical_Stone<B>(2)'
'335','iyset03','Perdion_Helmet_Abradant<C>(3)'
'336','iyset04','Perdion_Helmet_Recipe<D>(4)'
'337','iyset05','Perdion_Shirts_Gilded_Stone<A>(1)'
'338','iyset06','Perdion_Shirts_Magical_Stone<B>(2)'
'339','iyset07','Perdion_Shirts_Abradant<C>(3)'
'340','iyset08','Perdion_Shirts_Recipe<D>(4)'
'341','iyset09','Perdion_Pants_Gilded_Stone<A>(1)'
'342','iyset10','Perdion_Pants_Magical_Stone<B>(2)'
'343','iyset11','Perdion_Pants_Abradant<C>(3)'
'344','iyset12','Perdion_Pants_Recipe<D>(4)'
'345','iyset13','Perdion_Gloves_Gilded_Stone<A>(1)'
'346','iyset14','Perdion_Gloves_Magical_Stone<B>(2)'
'347','iyset15','Perdion_Gloves_Abradant<C>(3)'
'348','iyset16','Perdion_Gloves_Recipe<D>(4)'
'349','iyset17','Perdion_Shoes_Gilded_Stone<A>(1)'
'350','iyset18','Perdion_Shoes_Magical_Stone<B>(2)'
'351','iyset19','Perdion_Shoes_Abradant<C>(3)'
'352','iyset20','Perdion_Shoes_Recipe<D>(4)'
'353','iyset21','Perdion_Accessories_Gilded_Stone<A>(1)'
'354','iyset22','Perdion_Accessories_Magical_Stone<B>(2)'
'355','iyset23','Perdion_Accessories_Abradant<C>(3)'
'356','iyset24','Perdion_Accessories_Recipe<D>(4)'
'357','iyset25','Uniform_Gilded_Stone<A>(1)'
'358','iyset26','Uniform_Magical_Stone<B>(2)'
'359','iyset27','Uniform_Abradant<C>(3)'
'360','iyset28','Uniform_Recipe<D>(4)'
'361','iygem01','Rare_Ore(1)'
'362','iygem02','Desirable_Crafted_Ore(2)'
'363','iygem03','Glowing_Crafted_Ore(3)'
'364','iygem04','Sparkling_Gem(4)'
'365','iyhol01','Holymental_Scanner'
'366','iycsa01','3~4Ignorance_Upgrader[B-Class]'
'367','iycsa02','3~5Ignorance_Upgrader[B-Class]'
'368','iycsa03','4~6Ignorance_Upgrader[B-Class]'
'369','iycsa04','3~7Ignorance_Upgrader[B-Class]'
'370','iycsa05','4~7Ignorance_Upgrader[B-Class]'
'371','iycsa06','5~7Ignorance_Upgrader[B-Class]'
'372','iycsa07','3~4Ignorance_Upgrader[C-Class]'
'373','iycsa08','3~5Ignorance_Upgrader[C-Class]'
'374','iycsa09','4~6Ignorance_Upgrader[C-Class]'
'375','iycsa10','3~7Ignorance_Upgrader[C-Class]'
'376','iycsa11','4~7Ignorance_Upgrader[C-Class]'
'377','iycsa12','5~7Ignorance_Upgrader[C-Class]'
'378','iycsa13','Lucky_Set_of_Gem_Exchanger'
'379','iyhst01','4_Dimensional_Metal[Helmet_item]'
'380','iyhst02','Helmet_Plated_Stone_Recipe<A>'
'381','iyhst03','Helmet_Plated_Stone_Recipe<B>'
'382','iyhst04','Helmet_Plated_Stone_Recipe<C>'
'383','iyhst05','4_Dimensional_Magic_Ore[Helmet_Item]'
'384','iyhst06','Helmet_Magic_Stone_Recipe<A>'
'385','iyhst07','Helmet_Magic_Stone_Recipe<B>'
'386','iyhst08','Helmet_Magic_Stone_Recipe<C>'
'387','iyhst09','4_Dimensional_Basalt[Helmet_Item]'
'388','iyhst10','Helmet_Abradant_Recipe<A>'
'389','iyhst11','Helmet_Abradant_Recipe<B>'
'390','iyhst12','Helmet_Abradant_Recipe<C>'
'391','iyust01','4_Dimensional_Steel[Upper_Item]'
'392','iyust02','Upper_Item_Plated_Stone_Recipe<A>'
'393','iyust03','Upper_Item_Plated_Stone_Recipe<B>'
'394','iyust04','Upper_Item_Plated_Stone_Recipe<C>'
'395','iyust05','4_Dimensional_Magic_Ore[Upper_Item]'
'396','iyust06','Upper_Item_Magic_Stone_Recipe<A>'
'397','iyust07','Upper_Item_Magic_Stone_Recipe<B>'
'398','iyust08','Upper_Item_Magic_Stone_Recipe<C>'
'399','iyust09','4_Dimensional_Basalt[Upper_Item]'
'400','iyust10','Upper_Item_Abradant_Recipe<A>'
'401','iyust11','Upper_Item_Abradant_Recipe<B>'
'402','iyust12','Upper_Item_Abradant_Recipe<C>'
'403','iylst01','4_Dimensional_Steel[Lower_Item]'
'404','iylst02','Lower_Item_Plated_Stone_Recipe<A>'
'405','iylst03','Lower_Item_Plated_Stone_Recipe<B>'
'406','iylst04','Lower_Item_Plated_Stone_Recipe<C>'
'407','iylst05','4_Dimensional_Magic_Ore[Lower_Item]'
'408','iylst06','Lower_Item_Magic_Stone_Recipe<A>'
'409','iylst07','Lower_Item_Magic_Stone_Recipe<B>'
'410','iylst08','Lower_Item_Magic_Stone_Recipe<C>'
'411','iylst09','4_Dimensional_Basalt[Lower_Item]'
'412','iylst10','Lower_Item_Abradant_Recipe<A>'
'413','iylst11','Lower_Item_Abradant_Recipe<B>'
'414','iylst12','Lower_Item_Abradant_Recipe<C>'
'415','iygst01','4_Dimensional_Steel[Gauntlet_item]'
'416','iygst02','Gauntlet_Plated_Stone_Recipe<A>'
'417','iygst03','Gauntlet_Plated_Stone_Recipe<B>'
'418','iygst04','Gauntlet_Plated_Stone_Recipe<C>'
'419','iygst05','4_Dimensional_Magic_Ore[Gauntlet_item]'
'420','iygst06','Gauntlet_Magic_Stone_Recipe<A>'
'421','iygst07','Gauntlet_Magic_Stone_Recipe<B>'
'422','iygst08','Gauntlet_Magic_Stone_Recipe<C>'
'423','iygst09','4_Dimensional_Basalt[Gauntlet_item]'
'424','iygst10','Gauntlet_Abradant_Recipe<A>'
'425','iygst11','Gauntlet_Abradant_Recipe<B>'
'426','iygst12','Gauntlet_Abradant_Recipe<C>'
'427','iysst01','4_Dimensional_Steel[Shoe_item]'
'428','iysst02','Shoe_Plated_Stone_Recipe<A>'
'429','iysst03','Shoe_Plated_Stone_Recipe<B>'
'430','iysst04','Shoe_Plated_Stone_Recipe<C>'
'431','iysst05','4_Dimensional_Magic_Ore[Shoe_item]'
'432','iysst06','Shoe_Magic_Stone_Recipe<A>'
'433','iysst07','Shoe_Magic_Stone_Recipe<B>'
'434','iysst08','Shoe_Magic_Stone_Recipe<C>'
'435','iysst09','4_Dimensional_Basalt[Shoe_item]'
'436','iysst10','Shoe_Abradant_Recipe<A>'
'437','iysst11','Shoe_Abradant_Recipe<B>'
'438','iysst12','Shoe_Abradant_Recipe<C>'
'439','iyast01','4_Dimensional_Steel[Accesory_item]'
'440','iyast02','Accesory_Plated_Stone_Recipe<A>'
'441','iyast03','Accesory_Plated_Stone_Recipe<B>'
'442','iyast04','Accesory_Plated_Stone_Recipe<C>'
'443','iyast05','4_Dimensional_Magic_Ore[Accesory_item]'
'444','iyast06','Accesory_Magic_Stone_Recipe<A>'
'445','iyast07','Accesory_Magic_Stone_Recipe<B>'
'446','iyast08','Accesory_Magic_Stone_Recipe<C>'
'447','iyast09','4_Dimensional_Basalt[Accesory_item]'
'448','iyast10','Accesory_Abradant_Recipe<A>'
'449','iyast11','Accesory_Abradant_Recipe<B>'
'450','iyast12','Accesory_Abradant_Recipe<C>'
'451','iycjh01','Indurance_Armor_Ability'
'452','iycjh02','Fine_Armor_Ability'
'453','iycjh03','Strong_Armor_Ability'
'454','iycjh04','Solid_Armor_Ability'
'455','iycjh05','Strength_Armor_Ability'
'456','iycjh06','Advanced_Strength_Armor_Ability'
'457','iycjh07','Vampire_Armor_Ability'
'458','iycjh08','Guardian_Armor_Ability'
'459','iycjh09','Sharp_Armor_Ability'
'460','iycjh10','Grand_Armor_Ability'
'461','iycjh11','Anti-Sharp_Armor_Ability'
'462','iycjh12','Saving_Armor_Ability'
'463','iycjh13','Protection_Armor_Ability'
'464','iycsa14','Unstable_Helmet3~4_Grace_Upgrader[B]'
'465','iycsa15','Unstable_Upper_Item3~4_Grace_Upgrader[B]'
'466','iycsa16','Unstable_Lower_Item3~4_Grace_Upgrader[B]'
'467','iycsa17','Unstable_Gauntlet3~4_Grace_Upgrader[B]'
'468','iycsa18','Unstable_Shoe3~4_Grace_Upgrader[B]'
'469','iycsa19','Unstable_Helmet3~5_Grace_Upgrader[B]'
'470','iycsa20','Unstable_Upper_Item3~5_Grace_Upgrader[B]'
'471','iycsa21','Unstable_Lower_Item3~5_Grace_Upgrader[B]'
'472','iycsa22','Unstable_Gauntlet3~5_Grace_Upgrader[B]'
'473','iycsa23','Unstable_Shoe3~5_Grace_Upgrader[B]'
'474','iycsa24','Unstable_Helmet4~6_Grace_Upgrader[B]'
'475','iycsa25','Unstable_Upper_Item4~6_Grace_Upgrader[B]'
'476','iycsa26','Unstable_Lower_Item4~6_Grace_Upgrader[B]'
'477','iycsa27','Unstable_Gauntlet4~6_Grace_Upgrader[B]'
'478','iycsa28','Unstable_Shoe4~6_Grace_Upgrader[B]'
'479','iycsa29','Unstable_Helmet3~7_Grace_Upgrader[B]'
'480','iycsa30','Unstable_Upper_Item3~7_Grace_Upgrader[B]'
'481','iycsa31','Unstable_Lower_Item3~7_Grace_Upgrader[B]'
'482','iycsa32','Unstable_Gauntlet3~7_Grace_Upgrader[B]'
'483','iycsa33','Unstable_Shoe3~7_Grace_Upgrader[B]'
'484','iycsa34','Unstable_Helmet4~7_Grace_Upgrader[B]'
'485','iycsa35','Unstable_Upper_Item4~7_Grace_Upgrader[B]'
'486','iycsa36','Unstable_Lower_Item4~7_Grace_Upgrader[B]'
'487','iycsa37','Unstable_Gauntlet4~7_Grace_Upgrader[B]'
'488','iycsa38','Unstable_Shoe4~7_Grace_Upgrader[B]'
'489','iycsa39','Unstable_Helmet5~7_Grace_Upgrader[B]'
'490','iycsa40','Unstable_Upper_Item5~7_Grace_Upgrader[B]'
'491','iycsa41','Unstable_Lower_Item5~7_Grace_Upgrader[B]'
