'0','iibba01','Fire_Parsal_WristletA(1)'
'275','iicca20','Tera_Stuff_ArmletF(6)'
'276','iicca21','Tera_Stuff_ArmletG(7)'
'277','iicca22','Wind_Stuff_ArmletA(1)'
'278','iicca23','Wind_Stuff_ArmletB(2)'
'279','iicca24','Wind_Stuff_ArmletC(3)'
'280','iicca25','Wind_Stuff_ArmletD(4)'
'281','iicca26','Wind_Stuff_ArmletE(5)'
'282','iicca27','Wind_Stuff_ArmletF(6)'
'283','iicca28','Wind_Stuff_ArmletG(7)'
'284','iicca29','Aqua_Mild_ArmletA(1)'
'285','iicca30','Aqua_Mild_ArmletB(2)'
'286','iicca31','Aqua_Mild_ArmletC(3)'
'287','iicca32','Aqua_Mild_ArmletD(4)'
'288','iicca33','Aqua_Mild_ArmletE(5)'
'289','iicca34','Aqua_Mild_ArmletF(6)'
'290','iicca35','Aqua_Mild_ArmletG(7)'
'291','iicca36','Tera_Cus_ArmletA(1)'
'292','iicca37','Tera_Cus_ArmletB(2)'
'293','iicca38','Tera_Cus_ArmletC(3)'
'294','iicca39','Tera_Cus_ArmletD(4)'
'295','iicca40','Tera_Cus_ArmletE(5)'
'296','iicca41','Tera_Cus_ArmletF(6)'
'297','iicca42','Tera_Cus_ArmletG(7)'
'298','iicca43','Aqua_Cus_ArmletA(1)'
'299','iicca44','Aqua_Cus_ArmletB(2)'
'300','iicca45','Aqua_Cus_ArmletC(3)'
'301','iicca46','Aqua_Cus_ArmletD(4)'
'302','iicca47','Aqua_Cus_ArmletE(5)'
'303','iicca48','Aqua_Cus_ArmletF(6)'
'304','iicca49','Aqua_Cus_ArmletG(7)'
'305','iicca50','Wind_Cus_ArmletA(1)'
'306','iicca51','Wind_Cus_ArmletB(2)'
'307','iicca52','Wind_Cus_ArmletC(3)'
'308','iicca53','Wind_Cus_ArmletD(4)'
'309','iicca54','Wind_Cus_ArmletE(5)'
'310','iicca55','Wind_Cus_ArmletF(6)'
'311','iicca56','Wind_Cus_ArmletG(7)'
'312','iicca57','Fire_Cus_ArmletA(1)'
'313','iicca58','Fire_Cus_ArmletB(2)'
'314','iicca59','Fire_Cus_ArmletC(3)'
'315','iicca60','Fire_Cus_ArmletD(4)'
'316','iicca61','Fire_Cus_ArmletE(5)'
'317','iicca62','Fire_Cus_ArmletF(6)'
'318','iicca63','Fire_Cus_ArmletG(7)'
'319','iicca64','Fire_Glow_ArmletA(1)'
'320','iicca65','Fire_Glow_ArmletB(2)'
'321','iicca66','Fire_Glow_ArmletC(3)'
'322','iicca67','Fire_Glow_ArmletD(4)'
'323','iicca68','Fire_Glow_ArmletE(5)'
'324','iicca69','Fire_Glow_ArmletF(6)'
'325','iicca70','Fire_Glow_ArmletG(7)'
'326','iicca71','Aqua_Glow_ArmletA(1)'
'327','iicca72','Aqua_Glow_ArmletB(2)'
'328','iicca73','Aqua_Glow_ArmletC(3)'
'329','iicca74','Aqua_Glow_ArmletD(4)'
'330','iicca75','Aqua_Glow_ArmletE(5)'
'331','iicca76','Aqua_Glow_ArmletF(6)'
'332','iicca77','Aqua_Glow_ArmletG(7)'
'333','iicca78','Elemental_Stuff_Armlet(Rare1-1)'
'334','iicca79','Elemental_Stuff_Armlet(Rare1-2)'
'335','iicca80','Elemental_Stuff_Armlet(Rare1-3)'
'336','iicca81','Elemental_Stuff_Armlet(Rare1-4)'
'337','iicca82','Elemental_Stuff_Armlet(Rare1-5)'
'338','iicca83','Elemental_Stuff_Armlet(Rare1-6)'
'339','iicca84','Elemental_Stuff_Armlet(Rare1-7)'
'340','iicca85','Elemental_Stuff_Armlet(Rare1-8)'
'341','iicca86','Elemental_Mild_Armlet(Rare1-1)'
'342','iicca87','Elemental_Mild_Armlet(Rare1-2)'
'343','iicca88','Elemental_Mild_Armlet(Rare1-3)'
'344','iicca89','Elemental_Mild_Armlet(Rare1-4)'
'345','iicca90','Elemental_Mild_Armlet(Rare1-5)'
'346','iicca91','Elemental_Mild_Armlet(Rare1-6)'
'347','iicca92','Elemental_Mild_Armlet(Rare1-7)'
'348','iicca93','Elemental_Mild_Armlet(Rare1-8)'
'349','iicca94','Elemental_Cus_Armlet(Rare1-1)'
'350','iicca95','Elemental_Cus_Armlet(Rare1-2)'
'351','iicca96','Elemental_Cus_Armlet(Rare1-3)'
'352','iicca97','Elemental_Cus_Armlet(Rare1-4)'
'353','iicca98','Elemental_Cus_Armlet(Rare1-5)'
'354','iicca99','Elemental_Cus_Armlet(Rare1-6)'
'355','iiccb01','Elemental_Cus_Armlet(Rare1-7)'
'356','iiccb02','Elemental_Cus_Armlet(Rare1-8)'
'357','iiccb03','Elemental_Glow_Armlet(Rare1-1)'
'358','iiccb04','Elemental_Glow_Armlet(Rare1-2)'
'359','iiccb05','Elemental_Glow_Armlet(Rare1-3)'
'360','iiccb06','Elemental_Glow_Armlet(Rare1-4)'
'361','iiccb07','Elemental_Glow_Armlet(Rare1-5)'
'362','iiccb08','Elemental_Glow_Armlet(Rare1-6)'
'363','iiccb09','Elemental_Glow_Armlet(Rare1-7)'
'364','iiccb10','Elemental_Glow_Armlet(Rare1-8)'
'365','iiccb11','Elemental_Dan_ArmletA(Rare1-1)'
'366','iiccb12','Elemental_Dan_ArmletB(Rare1-2)'
'367','iiccb13','Elemental_Dan_ArmletC(Rare1-3)'
'368','iiccb14','Elemental_Dan_ArmletD(Rare1-4)'
'369','iiccb15','Elemental_Dan_ArmletE(Rare1-5)'
'370','iiccb16','Elemental_Dan_ArmletF(Rare1-6)'
'371','iiccb17','Elemental_Dan_ArmletG(Rare1-7)'
'372','iicpc01','Cafe_Only_Ring'
'373','iicpc02','Cafe_Only_Ring'
'374','iicpc03','Cafe_Only_Ring'
'375','iiccb21','Cora_Armlet120'
'376','iiccb22','Cora_Armlet121'
'377','iiccb23','Cora_Armlet122'
'378','iiccb24','Cora_Armlet123'
'379','iiccb25','Cora_Armlet124'
'380','iiccb26','Cora_Armlet125'
'381','iiccb27','Cora_Armlet126'
'382','iiccb28','Cora_Armlet127'
'383','iiccb29','Cora_Armlet128'
'384','iiccb30','Cora_Armlet129'
'385','iiccb31','Cora_Armlet130'
'386','iiccb32','Cora_Armlet131'
'387','iiccb33','Cora_Armlet132'
'388','iiccb34','Cora_Armlet133'
'389','iiccb35','Cora_Armlet134'
'390','iiccb36','Cora_Armlet135'
'391','iiccb37','Cora_Armlet136'
'392','iiccb38','Cora_Armlet137'
'393','iiccb39','Cora_Armlet138'
'394','iiccb40','Cora_Armlet139'
'395','iiccb41','Cora_Armlet140'
'396','iiccb42','Cora_Armlet141'
'397','iiccb43','Cora_Armlet142'
'398','iiccb44','Cora_Armlet143'
'399','iiccb45','Cora_Armlet144'
'400','iiccb46','Cora_Armlet145'
'401','iiccb47','Cora_Armlet146'
'402','iiccb48','Cora_Armlet147'
'403','iiccb49','Cora_Armlet148'
'404','iiccb50','Cora_Armlet149'
'405','iiccb51','Cora_Armlet150'
'406','iiccb52','Cora_Armlet151'
'407','iiccb53','Cora_Armlet152'
'408','iiccb54','Cora_Armlet153'
'409','iiccb55','Cora_Armlet154'
'410','iiccb56','Cora_Armlet155'
'411','iiccb57','Cora_Armlet156'
'412','iiccb58','Cora_Armlet157'
'413','iiccb59','Cora_Armlet158'
'414','iiccb60','Cora_Armlet159'
'415','iiccb61','Cora_Armlet160'
'416','iiccb62','Cora_Armlet161'
'417','iiccb63','Cora_Armlet162'
'418','iiccb64','Cora_Armlet163'
'419','iiccb65','Cora_Armlet164'
'420','iiccb66','Cora_Armlet165'
'421','iiccb67','Cora_Armlet166'
'422','iiccb68','Cora_Armlet167'
'423','iiccb69','Cora_Armlet168'
'424','iiccb70','Cora_Armlet169'
'425','iiccb71','Cora_Armlet170'
'426','iiccb72','Cora_Armlet171'
'427','iiccb73','Cora_Armlet172'
'428','iiccb74','Cora_Armlet173'
'429','iiccb75','Cora_Armlet174'
'430','iiccb76','Cora_Armlet175'
'431','iiccb77','Cora_Armlet176'
'432','iiccb78','Cora_Armlet177'
'433','iiccb79','Cora_Armlet178'
'434','iiccb80','Cora_Armlet179'
'435','iiccb81','Cora_Armlet180'
'436','iiccb82','Cora_Armlet181'
'437','iiccb83','Cora_Armlet182'
'438','iiccb84','Cora_Armlet183'
'439','iiccb85','Cora_Armlet184'
'440','iiccb86','Cora_Armlet185'
'441','iiccb87','Cora_Armlet186'
'442','iiccb88','Cora_Armlet187'
'443','iiccb89','Cora_Armlet188'
'444','iiccb90','Cora_Armlet189'
'445','iiccb91','Cora_Armlet190'
'446','iiccb92','Cora_Armlet191'
'447','iiccb93','Cora_Armlet192'
'448','iiccb94','Cora_Armlet193'
'449','iiccb95','Cora_Armlet194'
'450','iiccb96','Cora_Armlet195'
'451','iiccb97','Cora_Armlet196'
'452','iiccb98','Cora_Armlet197'
'453','iiccb99','Cora_Armlet198'
'454','iiccc01','Cora_Armlet199'
'455','iiccc02','Cora_Armlet200'
'456','iiccc03','Cora_Armlet201'
'457','iiccc04','Cora_Armlet202'
'458','iiccc05','Cora_Armlet203'
'459','iiccc06','Cora_Armlet204'
'460','iiccc07','Cora_Armlet205'
'461','iiccc08','Cora_Armlet206'
'462','iiccc09','Cora_Armlet207'
'463','iiccc10','Cora_Armlet208'
'464','iiccc11','Cora_Armlet209'
'465','iiccc12','Cora_Armlet210'
'466','iiccc13','Cora_Armlet211'
'467','iiccc14','Cora_Armlet212'
'468','iiccc15','Cora_Armlet213'
'469','iiccc16','Cora_Armlet214'
'470','iiccc17','Cora_Armlet215'
'471','iiccc18','Cora_Armlet216'
'472','iiccc19','Cora_Armlet217'
'473','iiccc20','Cora_Armlet218'
'474','iiccc21','Cora_Armlet219'
'475','iiccc22','Cora_Armlet220'
'476','iiccc23','Cora_Armlet221'
'477','iiccc24','Cora_Armlet222'
'478','iiccc25','Cora_Armlet223'
'479','iiccc26','Cora_Armlet224'
'480','iiccc27','Cora_Armlet225'
'481','iiccc28','Cora_Armlet226'
'482','iiccc29','Cora_Armlet227'
'483','iiccc30','Cora_Armlet228'
'484','iiccc31','Cora_Armlet229'
'485','iiccc32','Cora_Armlet230'
'486','iiccc33','Cora_Armlet231'
'487','iiccc34','Cora_Armlet232'
'488','iiccc35','Cora_Armlet233'
'489','iiccc36','Cora_Armlet234'
'490','iiccc37','Cora_Armlet235'
'491','iiccc38','Cora_Armlet236'
'492','iiccc39','Cora_Armlet237'
'493','iiccc40','Cora_Armlet238'
'494','iiccc41','Cora_Armlet239'
'495','iiccc42','Cora_Armlet240'
'496','iiccc43','Cora_Armlet241'
'497','iiccc44','Cora_Armlet242'
'498','iiccc45','Cora_Armlet243'
'499','iiccc46','Cora_Armlet244'
'500','iiccc47','Cora_Armlet245'
'501','iiccc48','Cora_Armlet246'
'502','iiccc49','Cora_Armlet247'
'503','iiccc50','Cora_Armlet248'
'504','iiccc51','Cora_Armlet249'
'505','iiccc52','Cora_Armlet250'
'506','iiccc53','Cora_Armlet251'
'507','iiccc54','Cora_Armlet252'
'508','iiccc55','Cora_Armlet253'
'509','iiccc56','Cora_Armlet254'
'510','iiccc57','Cora_Armlet255'
'511','iiccc58','Cora_Armlet256'
'512','iiaaa01','Fire_Normal_BracerA(1)'
'513','iiaaa02','Fire_Normal_BracerB(2)'
'514','iiaaa03','Fire_Normal_BracerC(3)'
'515','iiaaa04','Fire_Normal_BracerD(4)'
'516','iiaaa05','Fire_Normal_BracerE(5)'
'517','iiaaa06','Fire_Normal_BracerF(6)'
'518','iiaaa07','Fire_Normal_BracerG(7)'
'519','iiaaa08','Aqua_Normal_BracerA(1)'
'520','iiaaa09','Aqua_Normal_BracerB(2)'
'521','iiaaa10','Aqua_Normal_BracerC(3)'
'522','iiaaa11','Aqua_Normal_BracerD(4)'
'523','iiaaa12','Aqua_Normal_BracerE(5)'
'524','iiaaa13','Aqua_Normal_BracerF(6)'
'525','iiaaa14','Aqua_Normal_BracerG(7)'
'526','iiaaa15','Tera_Normal_BracerA(1)'
'527','iiaaa16','Tera_Normal_BracerB(2)'
'528','iiaaa17','Tera_Normal_BracerC(3)'
'529','iiaaa18','Tera_Normal_BracerD(4)'
'530','iiaaa19','Tera_Normal_BracerE(5)'
'531','iiaaa20','Tera_Normal_BracerF(6)'
'532','iiaaa21','Tera_Normal_BracerG(7)'
'533','iiaaa22','Wind_Normal_BracerA(1)'
'534','iiaaa23','Wind_Normal_BracerB(2)'
'535','iiaaa24','Wind_Normal_BracerC(3)'
'536','iiaaa25','Wind_Normal_BracerD(4)'
'537','iiaaa26','Wind_Normal_BracerE(5)'
'538','iiaaa27','Wind_Normal_BracerF(6)'
'539','iiaaa28','Wind_Normal_BracerG(7)'
'540','iiaaa29','Fire_Double_BracerA(1)'
'541','iiaaa30','Fire_Double_BracerB(2)'
'542','iiaaa31','Fire_Double_BracerC(3)'
'543','iiaaa32','Fire_Double_BracerD(4)'
'544','iiaaa33','Fire_Double_BracerE(5)'
'545','iiaaa34','Fire_Double_BracerF(6)'
'546','iiaaa35','Fire_Double_BracerG(7)'
'547','iiaaa36','Fire_Pliant_BracerA(1)'
'548','iiaaa37','Fire_Pliant_BracerB(2)'
'549','iiaaa38','Fire_Pliant_BracerC(3)'
'550','iiaaa39','Fire_Pliant_BracerD(4)'
'551','iiaaa40','Fire_Pliant_BracerE(5)'
'552','iiaaa41','Fire_Pliant_BracerF(6)'
'553','iiaaa42','Fire_Pliant_BracerG(7)'
'554','iiaaa43','Fire_Solid_BracerA(1)'
'555','iiaaa44','Fire_Solid_BracerB(2)'
'556','iiaaa45','Fire_Solid_BracerC(3)'
'557','iiaaa46','Fire_Solid_BracerD(4)'
'558','iiaaa47','Fire_Solid_BracerE(5)'
'559','iiaaa48','Fire_Solid_BracerF(6)'
'560','iiaaa49','Fire_Solid_BracerG(7)'
'561','iiaaa50','Aqua_Double_BracerA(1)'
'562','iiaaa51','Aqua_Double_BracerB(2)'
'563','iiaaa52','Aqua_Double_BracerC(3)'
'564','iiaaa53','Aqua_Double_BracerD(4)'
'565','iiaaa54','Aqua_Double_BracerE(5)'
'566','iiaaa55','Aqua_Double_BracerF(6)'
'567','iiaaa56','Aqua_Double_BracerG(7)'
'568','iiaaa57','Aqua_Pliant_BracerA(1)'
'569','iiaaa58','Aqua_Pliant_BracerB(2)'
